,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.06415789711995351,,,,,,,,,,,0.01655905690397482,,-0.05004997010980076,,
BMP1,0.019348604758067586,0.08908937152397751,0.10560537192027819,0.05271365159787505,0.08143858291393073,-0.03164060998088778,0.06154607994477619,0.04866549348620796,0.14266809503992028,0.02874645266720947,0.013323603075653155,-0.003111944604152893,0.011472044256516354,0.09390186664902246,0.030824245059449494,0.050239903731744646,0.027987077450353358,0.043291007909092974,-0.028234265481672655,0.14618304512208635,-0.027947034906595277,-0.01577026340645734,0.08559667752442124,-0.0036809879172634216
NDP,0.02797308669429287,0.13151897669951532,0.008968103896428112,0.0884120320160402,-0.034552998546047764,0.07521674797142583,-0.07008221674446673,0.020598507683305886,0.011104792394799116,0.03352034036807407,0.04945199038984544,0.03414845444940525,-0.034398665165716456,0.041528685185421195,0.005960454881754694,0.11762343255815924,-0.0346064712972211,0.056610487741854724,0.001855169481114643,0.09707290768990165,0.04829044365962028,0.18982872407083395,-0.04451097996398064,0.03644240524126527
TNFSF18,0.2915504240756065,0.15093568886105233,0.040479364283944844,-7.939419321484173e-05,,,,0.004387226207335437,0.04727936534057915,-0.02636983281932579,,,,,,0.03218481904030891,,,,0.006299857732051807,,-0.027969667294814458,0.033921053719331545,
IL36G,,,,,,,,,,,,,,0.03800020979226042,,,,,,,,,,
RTN4,0.023130446250504446,-0.12989701622808425,0.02979640238174826,0.039230064561919346,0.04635181920964639,0.027262008020818573,-0.019426381558256316,-0.05321865361444802,-0.14329119290585968,-0.024244868694883716,-0.0150247728258405,0.03895547257361712,-0.0019221798903698603,-0.09205161739321134,-0.10359743988699426,-0.016037495563532504,-0.006402774890984671,-0.027228034048665656,0.0014227871862281278,-0.142969735716445,0.05143877146639776,-0.07879041118047503,-0.13297660269964184,0.14166328631446573
HEBP1,-0.020796197504737476,-0.004064973931507492,0.01184962927552285,-0.019289332837095923,-0.02449206228670729,-0.007362062073525765,0.007219978939250612,0.030474721025342644,0.035950357031389005,0.018225916774441586,-0.043050005762507275,-0.004596451197768829,-0.012883133673094847,0.060715089839539306,0.039581443837408525,-0.05217361402114358,-0.027222744916927846,0.02416890058638541,0.01205937858173969,0.07613326736987287,0.009836211796892433,0.14691128938508008,-0.031486776839807676,-0.031610802080539485
WNT7B,0.05747905305122078,0.0035325458608331034,0.004303784393278119,-0.029351537903535972,0.018707476833071668,-0.04853528577625289,0.09858002961885486,-0.0611412944683421,-0.06205138557242285,0.03666967162529503,-0.02316288494302869,,-0.031831563902525874,0.010802275391701704,0.05061865769693594,,0.07043158845525255,0.020869425146200698,0.10565165790138091,0.0033134510665854384,0.02169293809533933,-0.004491365678031495,-0.028000108275823905,0.04694568553717014
PTMA,0.012245161611637637,-0.15200881413802736,-0.005263443084809685,-0.03961230518567896,-0.025753965034068602,-0.01087473174384449,0.025589086326320013,0.01676633729418491,-0.05859519413382426,-0.08705213504031489,-0.041346991245234,-0.002666718382215856,0.007076885680331689,0.044133085895776775,-0.03716495452344165,0.055562277929165085,-0.07470218436608804,-0.08250822945792459,-0.015105950332279294,-0.11038530467630016,-0.0039299403080898625,-0.19229479485805875,-0.03552614607373377,-0.014889339379634844
FASLG,0.057630171733006365,,,,,,,,,,,,,,,,,,,,,0.02203874823688787,,
CEACAM1,0.047783659591728755,,0.032054482045216874,-0.029031000329266296,,0.010242684220420411,-0.008448493610542077,,0.008922185863744166,0.03645149453853115,,,,,0.027080818639448265,0.07791796602489642,0.05138111624681623,0.020551112432768644,0.04798994787722983,0.0926748240118033,0.13496186238750285,0.048466890180172216,,
PDAP1,-0.038037020949965875,0.004837154581662768,0.030953972955686037,0.042168330428133755,0.019528206896065582,-0.061095071701938834,0.06049279875746484,0.014636813458997186,0.13919001148907553,0.040950944875581395,0.03974446295994942,0.01440140075996701,0.06418375122192621,0.020082204111718058,-0.04551205125514519,0.0017956040986197553,0.05778246652996088,0.014640302267008957,-0.004246063461426247,-0.016533036282700444,-0.0025070645625404763,0.049235007373852925,0.004374874858872748,-0.06125540929522567
QDPR,0.07180457084427389,0.08084240072705384,0.003189044124040089,0.01391680080297257,0.04278175947876334,0.06286819595158111,-0.004757554246527429,0.022288533021109603,-0.16489666736923111,-0.03946226449458867,-0.02469866785772912,0.06783280310686533,0.05651319285195735,0.02503925001916981,-0.009464198367359025,0.020788004860790462,-0.05278926199789796,-0.014030079390308958,-0.015673627031522672,-0.02591079170069312,-0.01771728636070695,0.07869842090141546,-0.04678876354679148,0.00340619127567277
POMC,0.036987997728665845,-0.01991442331101789,0.016872841997947443,0.10481337088487884,,-0.04973600248768883,0.0022245617108515277,-0.011052872208799209,-0.03873335372953144,0.034677956819653556,0.05381551675079956,0.06259827697909671,-0.025417055106193787,-0.032180194347682135,-0.04624036279432184,0.027500496035894478,0.07115733421820393,0.010415696593129554,0.039201616277749325,0.037072585908146154,-0.031930165722238106,-0.05405204917224706,0.07300597627861809,-0.06372690435853778
CCL18,,-0.06142170145351133,-0.030803420870442286,,,,,,,,,-0.02797496676132647,0.041233187406475566,,0.01879870956862066,,-0.031846459426576705,0.031323726469683004,-0.056246197808206326,,-0.013117704376609703,,,
CCL17,,,,,,-0.019144287972740946,,,,0.04876097866951614,0.011498044169173733,,,-0.019377278499512467,,,,0.014275123594342666,-0.008174147282480013,0.07608515835540708,,0.15971303976640522,,
VEGFD,,0.014341974869233422,-0.008022444649795254,0.014680012742343899,,-0.007317244787176776,0.061977822872925886,,0.03500355303253144,-0.03503971851257485,-0.021029174361894522,0.09095371406414925,0.09469142718520177,0.1354696960760954,-0.04361361564338637,0.03718995142989437,,,-0.023033465632971397,0.053249532066105235,,,,
TNFSF13,,,-0.008255267886145199,,,0.019003938320479977,,0.006515728261571733,,,,,,,,,,-0.01316732481455922,-0.03614188894833546,0.08807220517766012,-0.02191828568145248,0.12469152306253131,0.06427154562791317,
