,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.05351589748323511,,,,,,,,,-0.02403120658507906,,-0.028016912340472173,,
BMP1,0.09157189738805424,-0.03165710956020054,0.04167464089735141,-0.020586148402835527,0.018843085280159825,-0.012429595551580568,-0.07082396881078103,-0.055052166621383195,-0.349629542095859,-0.04201383085938413,-0.027319742702411744,-0.015587153677944271,-0.24014029417124183,0.048873826716026914,0.032079089344609124,-0.05739280490913511,0.11931684717372792,-0.009071479947641292,-0.05006694679047181,0.04475930325651505,-0.026837280421699205,0.013364222872029676
NDP,0.051721173322684,-0.039705534915472275,0.11891828049571392,0.06016880784766972,-0.03741901103415789,0.03659236531266916,0.22252150479190222,0.05389955935128664,-0.1448060446085202,0.04206478527985309,0.039231273220873074,-0.04810351390733428,-0.044979625812794743,0.15380427051114162,0.18002980325517337,-0.08023655108428983,0.013279258560402742,0.0406577243656387,0.0578730865487569,-0.006884267890582487,-0.051559339624093495,-0.04267774083668321
TNFSF18,0.022770585411793012,-0.046960919576498214,0.07919027236835083,0.020114497448431686,,,,-0.05891886084277635,-0.05974135286057421,-0.028796388489134867,,,,0.08328321559501188,,0.019258210967710677,,-0.024782959175486074,0.11439368647131004,0.030184285580112134,-0.02790749081604244,
IL36G,,,,,,,,,,,,,-0.008643313972032796,,,,,,,,,
RTN4,-0.0794141796575258,0.2731560896958255,0.05900022314944155,0.04324277718700575,-0.02843474892755699,0.03598738428139126,0.21060540572740521,0.2944132023479931,0.4756147234965782,0.11430469918294327,0.20434340232871076,0.14999492496989805,0.34115519314464976,0.0027969075900991275,0.022177157584233345,0.0025967664093599564,-0.021654856803702074,0.0029127140316370266,0.008751117172978756,0.10725515602335642,0.1138030449957632,0.09772370335437776
HEBP1,0.025392194640192142,-0.11098120077181586,-0.026292246298662964,-0.005783996290627428,-0.005815157441479865,-0.018963450960250577,-0.011527112629808982,-0.0647141247542816,-0.129039063652149,0.052641397701641425,0.0031635973231854404,-0.04802203570267981,0.0530512985119609,0.021523261748411706,-0.19199508608856886,0.015520160536001809,0.050476682748513774,0.06288038118425404,-0.04341386785477086,-0.0042258659378516415,-0.012138767194196211,-0.04200059466926163
WNT7B,0.012776149681314073,0.29330716075946184,0.12487111659298533,0.037704367577054566,0.08654134690724902,-0.008248210854535693,0.036295137822554537,0.11256378056655643,0.45838164901925427,0.01782572594548824,0.06475030368684635,,0.14498907022699373,-0.029194523847886702,-0.028063938442512218,,-0.045049181241204994,-0.04110226256568732,-0.06427782454025886,0.11930668764338347,-0.055803040344569586,0.10499958230653633
PTMA,-0.045041365874947635,0.027334869899002613,0.23244679488991773,0.034034377753349984,0.10787163469729157,0.04150952899013182,-0.15470803565910968,-0.35353234017214163,0.15833310517063598,0.010138142493537795,-0.1506304488622598,-0.1598866998041173,-0.30963329818203517,-0.02366362382753161,0.08443623837338571,-0.03783873554944572,-0.15278010477340875,0.05162194390250255,-0.13046635935175716,-0.027140887401220875,-0.03847505977129558,-0.22425040086831757
FASLG,-0.03811901474334414,,,,,,,,,,,,,,,,,,,-0.006113476996951643,,
CEACAM1,0.02426318795831911,,0.03744470210235469,-0.03716039760404541,,-0.021245103657877684,0.00018471345253616935,,-0.10457733729713126,-0.045289858813516284,,,,,0.060043057725601715,0.11051126262984177,0.11473286096949604,0.024482073239342105,,-0.033808571041241145,,
PDAP1,0.13826732122765473,-0.11420483433742908,0.09615108019337619,0.030264564278395866,-0.00021380338042942617,-0.01196470090594394,-0.0676960402831055,-0.12055966128959496,-0.2327667777829579,-0.03223074404921,-0.06431966788210991,0.06348845459308969,-0.15516690479746498,0.06867840176495132,0.11677350838276158,-0.01956221537312445,0.06510868528118977,-0.03204360880242293,0.041548396021610846,-0.015472781741951757,-0.015333510526173964,0.12875565626164537
QDPR,-0.12302359243150576,0.16245456063355274,0.03213188890953224,-0.01113112682964839,0.030270994771372333,-0.0262726797977147,0.16534089771553534,-0.05464063862010909,0.017695018490319046,0.05297723661805045,0.026596333954105322,-0.1241988436280182,0.025273342412742032,-0.050207520612388354,0.10173319519517372,-0.010208010587601004,-0.12134341164197014,-0.029014040811286373,-0.06769937687108879,0.06302259107452077,0.020276886277047206,-0.07937302268138288
POMC,0.02500244831438733,0.1077232707042982,0.05839025227702459,0.00915699854951452,,0.017547880494913095,0.19990857836572362,-0.024815528645409996,0.05671582680524597,-0.016556085598519732,-0.036126417305791955,-0.04974491304878862,0.08281310730194429,0.05942607489086443,-0.14845478287812067,-0.05488422941812952,0.03680901432494052,-0.013200779295054376,,-0.014195256621758882,0.026291918846464205,0.06527711469481151
CCL18,,0.05572680563794687,-0.06467181930344645,,,,,,,,,-0.04295918023254542,,,-0.020103837275187778,,-0.05587206680529829,,,,,
