,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.016478718064149262,,,,,,,,,-0.019010183808593015,
BMP1,-0.03625905656392677,-0.03408136301408447,-0.005380321540664853,0.023251891180727083,0.03019292288586409,-0.043843291646463056,0.021414106894726267,-0.06546271416390055,0.012114516374156838,0.002043017530499222,0.028267138441862922,0.09739209050505579,-0.14791683680790174,0.1129519858184239,0.01843202781288648,-0.0029905538541735812,0.0010392685304573043,0.030548862309896386
NDP,0.024500816561464845,0.02601459053675869,0.026237645817470862,0.15644892419122597,-0.020292278813188052,0.012182911374391913,0.02906250697749333,-0.11058412738290845,0.054234685594637386,-0.039498518157595974,-0.023582807498307396,0.07635340090998398,-0.06333313731177163,0.03830932953107952,0.030854343257811556,-0.05832004312120697,0.053895711619605984,0.017417515289422227
TNFSF18,-0.03274064618241313,-0.04351291798828821,0.036062931763634926,,,,-0.023141541944831995,-0.016834730886503904,-0.019510023210048216,,,,,,,,-0.018635616600090214,0.08093812847878702
IL36G,,,,,,,,,,,,-0.020676881980879018,,,,,,
RTN4,0.03184299174120038,0.0306317552915565,0.021025132446447853,0.036574328816531165,-0.0032192614363558037,0.016257793228054016,0.10467298188498024,0.06668789117011642,-0.004114108067429439,0.03410857291839413,-0.02972277568736267,0.026320328208195066,0.06447779788681457,-0.048325883000220934,0.009059973391432174,0.055370561890356586,0.029571743309495795,0.00587442702603756
HEBP1,-0.012320733023857194,-0.013461932665522225,-0.016792305537853647,-0.002151388510900442,0.015370305823518891,-0.0008786405774700077,-0.02271985412662463,-0.01707388089840844,-0.020163189913275283,0.028650307792273483,0.03203358619881098,0.012110035814492047,0.026730682725587426,-0.01792441890077272,0.004377931675117243,0.03893087866595857,0.005917957375205092,0.025808334040650527
WNT7B,0.12996355551590552,0.01617449733063449,-0.014035259122837639,0.04287920744501931,-0.036539851832972335,-0.006177727439755704,0.05122344145551616,0.11093191392631353,0.051879994368179944,-0.012332310591247982,0.0013857514425616034,-0.007585486471495519,-0.0755805967568893,0.025385678654644247,0.04340367265464001,0.034920830003672396,-0.030347438527288106,0.025115985260643216
PTMA,0.014145953074321546,-0.06873559799446526,-0.00016037014244231097,0.019292166916752354,0.014915377635639084,-0.006162099973173967,-0.04056482214778509,-0.06118781174207396,-0.04500407974696583,-0.04608351943915281,0.010771421334016398,-0.020567048089632563,0.10202059347340173,-0.017191958119618628,0.060218931844202794,-0.06588046053061056,-0.0491770907851771,0.09389103730672645
FASLG,,,,,,,,,,,,,,,,,-0.016487525931774803,
