,MGH258,UKF243,UKF248,UKF251,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,0.11545893606846344,,,,,,,,,,,-0.016603067382544443,-0.013017137731842114,
BMP1,0.04527832515802417,-0.08712912018037033,-0.021662859506872863,-0.019823243643713975,0.010933801391035648,0.12280919866925274,0.014770492563907034,-0.025349218877409024,0.020258914426787997,-0.028420171864977563,-0.041727702216301475,0.03243608113825976,-0.041063567383038034,-0.03101780075633471,-0.03107232820191956,-0.056179613613751546,0.013044672647394657,-0.03253368614668771,0.029238977031876483
NDP,-0.012310247165868104,0.07097911677883528,0.04091124343700815,0.05137792650580351,0.03708537117526806,0.06242306605652691,0.06095108794706431,0.06192405287667254,0.030870313447480667,0.03216419411980576,-0.02959802205200757,-0.08104555056539453,-0.03825836862407888,0.10181118228987106,0.04820508263533007,0.04251060383019325,-0.002437707148865187,0.07066590564259657,0.028396166331473457
TNFSF18,-0.024504302234370362,-0.02181210181376823,0.08728577948153254,-0.00812209160453925,,0.08936930830437197,-0.015776938743793687,,,,0.06652089850229721,,-0.047372077765771695,,,,0.18673129980625366,-0.0374752324875368,-0.05008196055148438
IL36G,,,,,,,,,,-0.019704483086882045,,,,,,,,,
RTN4,-0.03287904471162366,-0.0011044221644274242,0.006732524386607047,-0.05341171874588332,0.021454814982208366,-0.1777305956141842,-0.07219827248819696,0.023394374658733,0.03519949090163172,0.03128509000463965,0.012785523138766589,0.008402293428993735,-0.0632625544910423,-0.0667347558244435,0.01999288014022579,0.008488808279233697,-0.02405630134672574,0.017862152946223783,-0.05953282563872171
HEBP1,0.041108761075283266,0.02339842139556763,0.005450666818464128,-0.02322659844876662,0.0380217211896878,0.04961909139285755,-0.008489092549319604,-0.004374705414910929,0.0658457717002354,0.019252662508434316,-0.029160610214326952,0.000789989716594286,-0.06682816363563597,-0.04634981899437867,0.016862667984371908,0.006955644984251207,-0.03154830694022371,0.0064121430160904505,0.07409482857092284
WNT7B,-0.02158752277239183,-0.0509096881003201,0.028168670064174377,-0.018628563433930274,0.011709783626020667,-0.07388933284592512,-0.019748162922145995,-0.0137412414154803,,-0.02165749768469043,0.007117001629160783,0.15538899320122976,,-0.021840445434972097,0.0035580222234520027,0.00805830387505338,-0.03580442881078106,-0.036461377177659134,-0.07566677679471615
PTMA,0.01768119254106179,0.03850535160342215,-0.019361938631437425,0.026410497134727495,0.0625364792341967,-0.06949253235161423,-0.03232535010589218,0.00548306487282748,0.025625658662784205,0.0280756062746734,-0.05296583350056744,-0.15636232311235407,0.029357048487297484,-0.11638030601871784,-0.013601629884614549,0.018037510258378756,0.03379709635013095,-0.06128303190791863,0.002055072922088034
FASLG,-0.021587528875129214,,,,,,,,,,,,,,,,,-0.02417473407977204,
