,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.042319981566425746,,,,,,,,,,-0.005531114347189195,,
BMP1,0.029650227828581184,-0.009794549077510073,-0.015998222411228023,-0.08311133479940519,-0.017855690005209257,0.05050157551269388,-0.10414428159129062,-0.12254508823063091,-0.36271200336300663,-0.11413449577306181,0.028433414225788108,-0.12498112048593547,-0.25598123956179963,0.018225817435357828,-0.047711741536037286,-0.10469435813147333,0.009685789198774572,0.04627563767635283,0.046927684716778724,-0.1444713613072994,0.18866377567778184
NDP,0.03862059046236587,-0.030394520454618417,0.02204467404319371,0.006031819171889398,0.0011621451718979532,0.01303892103168316,0.11608256804323903,0.07389026702302233,-0.07739376093270485,0.05166553374516503,-0.0013031362412473007,-0.0672705851780489,-0.007575568056646201,0.020254031116045013,-0.009516942548772056,0.034459633518494556,-0.0323014523426821,0.013100433721863156,0.0824076190995962,0.12779059570290593,0.06422688005847288
TNFSF18,-0.032554084263754966,-0.03852281093105607,-0.007154464050521456,-0.03617483443976997,,,,-0.016643164011072565,-0.08258662224368743,-0.04895333910152779,,,,-0.05346315195369606,,,,-0.06487159868301841,0.08468154875398803,-0.05206717293607783,
IL36G,,,,,,,,,,,,,-0.013157065291470347,,,,,,,,
RTN4,0.03266147984776204,0.2769633498248193,0.04582851902307699,0.11753077840775096,-0.058893618571660256,0.07769740480364533,0.2072441735398928,0.27626536102430554,0.46666801128432794,0.16134849297446813,0.09111161357014239,0.4187667587227018,0.42462532404037434,0.05949225646837676,0.05062122181481113,-0.01610785193216414,0.09104528120490729,-0.0427486560696491,-0.06923754886459256,0.3682416555013566,0.11130535544860755
HEBP1,-0.01792875166275109,-0.11841362981190001,-0.02524106264317904,-0.005406407274348257,-0.012394013503504385,-0.007758153429142681,-0.07322037406614315,-0.1084326172150139,-0.11024998038069275,0.032601616041286426,-0.02859191576770773,-0.17211901984608075,0.0035760855187816276,0.01822390868994259,0.08700819738285058,0.0021653172586696416,0.039953186827771194,0.0022204317826110473,0.08740107838515307,0.06374995185888077,-0.00867826501338596
WNT7B,-0.028679128614095398,0.34896952764781597,0.0735839754327028,0.13831601915529407,0.001079872929762842,0.01473232081928998,0.013166384050560101,0.06479248250311939,0.31670732114410655,-0.0046400953172836875,0.007914828219274028,,0.1685182456506991,,-0.006823374302044351,0.05112418276819536,0.003257152672850476,0.08710081680608378,-0.0328301247869959,0.05053744088689186,0.15929117082496236
PTMA,-0.02179095274865264,-0.034622050212972724,0.019857713725342025,-0.029005667604021224,-0.018123215329549965,-0.006767316058445337,-0.16610425090174366,-0.25964833481693605,0.07996475932427954,0.18810003705167058,-0.11140229949579093,-0.49047377728522856,-0.4047907969749355,-0.0441459775170909,-0.0033569960692148145,0.040685269366362305,-0.09539401774724464,0.0358805026759401,-0.010276716402405137,-0.12940725715077767,-0.022871748931922523
FASLG,-0.02867913672161159,,,,,,,,,,,,,,,,,,-0.020291300788163835,,
CEACAM1,0.023199105097228633,,0.013798202226287902,-0.026120286311195905,,-0.000930765817284855,0.003433424064154934,,-0.10122595123788737,-0.00920609427718818,,,,0.1237984671080425,-0.0041003015958654245,-0.00627481858671143,-0.029942077406238003,,0.031600662501070756,,
PDAP1,-0.02944048403344169,-0.11323018243770208,0.011770607579617098,-0.051998927923891373,0.03333176327912057,0.031047110003840174,-0.04986768112958341,-0.12294068335366408,-0.2971687683854847,0.04711680032221891,-0.016157025151881374,0.02840469499993342,-0.19811726517652012,0.03546305284652225,-0.023332511262244497,0.01761682148456087,0.00939487123161782,-0.035220167830662084,0.007347090091079317,-0.005814928539932549,0.02574424328102106
