,MGH258,UKF243,UKF251,UKF255,UKF260,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,-0.03747407655959809,,,0.004751618071437015,
BMP1,0.017302970385853038,-0.0648652460388621,-0.010613569038349369,0.03990512495264562,0.04569003107206006,0.11066561949143001,0.03567092254990546,0.026497335765596406,0.08575677165146829,0.00579730392335274,-0.02274274912282771,0.06156087273975489,0.02416181447417221,-0.0441182647253134,0.07564786926123182,0.055284574209930874,0.020428160147851402,0.07702994422181247,0.05241772068342625
NDP,0.01148662103118133,0.05682070547034518,0.028927903833457544,0.0019978896809522135,0.054634142648159405,0.04805816019996599,0.03015840757054528,0.03804614336843591,0.177043359618504,-0.019099348470149758,-0.011742110470122306,-0.006905490137128045,0.10062521378662262,0.07095619413970082,0.043239147175376365,-0.06435481370578079,0.03447153295936268,0.06529856366794862,0.015836931120034474
TNFSF18,0.06625894974144843,-0.023606113350724763,-0.013351393420537861,,,,,,0.0357667278710271,,0.08600156200547923,,,,0.054441475443954536,,0.09116827888662184,0.04084297024522039,0.08771936391746046
IL36G,,,,,,,,0.034763190133112326,,,,,,,,,,,
RTN4,0.016334007565785662,-0.012019537016076552,-0.04077428188409444,0.011516146644795966,0.015352760446814242,0.016320022930921246,0.024599179336456764,-0.007203591544301821,0.05419908181916457,0.08145509674948972,0.05937697370508647,-0.06436972907827246,-0.028437903219541535,0.027661213003543083,-0.025903836393533917,0.0765710486993226,-0.01790272290665895,-0.03018696443614185,-0.0988932380693291
HEBP1,0.033049227655590374,0.04175891675048085,-0.004698516183893739,-0.013563246139930775,0.03549402679986167,0.07493448528217338,-0.026983261930860935,-0.0007307973586283336,0.047796537901499084,0.04839711923340905,-0.030395523864113226,0.014956418180932362,0.06315850818604316,0.06149310401532155,0.05056017887250095,0.010012928366100024,0.02166419362556372,0.07205957709605218,0.06901258481837691
WNT7B,0.10558780176598603,0.10949860428269256,0.10341665241837608,0.01458607345286149,0.014953200292604513,,-0.012119992448676767,0.07315755334148111,-0.03652310083945714,0.017017280268693303,,0.007565863608799728,0.0541814522832621,0.0036715810882602695,-0.0360316843553341,0.01846939878739011,0.029763132669453726,0.04170816159838025,-0.03955722579260317
PTMA,0.03563505379097403,0.018542802087206205,0.029275588315785594,0.011473232375229904,-0.04512342205349239,0.04247833633459261,0.02955311389170355,-0.02955300790635438,0.10853001750779516,0.016776913452066087,-0.05044050301754569,-0.07842079795877917,-0.06233794867292401,-0.005668997819293036,-0.00818156641902434,0.0204433626297829,-0.061461727330063214,-0.01430206450922109,0.04668474621481888
FASLG,0.07330924046746719,,,,,,,,,,,,,,,,,0.0015169884924499872,
CEACAM1,0.04477526557742055,,-0.0159813948546987,,-0.014343782285972643,,,,,0.023410458849447573,0.014068733002386015,-0.018808367572087533,0.042967223027887726,0.08688642063307324,-0.046305263080111174,0.009412486036913734,,0.015705575700135383,
PDAP1,-0.02807759270234466,0.002589777047298472,-0.020387599448307744,-0.04313773801436566,0.04254845901556006,0.06865397098693103,-0.005275658694621537,-0.021523696630279233,-0.05712817304252504,-0.016155425201740903,-0.018074440166046715,-0.0351687475041957,-9.364447245917787e-05,-0.08870797106747842,0.004192435869333841,-0.04845455071224308,0.13745218926704075,0.03197442865608725,-0.017663733555657417
QDPR,-0.036884399233247836,-0.07409314134033607,-0.022325640935644535,0.056412627962866946,-0.024453537580054707,0.020523587021483287,-0.009618753638493158,-0.03200071126480786,0.10361997868802604,0.02885901919211639,0.06117662613915062,-0.1568712920987591,0.03796661288956836,0.06719110003698252,-0.032199072333785696,0.022194042426062262,-0.07052779834458832,0.007988169912585868,-0.04833317085561814
POMC,0.02206681624679285,-0.018533309929841403,-0.028396388943551603,,-0.015136408896021516,0.061795635092342836,0.014532107443197956,-0.016793557474588463,0.0024644869993970288,0.11064536252443102,0.05512360809956998,0.017657264788491455,0.01396047808273736,0.026663954786161733,-0.02425714696438045,-0.0039408803580550066,,0.004793596411324107,0.0713164582005103
CCL18,,-0.031657738997734435,,,,-0.04191842737180987,0.04150205371650741,,,-0.06184999942949939,,-0.03434164718449623,0.0025063401614579496,0.07054742188383199,,-0.03043588088406364,,,
CCL17,,,,,,,,0.09267897954459493,,,,,0.045413644095818224,0.002941902488004871,-0.04940740525308188,,,0.08270000464226665,
VEGFD,,-0.0356690187759953,0.006517808905950852,,-0.01372331877267909,-0.0204260866620751,-0.02205335709060037,0.03631819098348353,,0.047513038369424034,0.03230636353022087,,,0.01285720810721776,0.0394628682780737,,,,
TNFSF13,,,,,,,,,,,,,0.0496096649999052,-0.006261227004751004,0.08804184282656596,-0.009539421843280283,,0.03281375731941853,-0.008960010443022979
WNT5A,0.01106710511358704,0.09026918708918175,0.025152949857954948,0.0772092016497631,0.06825624340786816,-0.018891033405273785,-0.007381247839473998,0.010530796660795032,0.008750957140344023,0.1311854008621417,-0.033405829824150336,0.08677332371760715,0.05834334426264809,-0.015089035045681716,0.07694164972761715,0.0021404209226459315,0.008264137433497212,0.021026603960721302,0.03419792770976621
CXCL8,,-0.04731168158746273,-0.0214329720322773,0.026237369988268797,-0.06413752082920471,-0.022493958734590872,-0.012658253896280803,0.07635637015624377,,0.013124016482267103,0.0057654712393828324,0.16674961044992614,-0.013422833612544814,-0.09580559389015564,-0.02451498464150572,-0.02608314825818697,0.08530716104718578,-0.028424152238003403,0.05886324632731536
GRN,-0.04711102740565482,-0.01777470946302076,0.060137257957874134,0.05831945277307716,0.017158410002839804,-0.030793191832376665,-0.06552718624264098,0.03805577895076815,0.13030388445794008,0.08836038727098271,-0.1316688474830056,0.1247195711832156,0.03652397152577337,-0.05897417463883688,0.07167854000687862,0.03974790984050552,0.05802438678376135,-0.019047166979217198,0.11134331077553429
MIA,0.05950461465925793,0.07632588621256918,-0.020356891337769845,-0.004101076602244299,-0.003798453538128692,,-0.004720262375120845,0.017717039221321392,0.13430008853654196,0.05108224454535081,0.06255297481210054,0.09414753861464767,0.10387481606771663,0.07658654315123396,0.023928850514553394,0.08929313277911483,,0.10192439994405224,0.11511141399155549
COL4A4,0.03716952789312565,-0.002369987631079687,-0.03423422800059048,-0.031819732312013196,0.05244164162551797,,,0.038157403880628,,,-0.05918312696646504,0.044131455888864864,0.05381064240819418,0.022415088426142295,-0.03084272446470794,-0.0048288117909115425,,-0.04414417161036695,0.043534240423594876
TAC1,0.005315371080764911,-0.03152281759969564,-0.02162532194166001,0.02997008438552176,0.04663739037607657,-0.068564080442235,,-0.03170168871892075,,,,,,,,-0.04054537721413508,-0.023824777058860033,-0.02874019709629293,-0.08363170630124192
