,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.07711564824031744,,,,,,,,,,-0.007301111412677813,,,0.09996290355922197,,
BMP1,0.08052935884043064,0.09957096371383756,0.008321097488464272,0.06094284125220655,0.042229205347879994,0.08591332840724385,0.3635813040059319,0.08071773070975634,-0.006120884622864635,-0.029874885106554474,-0.12493238342837389,0.13099729615943204,0.012438723627517249,0.0374259377542223,0.012967154926365958,0.0034288130667926246,0.10005306285708329,-0.027843064603929924,-0.006278066062549063,-0.0094550743492215,0.15603467364763213,-0.0263110366210165
NDP,-0.014635561124361728,0.21277874569374894,0.020986444373850163,0.05577235530188754,0.04894659636357596,-0.03915130309961034,0.020945127578377788,0.06339373244334362,-3.354910649429421e-05,0.02536280680299327,0.05942428839031143,0.026604263989733274,0.006088358498590957,0.09196350223213072,0.09279564434910866,0.07355054827600147,0.11081377356024777,0.02551739573693855,0.043542894272449104,0.11803765538152255,0.023120314076048577,-0.008876085207256551
TNFSF18,-0.004068871568397045,0.1016448304451424,-0.02057705472146245,0.01971036144054827,,,0.09857056138347617,-0.03221938953222037,,,,,0.04562771040840948,,,,-0.012844573984722451,,0.037071513640760834,0.046124072893298076,-0.02460755511768951,
IL36G,,,,,,,,,,,,0.03727374568333355,,,,,,,,,,
RTN4,-0.07600085822564512,-0.17211853252616974,-0.005291979650633321,-0.016389560006145353,-0.026476169432152995,0.006121702313340768,-0.4502598121342693,-0.0464752560789524,-0.06692371000902057,0.019657196179981216,-0.010724481496396222,-0.13121121908442443,-0.003939400502205123,-0.05931377635169698,0.018162303559607084,-0.025849927737356268,-0.08222628830678962,0.07724927665157552,-0.16143141101714095,0.013375650238358102,-0.18355219393800962,0.0629977199417184
HEBP1,-0.03548993316302522,0.023305063617400975,0.04032847363842922,-0.006487166536112556,-0.06499717445750582,0.03625013253689943,0.20234526264209693,0.07573372759058228,0.03208601653314117,0.004206924533499865,-0.09903538072559066,-0.015527884607792997,-0.08007824965569799,0.01962938754997369,0.0552184781700716,0.04632796311053734,0.02115809388196501,0.007660097454083356,0.07137355658020886,0.13496091718389272,0.014322764289590367,-0.03827779513861165
WNT7B,0.123804832524952,-0.031399818733102616,-0.005306194362267709,-0.014059479779781985,-0.010436662061448193,0.022300888577141097,-0.19151250753513074,0.01305399346359993,-0.03473190841361655,,-0.053964093943211444,-0.017677198840813545,,-0.04500695631749895,0.04579148896153415,0.008936322164804021,0.09605206181157412,0.03646385428768292,-0.04875604660889569,0.03481173536569776,0.05496863302708191,0.045939974388049004
PTMA,0.007713485927368608,-0.24049428085215324,0.028375303018979555,-0.028206395610364327,-0.05758117117067529,-0.054375403128583494,-0.21819750205246344,-0.05735146487868694,0.022950103967892512,-0.024408470421337574,-0.05885496022204121,0.16126884819711781,0.006925574660525085,-0.19752303179222538,-0.12660849412407812,-0.04742495614068347,-0.12431295883755328,-0.036541595679408,-0.05117400399836844,-0.12411263682162199,0.04313341644294913,0.009245326868568986
FASLG,0.003188022008503903,,,,,,,,,,,,,,,,,,,-0.0015684865208673406,,
CEACAM1,0.08028974287458401,,-0.01958224278414811,-0.010153780886737393,0.005262909355870161,0.036230931808786865,0.148665351357099,0.03203687478328451,,,,,-0.021958167830370447,0.049865092438253523,0.03822509266435208,0.05235654116355163,0.021450891840574606,0.009913888023652097,,0.07384435539842074,,
PDAP1,0.05063188719258547,0.051363720223231164,0.04144912144001157,0.08603032761262541,0.032480962478330294,0.031568245354511144,0.2912157231636875,-0.015039281529723905,-0.02018999123417659,-0.089803125421208,0.06248598733116633,0.03333429162468717,0.10641245598968747,0.06756620395977302,0.015380320888441008,0.019468994196262895,0.00223470812267763,0.011216381744775425,0.05903764241184219,0.06608965614472057,-0.007431843542610572,0.0949840794944142
QDPR,-0.08763017685294147,0.10311393391808864,-0.020057937869614212,-0.02252547878180816,0.01802882886771841,0.03439338836338954,-0.33414133780056104,0.012332311947253703,-0.05133887990256145,0.03283358813687251,-0.027774429441809887,-0.031358685815213755,0.039961454608873924,-0.18596234583715776,0.07215324630114699,0.05929096597241515,-0.09917939737343187,0.01324114239237169,-0.02757271718590386,0.05881822612918193,-0.09168781133077902,0.00036553275779654964
POMC,0.09047607377086893,0.07896171133433891,0.036907273614136836,0.002259483440389904,0.0022045657984729058,0.08627582490325766,0.09731925636099031,0.023057384068853694,0.016444528905060783,0.09527220339204027,0.08676665045309799,-0.04116574325693633,0.052549880580159546,0.07442938825935111,0.08185695290361193,0.06727296631823718,0.004881036754800339,-0.05000643001800508,,0.043393079502820175,0.006713076195394719,-0.06277380797406554
CCL18,,0.0053765254885926005,-0.09284298438889224,,,,,,,0.028431589446778812,0.04083935463799633,,,-0.058453752461650105,0.07722839631031052,-0.03080266026259518,,-0.08877342125227924,,,,
CCL17,,,,,0.023957635232678326,,,-0.06552762469680144,0.012558259189942444,,,-0.037358532042318954,,,-0.009959700487965474,0.021881581104958372,0.13296961737578544,,,-0.027014732136002053,,
VEGFD,,0.05912251941767232,0.0047002523989517165,0.08498550550292785,0.009318499682639973,0.029585211648531014,0.11882996994484119,-0.007282121837935876,-0.031532486551124395,-0.035485171933265315,0.009608709322882866,0.004500342066341535,-0.04860847549059181,,,0.022175300923163308,0.02429290891315659,,,,,
TNFSF13,,,-0.020212247481001033,,-0.03916084256692561,,,,,,,,,,0.06359058083531735,0.07895886105940089,0.05945015801896574,-0.03428403310056669,,-0.02368390542219509,0.09930243446131264,
WNT5A,0.09798112643896152,0.06424811046567451,0.0027972236574693226,0.09177782348437678,0.04200904667371143,0.1549894598910635,0.29893262976751417,0.0007054085120402293,0.042249127082046305,-0.03510378678803968,0.06866776490556002,0.09650815601259369,0.000495731583698164,0.10019845423373426,0.08554693690469892,0.04060146182514157,0.032779151932100764,0.03167795443319863,-0.019096829817967675,0.04754874964497728,0.054145366301769186,-0.07011976064777817
CXCL8,,-0.1868085663194104,-0.08397660550915048,0.0007116536430188223,-0.017972558311202612,-0.18693473377959674,0.1695408500273429,0.02911982189867152,-0.018507780075258655,-0.03162577231613231,0.05896797820665913,-0.0015422971954027762,-0.05070878397719008,-0.04344138020907642,-0.02836107199591444,-0.15642073334800924,0.015368237028243378,-0.07621086174434687,-0.12897857824583697,0.043255387131804074,0.029030978511398447,-0.02107527463946968
