,UKF255,UKF259,UKF275,UKF296,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,,,0.010444839109577764,
BMP1,-0.03314305017041196,0.016468261407780977,-0.029298242524536396,0.04698144906093171,0.03540552992729485,0.012646712039284224,-0.002209496867591206,0.008719011087973782,0.06252006551997488
NDP,0.07700418354244103,-0.03721906066248985,-0.013625643398905424,0.05268739952205706,0.053699830456899314,0.000741378374336596,0.0521775922931612,0.028034953054768382,0.02712637753553168
TNFSF18,,,-0.01410590935896552,,-0.023839822280921304,,,-0.01878896257401511,-0.026187973970194664
RTN4,-0.00794369170135053,0.024753629446097145,0.0022509888475389147,-0.025468368306480187,0.11868267027585354,-0.06765468958999597,-0.08452378334797307,-0.06324751017840664,-0.06383131130511283
HEBP1,0.022869258563334816,0.033940700608801166,0.013805488472552497,0.00832290038479121,0.12957682102299378,0.03489681836964426,0.03494816357349272,0.0036843536128934864,0.029303138252464465
WNT7B,0.04890630546081763,0.06208195321659334,-0.024189794003459945,-0.010917753188812065,,0.04507812091323817,0.09853302739592712,0.02356600078118194,0.04289078140874939
PTMA,-0.07967509432137704,-0.049421459560809955,0.02507470230843137,0.0027827530284796212,-0.035141547692667155,-0.07058887890304487,-0.07407514449317117,-0.02112897224867747,-0.03574803454320231
CEACAM1,,-0.004614079797786447,-0.022185234913914706,,-0.04659621564730188,-0.022726795195211553,0.047203300596094726,0.04667500437593885,
PDAP1,0.05206100986192787,0.0286622622191387,-0.007720074774843049,0.018279696222340172,-0.03779779182757334,-0.038026948478805674,-0.01588353353514793,0.025726920826471215,-0.036450139855045034
QDPR,-0.03202098746748226,0.04602638521299795,0.015328465109582514,-0.02552764108930695,-0.05336236561108357,-0.0034221502210097375,-0.059476632725899106,-0.012293031403016646,-0.03392196419367862
POMC,,-0.008225667216884017,-0.016367381751107125,0.008745831663440012,-0.03399723017952458,0.055750782717490024,0.05255180558118283,0.04632182047624229,0.06283409537414616
CCL18,,,,,,0.025172672436570624,-0.010753869614009726,,
CCL17,,-0.01578938657273221,0.15629728423654096,-0.013513117896291884,,-0.016123561183194707,-0.007748467948417945,0.16259089055596218,
VEGFD,,0.010061673233987031,-0.018743656688631375,-0.00991203539681523,0.001237098867585305,,-0.023033467804788522,-0.004904903836400949,
TNFSF13,,-0.01837571281749161,,,,-0.030938692114505957,0.1308225492139548,-0.0054967284922103465,0.043818222515260206
WNT5A,-0.011586027656167763,0.028349992431358356,-0.019745387006534214,0.04686135845379,-0.08626960551182666,0.041213041035748396,0.04935601629283356,0.083668364991258,0.037268857556882896
CXCL8,0.092234335803826,0.042600165779977245,0.0076425704753589055,-0.009230518351141763,0.06904173022647808,-0.021533355552119278,-0.00627992277708,-0.018047403006821203,0.018185466847755904
GRN,-0.05370135073918953,-0.014503499379417735,0.004314987610330801,-0.01073972322349496,0.11377030862801155,0.07853570175495418,0.027726533413169236,0.03306378985456435,0.0019226846067443926
MIA,0.07707265624492084,-0.01686356264808589,-0.026700909219738615,-0.011272852808659618,-0.02344295777625369,0.08934363351969575,0.07414798181124674,0.004585032671134294,0.11390426597064986
