,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,-0.026584221467881718,,,,,,,,,0.11919744715102161,,
BMP1,0.0008369723228404699,-0.0798481412338533,-0.038886918848907645,-0.041913076485161856,-0.031230575311667,0.04078821581376286,-0.18165383039785568,-0.04347278837885207,-0.06300121887207609,-0.03582534612303349,-0.05094563773222159,0.018243786434963206,0.022352866923643494,0.04733661177984113,-0.02706249516453497,-0.040522481942239605,-0.10912427527448526,-0.06816163031713623
NDP,0.04342635767997678,0.006629829780774007,-0.05803265904340383,0.013295667677193328,0.03852178193341719,-0.0017004393577254588,-0.046181271148278615,0.04515518426930358,-0.0052909787927148105,-0.05707508892787709,0.0329576893182848,-0.08272301445559865,0.03345846778980664,0.09304919276517691,0.062199801484337784,0.019275318970009572,0.03431236153993552,-0.016255700245282535
TNFSF18,-0.03528334952674432,-0.004366053808355459,,,,0.006759612771789713,-0.03947677079960607,0.023725951529432868,,,,0.06343244295932446,,,,-0.01583286820936343,,-0.042495604219619634
IL36G,,,,,,,,,,,-0.014527082663551343,,,,,,,
RTN4,0.17672062422858337,0.018836231324222186,-0.08992691133536378,0.024523349777543703,0.06605142959994456,0.029178983037029985,0.21890674549108027,0.004088105179197758,0.03195263490600979,0.2121487060596081,0.055055222487909956,-0.031203303570369455,0.012812994613144937,-0.034364567462226846,-0.031919019072367015,-0.04526818205882542,0.10613755722044073,0.08042296471396612
HEBP1,0.010384789307603075,0.051878895057728795,-0.022928163734527458,-0.03217136144908984,-0.01031709851745557,-0.02019370814871983,-0.07389136386659453,-0.03205411819997507,-0.020046120861785567,-0.10466918852942644,-0.04604106986463496,-0.11621883336069551,0.08194163911643385,0.04879090870835323,0.09852815957619811,0.08629098182058496,0.04131598180456607,0.01890573227823971
WNT7B,0.1668029904482546,0.019674220062522816,0.018846834812077266,0.018372154707183116,0.01356215705734,0.042920612366091196,0.12690697375359566,0.004809182590832355,0.015195549110852746,,0.153298253793284,,0.1191455861869031,0.02505710406467264,0.013171101374997518,0.031550884448630946,-0.03253269847002442,-0.0011630847272628365
PTMA,0.03943991858397352,0.02207357223382875,-0.07516098540373893,0.07677399435213995,-0.0427694600905624,-0.028247773523860372,0.11582597014002868,0.05655218382097837,-0.011893093326192076,-0.24974850715106459,-0.06692054676684125,-0.04044151591361671,-0.009591010257126973,-0.07425669397742589,-0.02341189702366008,0.024585436683830755,-0.061573262833254615,-0.07873975872553507
CEACAM1,,-0.00853292808406559,,-0.04412606429814796,0.09004151653818326,,-0.05194918194353794,0.035318800479135375,,,,-0.039084361219878544,0.05157383638177651,-0.01592901001776522,-0.03250750473185961,-0.02275017864304127,0.05390384776386283,
PDAP1,-0.08132119371061343,-0.00660322315246306,0.02955943801635295,0.0058117474792040045,0.03543581096313965,-0.023234183114605737,-0.16617606607225327,0.03297543370012995,0.02577254176742228,0.05201659862160013,0.03925231366606048,0.1154919217764571,0.024436142132833856,-0.05441169452777971,-0.022953915378738015,-0.04839108242308944,0.02762473758548592,0.036046869222680286
QDPR,0.017988437583293992,0.08235669531960321,-0.03794999967910303,0.03057323219900989,0.07224215388492788,0.07748502305592403,0.049307853273108965,0.02963254546071568,0.010800507479301606,-0.24869876013708303,-0.05151884993063396,0.05659710012919898,-0.0755117596293228,0.050763048715233496,0.0524562727286469,-0.07504174900588216,0.0003782959715805251,0.059282991369871536
POMC,-0.047494061433582896,0.040823265447079905,,0.0411411192065971,0.057639912320549484,-0.006190887926871417,-0.027383073632641974,0.02616899634581915,0.018314785535318828,0.02860873630033961,0.027322532367880195,0.10294834222456499,-0.07802615580624547,-0.02423310460318216,-0.013299596004884449,-0.04920399057509548,0.02787717040554913,-0.01761169843692537
CCL18,-0.020852851878641415,-0.01927970408204748,,,,,,,,-0.07589453606962604,,,-0.023230400516014733,0.049092345720894055,-0.020600805277789024,,-0.07676714605653469,
CCL17,,,,-0.001993576457789573,,,,-0.02444167619593479,-0.028357003696233826,,0.012216757044093083,,,-0.032602032474987525,-0.038241865920098754,-0.02024151986029109,,
VEGFD,-0.007724827575119103,-0.03846165119541306,,0.053073648726226254,-0.022364981753294738,,-0.027450320953516766,-0.026040538681353198,-0.006664367280222391,0.028517214495426692,-0.014222837185746521,-0.014201258592677391,,,0.04158241126339274,-0.021348555921290684,,
