,UKF248,UKF251,UKF259,UKF260,UKF266,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,,,,0.08560716725419616
BMP1,0.06809502263180964,-0.04970225981958466,-0.02815321763377623,0.05960619504920717,0.08602962777622436,0.01139982854036108,-0.009279813779799697,-0.019951290520075833,0.006632289670275191,0.04887557242187582,-0.009295849938052792,0.016008847266857876,-0.0034912113191017833
NDP,-0.039161547568250916,-0.003641347138294071,-0.0036317681606275105,-0.011959588759610423,-0.03162067359676605,-0.00944223256887315,0.0019142337812854844,-0.05047605764640145,0.04855189771295251,0.057025498117405204,0.046700092195611526,-0.0576624126794088,0.046707218213223184
TNFSF18,-0.008261607344424028,-0.017622982997506358,,,0.16923212478762234,,,-0.025257699676653627,,,,,-0.03861039344072963
IL36G,,,,,,,-0.02421599333264868,,,,,,
RTN4,0.042245291856510485,-0.0020339373214667317,-0.04017881494106143,0.01486040446962193,-0.12076143589362971,-0.02323252144126335,-0.03531015231433265,0.000876974526483461,-0.00152677266365367,-0.025633523427038018,0.014180082833181621,0.06987625372544999,0.007884299008790771
HEBP1,0.03393002604875084,-0.04224676518417741,0.023131960792680057,-0.006549498402521593,0.022556241392665287,-0.051775393151203525,-0.011900310208054833,0.0508461227516903,0.0528414086750765,0.03723121456222667,-0.012880695618629001,0.021448559002055438,0.04053586995032872
WNT7B,-0.02118032899509666,-0.01804073841807039,-0.0298974019527661,0.004881905125978444,-0.051609850210704425,0.01121578514503067,-0.026616167357542485,-0.02780626205586649,-0.04486657808071233,0.08855771034735134,0.0561289346534909,-0.019651021367965583,0.06266630180702117
PTMA,-0.04463449489967319,-0.017910964044947957,-0.024374386485268726,-0.064056847580466,0.10311398540241903,0.06414561320807609,0.04023782352247089,-0.02633048348682876,0.007908897267999239,-0.053106833527203454,-0.028888209686528422,0.03112571640076443,-0.016132471871936716
FASLG,,,,,,,,,,,,,-0.019852003694703527
CEACAM1,-0.0029294467391567276,-0.013845181658518734,0.0015650875563104935,-0.015610033961636021,,,,,-0.037877299649930016,-0.037173125169198726,0.04596138077894982,-0.0052794953497658685,0.0028751135864247767
PDAP1,-0.014556007309292383,0.010308863742511054,-0.015624947588463285,0.05115040619224047,0.025080019630790474,0.027294381511880503,-0.0003076777226975073,0.04516699378748874,-0.019860493460787866,-0.04649611749792624,-0.003916705018090965,0.05544641141378982,0.013971251819302274
QDPR,0.015463493663749692,-0.030951719077765456,0.01483185350535874,-0.04788836686852683,-0.021430177860359022,0.05850622964865137,-0.07296171705215962,0.013776043291816517,0.0338999468172375,0.05820983260002381,0.02631192296087475,0.011464298690982167,0.011670028387771706
POMC,-0.008873579895521013,-0.024600678910942097,-0.023342427627954486,-0.01896731233589937,-0.024431130882528466,0.0176604536291527,-0.016624821294857536,-0.055976583805269424,-0.006730431082410188,0.03339200910986939,-0.0032522577479692366,-0.04948202960175086,0.10679788533805312
CCL18,0.0024524133390868633,,,,,0.0975625770345069,,,0.09012338554614331,-0.0038875391668029024,-0.015964499362412354,-0.08692745501287191,
CCL17,,,-0.020009915948138807,,,,0.03876333787027842,,,0.023845594609256292,0.03120798350879355,,-0.017993611579758925
VEGFD,0.09912830444063953,-0.019830444975808176,-0.02229325605565145,0.009225791067000931,,0.03153594683400608,0.020666754534211868,,0.06688086600572567,,0.033630216154985945,,
TNFSF13,-0.018891215662908863,,0.06915683662247125,,0.03147480405036668,,,,,0.05200036809166207,0.016222461486415252,-6.016530806013457e-05,-0.0007505488539261781
WNT5A,0.008436172547073031,0.03022439823769715,-0.005856385170312024,0.011789923859839463,0.09625521675457613,0.08284648480367751,0.007022448354078109,0.015484977310880497,0.04477167677275601,-0.028130393293979004,0.03812054901604781,0.06725177353960876,-0.030227110203493775
CXCL8,0.04631597941098597,-0.018568053287387806,0.08322978208506114,0.009872709061821087,-0.02203869121075659,0.0006162213519903352,-0.0056905501600618535,,0.010698943490963283,-0.049617455574475895,-0.09273886091048612,-0.0295603855786264,-0.007158603787064529
GRN,0.04056550874627682,-0.01556989169101037,0.043878703676033186,0.09496164823772382,0.004845680515483965,0.0657644865473829,0.00031807124871915455,-0.014770655312341915,0.10155998648172483,0.07387289168847255,0.043937062900970054,-0.05647063530807312,-0.017278097642576453
MIA,0.08920941895288215,0.09187881431043607,0.007965262300464727,0.00012269132654576953,0.05006589544608928,-0.0366890962416321,-0.0010798552890202559,-0.06825161492792417,-0.0019055003195016895,0.0716136288753559,0.024219589199584574,-0.008854440133721607,0.036821298884398286
COL4A4,-0.03006523261625839,-0.018219901905301424,0.032080739399059414,0.006162344921537715,0.00999617601874683,,0.0680883030341999,,,0.000792855214426216,0.08864986804204282,0.006191581226881808,-0.052841580679441884
TAC1,0.09099635893623226,0.025707295207873446,-0.04726500651927179,0.006117642344590693,-0.030870851097205755,,-0.01599212099660811,,,,,-0.029891584158086553,-0.023654432089029388
RARRES2,0.041543008380386603,-0.0015034658484360602,-0.02808231364738315,0.04721179562336239,0.023898979838449096,0.005047339594176462,0.004284896065379079,0.10661787900625556,0.122449507744783,-0.007391695470402461,0.00670770542513561,-0.000617436928953337,-0.0012065405850180198
FGF7,,0.007347944973247561,0.08133407937548684,-0.0025695684548442408,0.03888313260443992,-0.01942853980549134,0.009894094327861324,-0.06382139844125082,0.007028448690646204,-0.02062061965796704,-0.05102784352216369,0.040312892979694086,0.027195431391221398
EFNA2,,,,,,,,,,,-0.026463882732042008,,
HBEGF,-0.04671230655382691,-0.002551298482990028,0.04601346224368607,0.06292101909756921,0.1009060315840013,0.0257682102796557,0.0002447797049749469,-0.000557322863013273,0.04120681153088373,-0.07378629620159628,-0.04941139995621868,-0.013706357214175291,0.04110459678085001
CSF3,,,0.07283139161793309,-0.016377388906488058,,-0.010903961740781471,,,,-0.03785358232925435,-0.04713210194455232,-0.04336488097085192,-0.018944497151270664
PI3,-0.00034948240619667317,,-0.01946049564294318,-0.04581393840957858,,,,,-0.05038109427718311,-0.06361892138781236,-0.035818196003651374,0.05403953500789952,6.058112362837649e-05
PCSK1N,0.021784801561161356,-0.013096787179837966,-0.04614867667579602,-0.043299636840921044,0.026052379051360833,0.012447142537089116,-0.011295702537175985,0.06871077151636244,-0.05957459615805213,-0.019885227193507306,0.010561010098391806,0.03173776413587091,0.024269015815341032
NTS,,,,0.017904881165504743,-0.01799603359350209,,,,,-0.0643062292063525,0.05763028317498579,0.05776136470188129,0.016647185006160033
SFRP1,0.027439473024164433,-0.003621688994919775,-0.017459425119847886,-0.017038016654719716,0.0339351932841752,0.051339474432535046,-0.002169010831846625,0.04141864493765568,-0.026900679650396823,0.016568683438290474,0.04240910634353063,0.012840600473933528,0.0026337987324099306
CXCL13,,-0.03347883707294742,,-0.016884892090239363,,0.03622223459816386,,,,0.018961675132132094,0.014119979056213736,0.0694859057292574,
MICA,0.03163016207654605,-0.04955658675821092,0.011368014528561156,0.06327704225655394,-0.018533675984222658,0.051248340378573745,-0.04041723537106139,-0.07715526688162573,-0.0317071565700613,-0.016882748725745467,0.03541830325389398,-0.02774448854603299,0.04258367830822987
TG,0.003996648778144728,-0.01882665746877879,-0.018841485875127628,-0.03613697948858063,0.050319577399404215,-0.03730537830813196,0.007675875030365869,-0.03236892152338937,-0.047668311367792,0.018411707093904287,0.0028725808540549258,0.008417289302210402,0.13653654196769147
ADA,-0.023163718488366875,0.09222855957301042,-0.02169236236911527,-0.024875272553763792,0.02439627884087605,0.0555210550860174,-0.06382013452243708,-0.02691732876650373,0.025987594480177175,0.049966060057624016,0.10059255892753667,-0.040847898111596996,-0.021650371792570594
LAMC3,-0.032567205307040985,-0.012151791399029648,0.024025366292000146,0.005518534263386489,0.1371710887623084,0.13965168352837815,-0.003143208522273113,-0.0841162297877152,-0.022046934838970807,0.09274627375866705,0.021886968039636214,-0.04884030905942471,-0.014835591657844234
CCL7,0.0698576906360109,,0.007177879340778851,-0.0061048356808286125,,,,,,0.025773675184770965,,,0.08648685270925606
