,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.02689114324282323,,,,,,,,-0.019505717578922888,,0.04277582946569558
BMP1,0.01697155544776106,-0.01490076169084149,0.006635895633209415,-0.00048400830483917925,-0.01564516699357446,0.04963965595703751,-0.02108358382963398,-0.08025281701400182,-0.021553618300052545,0.03934273304968005,0.017935759016112194,-0.03814174727344006,-0.05326951755305876,0.02005727191978267,-0.05861152919301449,-0.03442554167196536,-0.03058114541313339
NDP,-0.035429941864520406,-0.008786013389142353,0.030434272892899596,-0.01845241330362468,-0.01977427430646628,0.09812417530248763,0.010340009817408978,0.07307936244850345,0.0036682026516163956,0.04782002415810909,0.0246347869724519,-0.031484465145241544,0.03872084253363426,0.05791585855204759,0.022439979863744682,-0.0007900357851116901,0.11978740549270425
TNFSF18,-0.02271367775631689,0.032412490204561446,0.006526949469531035,,,-0.02163190590697851,0.01724902859062345,0.004720074418621455,,,,-0.006773159154372412,,,-0.0201159022430091,,0.0010940860295535154
IL36G,,,,,,,,,,,-0.01853672698302405,,,,,,
RTN4,0.07665627343599196,-0.001694385117392138,-0.03145428762298143,0.03566394276995082,-0.03400994026018142,0.03664332682410157,0.03572776661097018,0.0665357728240092,0.00921356503837973,-0.015526048462313712,-0.01788383282772131,0.04875320089045737,-0.06629689983890019,-0.02901854991819008,0.07426354519544119,0.1097499693030523,-0.03025299589156013
HEBP1,0.032664362291384086,0.010475614641215584,0.020753839149687797,0.03314232426200873,0.07380208746143137,-0.04043164781404459,0.02433126660773417,0.043227269185239565,-0.02588883135198637,-0.036198438481860884,0.03921301874044339,-0.0026953481937780997,-0.03149881236855121,0.05094413468623303,-0.027327467349359858,0.011890988515781912,0.028701561680052026
WNT7B,0.06762173889028049,-0.043126145934394476,0.08798054070564627,-0.0090683007051556,0.016018189022741335,-0.00963732651742448,0.07031261533113665,-0.004255568348790306,-0.011566943083379872,,-0.02037399915270283,,0.06529724902177417,0.00992407076366632,-0.0420639789242797,0.012886484353439968,0.02067433383945566
PTMA,-0.045804513040786546,-0.027708389195837756,-0.051286101249150354,-0.027884902302496902,0.021851664326451078,-0.05572216520985349,-0.006371682812400438,0.016149590061529877,0.015068736368093158,0.04724287890541723,0.03300440085475752,0.024489379678781873,-0.02557011472443819,-0.08300258558362482,0.030373661640330576,0.027067784610887075,-0.08214916665769417
FASLG,,,,,,,,,,,,,,,,,-0.021284999227492423
CEACAM1,,0.053522726229187745,0.06758482141374807,0.054686786762102715,-0.015869875984472075,,0.03986310583199966,0.029212921332468944,,,,0.07673149572335887,-0.031668944896909086,0.02193121522717832,-0.028904451394584772,-0.006238472669152897,-0.029614950227706167
PDAP1,0.04624793827877623,0.020961803364680977,0.028880004317037605,-0.00288353829299648,-0.03226798850534866,-0.0002566082068940715,-0.028285049711281093,-0.015835126533367785,-0.025569963609545252,0.025359806232974635,0.024588195343118284,0.05595368077671556,-0.10415735676725445,-0.051032477837012015,-0.003275729237245473,0.013434792660940005,-0.03819222561441556
QDPR,0.036578370236707854,0.02934727456459297,0.035728846299280366,0.02821134626422723,0.02469306734668554,0.0031141659794852463,-0.05698085765627023,-0.0010488589369205188,0.007115662889325535,0.06039210722503608,0.03688366189987327,-0.04003259462055191,-0.0835897479596348,-0.008023354675557698,0.07024852421525367,-0.03632287942714157,0.0631211604751753
POMC,0.033758282333577444,-0.01032792068635749,0.017929923490201092,-0.003313257807088422,-0.03800248362391104,0.02038494583411943,-0.03385584530936888,0.009719695653228649,-0.031110487363318562,0.04224515650737832,-0.00448995435894701,-0.04719745101552642,-0.013362565208416383,0.022606642609362588,0.008678424310222858,0.014459191655708224,-0.03849599289683627
CCL18,0.07030520866536838,0.03800431541817897,,,,,,,,0.02701468714188002,,,-0.0224538026193102,-0.014153414687681125,,-0.052391258140000146,
CCL17,,,,-0.01983966222486229,,,,0.059307880702012795,-0.014316632999689324,,-0.016933826356493088,,,-0.014604115036376809,-0.025717161879661325,,0.06902065223996258
VEGFD,0.05167313393951668,-0.023145825362469164,-0.022504643381745737,0.016757508755109184,-0.027266466138605894,,-0.027923287649295827,-0.018459488295650587,-0.010501423442407327,-0.02042609378225299,0.05812842387585909,-0.04684063257613647,,,0.011504639276064915,,
TNFSF13,,0.020620252434505954,,-0.013684954977958064,,-0.02097843605963718,,,,,,,,0.03568188901650901,-0.027578330292573068,-0.010339927570593937,0.10460740896858933
WNT5A,0.032235735773430335,-0.015881823991630153,0.009463862091034846,0.025013682588216624,-0.018313414696507664,0.017194050149331747,0.04987625487534881,0.015020357934330717,0.005513718528787066,-0.0067882486563900935,0.05288776981197661,-0.09765642138540372,0.01666308248060812,0.06650150751614878,-3.3848878874741096e-05,-0.04981489772878012,0.01297033401578512
CXCL8,0.013368994984636732,-0.010644369580178214,-0.021072014169913212,0.05411751913438119,-0.03201187013689519,0.05926910940991586,-0.011565483097711722,-0.01136659931959084,-0.00977938212664134,-0.022151798988341367,-0.02552707005749726,0.04394575796377404,0.0551443482668896,0.03156007500781823,0.020036491676697847,-0.05940634425380402,-0.047842398550256945
GRN,0.010732257415958523,-0.0031882526556442463,0.006349037842168811,-0.017342165049491435,-0.009517109297098066,-0.0730471263856135,0.01854659733395683,-0.00938779138385982,-0.03559918443150058,0.019129287286369544,0.0027617633018256695,-0.032211781423552424,0.030880396251910826,0.01539705143876912,-0.0487427561088415,-0.05935179700589102,-0.018687041818802496
MIA,0.029305395322933053,-0.009112496892579135,-0.02001405601047162,0.002358468911709198,-0.006426900364979282,0.12044747640463783,-0.030828755896333184,-0.034283097782277824,-0.011943157586553978,,0.057782230593774936,-0.043360741559938146,-0.046384779996043374,0.08520749439579697,-0.030875972460104494,-0.022660567712029452,0.055159501501305275
COL4A4,0.016663502045733466,-0.015557914073133446,-0.03365768109238901,0.008245197965823427,-0.031698991449239836,-0.019960055074715655,-0.026499225666200745,0.014208408384713727,-0.02006355493759571,,-0.010144956968487549,0.07146340126735178,0.07270422291667546,0.0552486087058076,-0.039615209028171554,0.04065357774276055,-0.03371794794905174
TAC1,0.0256363211639049,0.013700598728494676,-0.04604603026180773,0.05213951214147544,0.01742313316317102,0.09688687049769026,0.033593097738812236,0.07950591124930895,-0.03698671012210232,-0.0756564170552172,-0.04272881065120483,,,,,-0.019568194182144397,-0.025361901825360387
RARRES2,-0.029984687046074383,0.0639045595960417,0.016116028312208933,0.043308413325723404,-0.0520231306868924,-0.018174496013513716,0.0037885199922173787,0.08669623175377207,0.042314603764740624,0.028566091235526732,0.04209690732616527,-0.046836057591229094,0.10793062546294722,0.04373364241210969,0.08161007050426294,-0.0066881539678149615,0.020975860740187334
FGF7,0.04233437998834719,,-0.025400651343371168,0.008178018811091687,0.06143093051400998,-0.007310288909639761,0.05627958322880162,-0.013641720371325794,-0.012263562338301299,-0.0026266876142022806,0.07091425862768544,-0.0036200323884308604,0.13102957349403443,0.06865937433385444,-0.029703526233715163,0.03216575129394318,0.08464408789051739
HBEGF,0.09933708401986203,-0.00729861860639504,-0.02428736227029394,0.004998710392330434,-0.00309522154414811,0.002061329165586572,0.056554214224063204,-0.03872360109777383,-0.026968662303961666,0.0004237014836474228,0.020849132840281767,0.03439305931599123,-0.06789893368149863,0.035453184331259456,-0.016969723148536293,-0.07173656284510023,-0.07857337539493243
CSF3,0.015799789822951084,,,0.01332787918138937,0.00422138364783591,,0.06895906618334319,,,,,,,0.0573399452060177,,-0.032628061330676625,0.021641367974537883
