,UKF243,UKF248,UKF259,UKF260,UKF275,UKF313,UKF334,ZH1019T1,ZH8811Bbulk,ZH916T1
DCN,-0.02122272080822568,0.09109325758539269,-0.01328099751764984,0.055437395901479364,0.007499118994528155,-0.042241580628922214,0.055619196940280544,0.02726568244579098,0.04648115188488179,-0.06914379427854028
RARRES2,0.042842507200103006,-0.004270603714365742,0.03384974082604758,0.07897127155713188,-0.05322030761285034,-0.013544597594197006,0.06379394912549509,0.013653627901723989,0.025482830655545997,-0.04272920748022522
SEMA4A,0.02174747423983287,-0.04128570709367103,-0.03340972128703602,0.0029102913066636122,-0.007395444951833631,0.05179556664392495,0.07083859440523202,-0.030376156149013532,0.0030431033009057826,0.014101172741673157
GDF11,-0.042777157249112525,0.0450017415491718,0.04823066882218282,-0.019477161581500372,-0.0066701908813190875,0.01876025348960179,0.04227411595403604,0.010898824579118959,-0.010802280716100305,-0.07644644164021869
GPC3,-0.02629976061505328,-0.01755697611502912,-0.022389790898617583,-0.001672663546337527,-0.012676729635063812,-0.015817581453115223,,-0.03236422658233455,0.04739419462262936,0.0047711768856386
OSTN,,,0.054349481792547234,-0.013296218978261685,-0.019589785834577666,,,,,
GRN,-0.03735962568106103,0.10314761548169106,-0.027181810480532555,-0.02522377069942716,-0.017955421710806857,0.0122562391691799,0.05764250558278785,-0.03037683947116889,-0.009012561786599479,-0.0008922555886434205
CALM1,0.007612315061087951,-0.05640439200767916,-0.049273890463759414,-0.011577861411041617,-0.016410134534075655,0.020099722469512783,-0.01590063201354486,-0.1844523784878993,-0.03159780729427337,0.012323881288020892
ANGPTL4,0.049097054780236814,-0.020730211699599765,0.019707333410709457,-0.02730691156630286,0.05715934908928754,-0.028219180126852903,0.026934997597939665,-0.13373241557887294,0.002524780144069183,0.06305113362881823
BMP8B,-0.051191209437500135,0.028669495003515417,-0.022112119863474028,0.026188640335066748,-0.027468935307438876,-0.004902057610783098,0.05365923558268265,0.020488766229708227,0.040058570348454454,-0.07176180724967397
TNFSF4,-0.027704726823957544,0.013508162787205432,-0.015922925233835677,-0.02681767870586118,-0.02277021614978998,0.015602692617488565,0.0020229788663993233,-0.08547636459524419,-0.01372553057075277,0.00830272235014483
RBP4,-0.02731623057051502,0.011922756850011585,0.01274641471115105,0.1313494131382645,-0.03879854531589978,-0.018923178945004924,-0.03572652451019258,,-0.027083633387696954,-0.014676030472346944
DKK3,-0.04488254645899838,-0.005729370193193589,-0.0008305256469507405,-0.007169877559621392,-0.044069875792040046,-0.00396855184874347,-0.0007952610074244462,-0.01604837831715372,0.048928205201689855,-0.0351939125285567
COL11A1,,0.021818435869019916,-0.015274260771314895,-0.04962496311090709,-0.01977731859026628,0.03330625385927779,0.03997324720876948,,0.025011609413717727,-0.042184024801828014
COL5A1,0.08077399623578387,0.05824863234379164,0.015040772363888826,0.042973426038466656,-0.012922733123564714,-0.01847648906206932,0.10372186944289248,-0.08350877252380491,-0.0032529109720583387,-0.010586164473537638
KISS1,,,-0.022527462095666567,,,,-0.01474456832700666,,-0.01576841028066536,
MEGF10,0.060364510855382136,-0.017071100084240735,0.030511256844164312,-0.05615381514542667,-0.006932353782883945,-0.020506098340602533,-0.02252591782470341,-0.059361587529713905,0.049317241467375275,-0.027792433599421545
CEACAM1,,-0.01733250514458667,-0.007222722730810542,-0.013897370362047613,-0.015751570845253225,,,0.085142252353225,-0.015399749879281405,0.01689874700485765
EFEMP2,0.026391939859084716,0.05068105327277542,-0.0020383260421870724,-0.0028462052247361265,0.022782832035005827,0.016268092367599393,0.05626048331574394,-0.05617790611791476,0.04965136263836186,-0.043989383706720626
IGF1,0.07602189703980226,0.008228554111793992,-0.0008223684169109667,0.012736098897452393,-0.022547035549923943,0.03541696515834306,-0.026601457558689767,0.015651194389446687,-0.029334769377057365,-0.04241423930406048
