,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.0076247410060952085,,,,,,,,,,-0.02437472763469321,,,-0.02900362124172723,
BMP1,0.08311019519184287,-0.027156952155580536,0.05596637358339975,0.007420265269509414,0.035032522925306585,-0.01828810836357648,0.03350916361027757,0.05310696036296408,-0.028809031832577034,-0.02009632621324495,-0.04407235598527332,0.029749219470910505,0.035088667442127096,0.04763751644502061,-0.029088775461651447,0.05238413086500282,0.04657743172861541,0.05160513376953039,-0.005616300349649115,-0.049053871481463764,0.03702876392501731,-0.006044552264739505
NDP,-0.02869341845094373,0.004490651685007197,0.07117156840915839,0.014742642598778654,-0.015794681046079,0.03378822757101108,0.05139377136835854,-0.027366300834495354,0.001993630358215357,-0.0022991062251498445,-0.07464969342406493,0.07786512801110927,0.037050093441903235,0.03128517850666846,-0.044588304008199686,0.001428982498023263,0.0462721722430172,0.013680236265180393,-0.0018743878088174884,-0.04780697700284046,0.10229619777980238,-0.0030554079334602757
TNFSF18,-0.02900829125088022,0.02174403480552445,-0.03180275789026288,,,,-0.022718927709662398,0.1125493274198891,0.023805647297818974,,,,-0.027050322836349377,,0.037402813607708266,,,-0.02513722637045054,,-0.030078559080862495,0.015083187333285999,-0.006448450796962186
IL36G,,,,,,,,,,,,0.012656355250184126,,,,,,,,,,
RTN4,0.05246180735723025,0.08707578947627496,0.026364152809564785,0.026467139660918865,0.005077131077354824,-0.04750037381398768,-0.032726849376870544,-0.127435100720212,-0.05556460759471715,0.024029955496392766,0.07615272838661635,-0.024826819050730704,-0.017426437669961523,-0.003854966448732133,0.029406603657751194,-0.025523830124903044,-0.04171923309506351,-0.034026148444736046,0.03135734008890983,0.014010712738566961,-0.024697877911474996,0.02515241199360936
HEBP1,-0.02824136433562037,0.02459442196053797,-0.031557133193121284,0.02394174995350369,0.04317017656049707,-0.032256782864190786,0.0001430673842347635,0.04704786538172059,-0.0477201908661256,-0.01980046621449747,-0.08115941735785723,0.019395197924399525,0.08766027215739627,-0.01967562602693382,-0.046909818396320614,0.018902881043731803,0.0203677293090935,0.0027122218469862527,0.05517834216513253,-0.09491147464797371,0.010328076104231842,0.04095102240683764
WNT7B,0.16722033465602087,0.05880381103094171,0.09825289439371383,-0.04470074813683193,0.02908038533152817,0.031807819104878905,0.057067967393576516,-0.01884257835073937,0.03243153457187854,-0.019958661603498584,,-0.03406729753774588,-0.029779765184973276,-0.00023260110180656373,,0.027227088311138178,0.029619890578655536,-0.042658781487325534,0.004750438954630592,-0.030078527891656222,0.00046071422744156984,0.04611728965007614
PTMA,0.04250381718401408,-0.033302910757015206,-0.03548306583113797,0.03119509870435518,0.041065488088452375,-0.02669495241572169,0.09977835567480325,-0.022048313264563742,-0.020245744594630802,0.006338945641452051,-0.11322460452132971,0.06488752502367134,0.04768543549095465,-0.15238600718093642,-0.04108075086941376,-0.041951795974636254,-0.008214260556157179,-0.10217298041914685,-0.018395476537317323,-0.062187718590056666,-0.03530132100667995,0.08101703936769275
FASLG,,,,,,,,,,,,,,,,,,,,,-0.02515483080822166,
CEACAM1,,-0.02328924356223513,0.071451168209231,,0.01826567908896425,0.03660166967302807,,0.021872850827044536,-0.030377569870979906,,,,,0.05871534936960608,-0.03834493485590608,-0.004169555035668177,0.001053295456646251,0.11642853243035318,0.017725148871371887,,0.04818288495703929,
PDAP1,-0.07837280014402595,-0.01620458584613573,0.05531864186181384,0.030591441307842863,-0.06188633318007341,-0.06494802257915805,0.03157895954954205,0.09422090063309435,0.029531920098338,-0.06396413306741651,0.025838698141091975,0.014911948514835897,0.039910042319891294,0.04152659641011356,0.01497084193071876,-0.018854930922404776,0.007621523618945106,-0.04147893224460005,-0.015248515997976823,-0.009388064782645748,0.010431980255323067,-0.02380343859843724
QDPR,0.07613359460669392,0.016318750350202315,0.04541252843292928,0.07451236324130103,-0.011843082097091713,0.03507249002392232,-0.06701190092854645,-0.11003190839920703,-0.006303414282172585,0.0377977524659985,-0.06858629927459357,-0.00973475009884123,-0.07282246285129021,0.06370499736775354,-0.03156475970716409,-0.017135708177637373,0.0817754769156145,-0.019860413393892495,-0.043914319308276537,-0.07480075521198494,0.03598236415947666,-0.00028707329471682825
POMC,0.024444302586388862,-0.0034004625397853734,-0.026938123567453315,,-0.017576014496300293,0.06242555005798464,0.01588239608554067,-0.00016826849764912,-0.027815781286313644,0.030288177442918875,0.07443806879681103,0.02679011870174827,0.0018336309464772177,-0.07384838478879747,-0.023799719803209673,-0.02589364024253239,0.06083976386498169,0.0495589233255105,0.04402472391296624,,-0.02525078587356649,0.015354330391075893
CCL18,-0.00730565517853171,0.04335565285363437,,,,,,,,,-0.005285713040609064,,,-0.020376661789901877,,0.02097804825672589,-0.05566427964395562,,-0.0007738196721749217,,,
CCL17,,,,,-0.03307099289346784,,,,-0.029898361889926065,0.034174798561941166,,-0.0043417326676825335,,,,0.006413047950918101,-0.04038335850433226,-0.03213667037973563,,,0.050934638963519914,
VEGFD,-0.04383175111947935,0.01922497158230835,-0.02171464369295519,,0.014368648119065727,0.007970707371053088,,0.06583585534908473,-0.03185417575547498,-0.0025949002750588145,0.04198611325061244,-0.03034605803512427,,-0.050683794210505236,-0.011231050046533308,,-0.02797478508012584,0.02462137288366281,,,,
