,UKF243,UKF248,UKF251,UKF259,UKF296,UKF313
BMP1,0.028571365016569254,0.004037575442307711,0.011822494668518112,-0.050541248384501684,0.023780564337282355,0.05578564515507083
NDP,0.09921024881319175,-0.07439002791366077,0.04762757447035027,-0.002052694205522331,-0.043717068654147796,0.029612051903495515
TNFSF18,-0.019872599663920746,-0.02883149476814697,-0.014972723234471337,,,
RTN4,0.018752129610753353,0.0350070936950311,0.06007929332508578,0.023889557667630693,-0.027664687769906136,-0.053113591416784726
HEBP1,0.035426228352174925,0.03655510422584286,-0.06053343958220505,-0.013996472223928668,-0.020569275427436744,0.036506014323120894
WNT7B,0.100356952268106,-0.04266744974564916,-0.01722763548716353,0.0276286943359249,0.056444442463722974,0.09019382795134724
PTMA,-0.016220614127092206,0.009168669881988079,0.059083693384580076,0.04756168730926478,-0.03494245241417456,0.07769899497679816
CEACAM1,,-0.018350456272714397,-0.013221174063895919,-0.02627433981867308,,
PDAP1,-0.014346082238204435,0.009901294228253062,0.021733348124207998,0.047847765489731464,0.010051583966752386,0.08568881392263047
QDPR,0.02693776408931981,-0.02807746448492937,0.0012524802560640372,-0.05404063984620275,0.023532441393871697,0.06036453543211561
POMC,0.040909252644760315,-0.03504156199814138,0.07303469186904916,-0.024467731281694095,0.05892462708657906,0.0015165490642572988
CCL18,-0.02665079015845497,-0.022899635603338547,,,,0.07655823662445149
CCL17,,,,-0.01522893233101075,-0.01507903859091397,
VEGFD,-0.030027650888936528,-0.02289964287504541,-0.018936679290759154,0.000368388667613244,-0.011060657163665857,0.10841490788491506
TNFSF13,,-0.017280805358738653,,-0.010504576688361371,,
WNT5A,-0.06747718026536839,0.01507015239314524,0.022584967885390845,-0.01864813982627337,0.01671438187291648,0.09882434661537474
CXCL8,-0.06659076028947597,0.00013360862396789286,0.05539176599961118,0.022612511980261627,-0.010300164884167884,-0.015645559503692702
GRN,0.06667665187082276,-0.01542415259689712,-0.007970999131056715,-0.050277477814615765,-0.005545266053981439,0.015347899918519094
MIA,-0.045228503695112714,-0.010827641870185378,-0.0168409582657511,0.014678341042690226,-0.012579168170960482,-0.008911036490247132
COL4A4,0.051932891831486604,-0.0007739724067224018,0.03313951358388919,-0.02858315350199773,-0.021132002139154747,
TAC1,0.11929722961565489,0.027518040551541157,-0.005106261456966669,0.015602798247892754,-0.019280530327216952,
RARRES2,0.02908440137734767,0.04307557406821353,0.01877253055193062,0.022967615848317385,-0.03216201893021379,-0.05897369629935127
FGF7,0.014562458867389964,,-0.021373544121830824,-0.02699469554053111,-0.014730702247381405,0.08185718519048056
HBEGF,0.05289981585715778,-0.0358431473223033,-0.016595318194942556,0.010551866901515923,-0.028404828120940834,0.06233601370334438
CSF3,-0.030228047142632976,,,-0.018151559481699227,,-0.027031294623222665
PI3,-0.035809629476562535,-0.024091382143519777,,-0.01107390381138913,,
PCSK1N,0.12170521390258945,0.026635716060890026,0.052519495044743486,-0.044179317018496096,0.015926358700325303,0.12247700166239041
NTS,,,,,-0.04180519500102791,
SFRP1,-0.02191259944223685,0.023472428054338114,0.018866378162686187,-0.013287832111720788,0.022278706867819638,-0.03664589301598481
CXCL13,,,-0.03196993317353162,,,0.01611041987885364
MICA,0.012810097217534004,-0.060183267606514,-0.030160882932797384,0.02672447954666749,-0.022537062205700596,0.03570875866721749
TG,0.11931562224166271,0.023115956930075066,0.00015220660237486825,-0.014339676096175829,-0.010912634745692856,0.05290306810222528
ADA,0.028243959980210145,-0.026198723372280602,0.03160990361560908,-0.029128992226812443,-0.01772299642167556,0.061438815171091586
LAMC3,0.0053568495763838975,0.0015665835113965578,-0.03196993329378569,-0.030509644442201708,-0.022050196408610376,-0.008144032522861933
CCL7,,-0.014566102753763533,,-0.010367562906614386,,
NGF,-0.017415237236406752,0.0313671537134181,,0.06394552086591307,,0.08032348588573186
TNFSF15,-0.021544821942364088,,,-0.011544788367521387,,0.07175368952735865
HMGB1,0.04280034514103632,-0.01685272940484413,0.024160222520438302,-0.02058506344087035,0.02130123952441213,0.06390030724502525
ITGB3BP,-0.018374639359729106,0.027465673475232356,-0.003544735357951362,0.07704286912250008,0.019936989130325877,0.034148162505036744
AANAT,0.19662568277884446,-0.021133199017898632,,0.09705774652345633,-0.012579168870645932,
RELN,-0.010743667291939006,-0.014320132601914769,0.03586350447573979,-0.018233594629168084,-0.03212320928433564,
IL15,0.008365675745457978,-0.0460576080243901,-0.02290386622421425,-0.0010869090619621265,0.03904435339623457,0.03938602154544884
BSG,0.03049404758163367,-0.020010440691153583,-0.041070420508082905,0.024045051275811438,0.003627555979404131,-0.05429896338311247
ADAMTS3,0.02967139791832041,0.009287319295149907,0.010332624925758472,0.002281161658364317,0.01943907602588487,0.01065729626679195
CD34,0.17624721699052595,0.014738887976132261,-0.003154630871876024,0.04251439814170954,0.06290373963316408,-0.011527611853649675
PLAT,0.012910338098169973,-0.03866874815489944,0.037797080427971745,0.00806111834074701,0.0235008373829408,0.04955091396562836
NTF3,,,,,0.008634477292862588,-0.0043820126885785625
LTA,,,0.08318360774940468,-0.013287831490095114,,
CKLF,0.03144773945794108,0.05595604512517936,-0.01428826313624618,-0.03430957924515591,0.02910024135142645,0.034054857562368646
APELA,,,,,,-0.007918083073142153
CD24,0.0092522813461128,0.014981956667628391,0.03993886560353942,0.014706361512474972,-0.023013412540784248,0.07485880191725706
HSP90AA1,-0.04719789913151573,-0.028006423984373988,0.02928362362657334,-0.02012011738017552,-0.00908058577247771,0.024814509308404564
BMP4,-0.03769083337123627,-0.028685230428392876,-0.014015220971241133,0.10282785811835396,-0.04625768350504565,0.011611738606583901
SCGB3A1,,-0.014566101297172718,,,-0.010610651975334309,0.005650968035420494
IGFBP4,0.03520386470952642,-0.023296133329861135,-0.0166843517199007,0.025903587774595924,-0.005538975016346672,0.03309697601487082
RSPO4,0.08582740239231479,,0.04213268115364869,0.03811704342308656,-0.010610650423286428,
LEFTY2,-0.03563492136599144,-0.028777448675177755,-0.013383551570456554,0.030396515762584942,-0.011634707960239533,-0.019463762798055086
PF4,,-0.015109991894543946,-0.012026455990742006,-0.00904549438285264,,
ANGPTL2,0.030526056100213243,-0.027028074020837078,0.0011965213904520057,0.018077202449345946,-0.04918796518806525,0.05427130451482027
LRIG2,0.043497392550206106,0.010115298751494884,-0.05506409897780686,-0.026822409228140234,-0.024118451237058653,-0.006223582288244202
ICOSLG,0.01119709388631114,-0.0211859391907393,0.027740733226916097,-0.016206457643763723,0.03704390571116593,0.0346084666478109
WIF1,0.08319045722052018,0.04877883532645153,,,0.02183829945103661,
NPPC,0.02644927559962351,0.03265837467827266,,0.0684043012193076,0.06186967291861672,
LYZ,-0.06332435516647711,-0.046166104837288405,0.012801691233835948,-0.0008358967566190809,0.004016895306932606,-0.023798993671314217
EREG,,,,,,-0.0227598326947925
SPTAN1,0.10581455405105378,0.012023001815933325,0.01488232802723647,-0.06504050715560693,-0.022172061845091132,0.014713163095704767
LIPC,0.12270444352922064,-0.018498601661596153,-1.0503036640109075e-06,0.03648049269199554,,0.06613562682747691
COL8A1,-0.036132827665077374,-0.047756316186923546,-0.028133956009792765,0.04119524794860931,-0.02383189511497348,-0.06907405667049402
GSTM2,-0.05476764736843224,-0.0008203700760445658,-0.013982144143916372,0.0363290032854326,0.008436266472652665,-0.003015520510359403
SPX,0.12619130010306054,-0.029918565615881004,-0.005827254625185239,0.03852546826840415,0.044637430249959274,
MFGE8,-0.008978095476100956,-0.02870840533014882,-0.049257268484202504,0.0013994716809958307,-0.010371216144027015,-0.015296382148411605
TGFA,-0.0768517758775118,0.006579423599085976,0.03151815212053325,0.022952030813131807,-0.035407940400210274,0.00628489727376309
SLIT2,0.013932381826469912,0.080419969921453,-0.03135860941856947,-0.0013917085511726231,-0.00941393694804811,0.012838687629648123
PLTP,-0.010163099576808372,-0.05243788082508551,-0.003186220382573962,-0.045406931712428655,0.008049333777512779,0.04019985637789986
APOD,-0.03354508266939969,-0.0031296844818420174,-0.005391962713003591,-0.01823764716588572,-0.04467155001366147,0.021844898149865864
B2M,-0.005118896156559154,0.013135208841713299,-0.04530238939909736,-0.027477543536088053,-0.028885251719166106,0.03760011678526857
OMG,0.10140019725284032,0.017499015096537014,0.023840709598195505,0.013704835880666092,0.032203069364950945,-0.014413927097023637
CXCL3,-0.04045286277843318,-0.027669707704438804,-0.011279892976754769,-0.006503874070015475,0.03871858313094508,0.051427558265942405
CXCL10,-0.02255304526643969,0.015340603936141728,0.010198542487930423,0.03359380106310816,0.016961744476929736,-0.01964045225211341
RSPO3,,0.015880218665292097,,-0.010504577033325479,-0.007334182405001025,
CORT,-0.0238524603096926,0.026126808939105975,0.0675017496409791,0.05238999244958445,-0.006560461430239811,
NCAN,0.04986709199066898,-0.0012810731715297591,-0.00014044165237855463,-0.05520086391379698,0.06512488600630367,
PRG4,-0.032553007998324196,-0.02190567897732678,,-0.010367564522245165,,
ZG16B,,-0.020198786169157303,-0.014471885141447908,-0.01203282657852215,,0.004260024357596543
TGM2,0.008796949810643623,-0.06344037818547664,-0.01974371647235858,0.03338945186885531,-0.049429795348755565,0.06831233960093022
VEGFC,-0.02335743318127871,-0.027813617430700863,0.06972168855290298,0.013114283401300834,0.009672424208095142,-0.0071680436447176836
WNT6,0.053484319895048704,0.005874832911739658,-0.013383551921701216,-0.014339676691566786,,-0.02871128263025251
NRG4,0.10640467472263283,-0.013415892016183765,,-0.012617800296863447,0.0945948623470837,
PMCH,,-0.015462537537316327,,-0.01748319158187956,,
COL9A1,0.0019093075116588924,0.0213394783622247,0.03175385642086782,-0.013178371490751717,-0.022476683590177786,
GDF11,0.015018007746876486,-0.04230561347617312,0.011738697328767374,0.034782850257343484,0.0200980641847193,0.02893775385730426
IL24,,,,,,-0.016191347822441526
SORBS1,0.06727474976150556,0.07360473214338462,0.013628561278718795,-0.012718004606976564,-0.01522366781639362,-0.01205816710153569
