,UKF243,UKF259,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.016649262611506507,,,,0.06542694697538609,
BMP1,0.014082546146560052,0.02248006418513478,-0.030407498766407783,0.028446283358022344,-0.03263915425638126,0.0735491230724634,0.02079318115300179,-0.02720229794560329
NDP,0.051061962577178516,0.03230336019649283,-0.05206492570918244,0.041965594414960325,0.0762776026105932,-0.05060418126147456,-0.009754042155374428,0.05330459675378308
TNFSF18,-0.022596677384208366,,0.00556350216439851,,,,0.01564485051587927,0.04399233760573071
RTN4,0.06517950080521231,-0.0323169350168868,0.06235523196271319,-0.024092951897987415,0.02422859561355033,0.06692352548019345,0.04724572650782731,-0.0002122995100903848
HEBP1,-0.01269394427808594,0.048414248055202905,-0.03172905286062027,-0.06998394061997508,0.03459636062196713,0.053259737303974077,0.023815237064486523,0.09580390635341783
WNT7B,0.006918434718777139,-0.014952854951404058,0.08122571712775666,-0.026797134821501305,0.035981589537357,0.06556630216212643,-0.02055796262563399,-0.00399327201682814
PTMA,-0.06000826362109247,0.014290320417846357,0.003841000942537049,0.022169436738149837,0.006419591453951701,-0.06807837993697717,-0.012620731184227737,-0.0622458464789788
FASLG,,,,,,,0.03157115496162852,
CEACAM1,,0.018763971518508116,-0.03253492202793529,-0.02573332141630845,-0.017888122997045623,-0.02251487355379789,-0.02389598373595069,
PDAP1,-0.027724252155972417,-0.029289290929558103,-0.04254427221732851,0.025195771092730523,0.020878642095872355,-0.11753820213761884,0.025123343113369802,0.05759065779742131
QDPR,0.05120128260123212,0.03778774257334794,-0.07507741306994554,0.027681089775807587,-0.013623168698694066,-0.05495812944584373,0.029836988463392743,0.012129908697443669
POMC,-0.04266629798599877,-0.028401718382213278,0.01658548251320801,-0.015398535519861945,-0.0021141851441450767,0.07684879874076017,-0.0469626999534888,-0.01219753300383045
CCL18,0.043726642665668766,,,-0.02682368789965743,0.04581331372943675,-0.015589532990584467,,
CCL17,,-0.01767748069273396,,0.14921979506106373,-0.025822628552470517,,0.036665338183816204,
VEGFD,-0.03414375326922212,-0.019694665610957174,-0.00042836141005398446,,-0.017888122997045623,,,
TNFSF13,,-0.012193530548147542,,-0.021517410290491538,-0.02806831438895314,-0.025282693997008585,0.008663357348986447,-0.031067157900096953
WNT5A,0.04004292297225991,-0.005342376951115809,-0.022023043332026086,0.03916267515874611,0.014331517412450536,-0.000848692183598467,0.057324492785747486,-0.0006713421707464474
CXCL8,0.004401922503666399,-0.01768414494429529,-0.010759055893534201,0.024524795483482,-0.005648417178115146,0.015193877688060327,0.02464151065696476,-0.0554833711606608
GRN,-0.03407333993438351,-0.00984283804742649,-0.0035625766951272336,0.009759101440905348,0.04820330661983566,0.04246936015305328,0.009931685280521577,-0.05601887402515427
MIA,-0.02461653659921026,-0.011202566611811153,0.01936671768761115,0.02639074208757531,0.0013803794237363539,0.007059450373230748,-0.016002260329529543,-0.02778120643792012
COL4A4,0.030808963115879627,-0.0097331171146988,-0.016406612509339714,-0.03816129443669504,-0.02864168188573164,-0.04537525207145602,0.02033603438414764,0.02157392492348401
TAC1,-0.015270407272490863,-0.06298726877931504,0.0897654502669632,,,-0.03884457097359486,-0.020464244878743848,-0.026350694757864064
RARRES2,0.06638862608839334,-0.04271335092148464,-0.050071279550595316,-0.02177335170589566,0.02705781618651911,-0.03082728376727571,0.005988889080171198,0.00887860828718502
FGF7,0.0004548689579665582,0.009072893505555587,0.024119344762380902,-0.027848763166423405,0.00687021071063499,0.05151721310016534,0.04034028243568211,0.016119592111389643
EFNA2,,,,,-0.017001463780455976,,,
HBEGF,0.022419167007888163,-0.0062886637471786565,-0.0006455688454638173,-0.0032894759110042387,-0.0015204791782219308,0.03315273155691666,0.04208316262884952,-0.011973969301031596
CSF3,-0.03437161925406374,-0.021070015632504525,-0.01735788024680429,0.02948867470302447,-0.004765728999729206,-0.008861613093503416,0.03440440726842033,0.017254558851949455
PI3,0.13991251914377745,-0.03636048574602799,-0.019545202257123057,-0.040468951294310176,0.012970762376975377,-0.0072139474957375075,-0.011302272564216799,-0.02188350637154478
PCSK1N,0.004385768310439583,0.04507990010019864,0.0106939920314129,0.05375694381843658,0.014514168117227307,0.023065678334600843,0.06082066342582725,-0.03407700417190256
NTS,,,-0.02133492282642733,-0.010046126490367421,-0.020713057360508543,0.020493004304037405,-0.024270646791645097,
SFRP1,-0.029656190585970063,-0.015424285202509953,-0.009994633908285935,0.010483902867694581,0.03212718576196975,0.019813865915415757,-0.023706658448480248,-0.022388967834914564
CXCL13,,,,0.1150648200431087,-0.04368160706016481,-0.006194345679706185,,0.07199748260088754
MICA,0.006553507042182914,-0.0095094735140486,-0.0064953649796251935,-0.05622700762901199,0.03054017081023721,0.004753939115778198,0.04797286252152849,0.09021246423058014
TG,-0.027399666660882695,-0.016645247468466667,-0.020949408483490382,-0.006125311354796394,-0.02551039441687027,-0.012154758321228505,0.022757045220032322,-0.03264777778974578
ADA,0.032901867246278124,-0.025569217752043728,-0.050748293368832714,-0.012152109655035987,-0.001495121717679251,0.040538228034178364,0.07091588610196427,0.07271528125259756
LAMC3,0.042369704120056785,0.005223103008293863,-0.012801879133942961,0.05954759876968981,0.0016373570242931236,0.026832601223191338,-0.023413564589235093,-0.013953581645274285
CCL7,,-0.012034487325101716,,-0.011216596758315581,,,-0.017174630063119468,-0.00714513079630992
