,UKF248,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,0.0010318564032927695,
BMP1,0.0815403615258876,-0.026554345641665804,-0.04389603062930542,-0.02507302666569332,0.03259970925722939,0.020855419729872173
NDP,0.0010480686885696747,0.04341894852313861,0.037696773099184934,0.030798771637840915,0.08903269479730148,-0.051568860868190354
TNFSF18,0.006599941886738826,,,,-0.03340314462971518,0.07155564555490597
RTN4,0.0302717681740368,0.02976240006031306,0.0013462742522408493,0.02633155866097313,0.057171620410644386,-0.04521006784307361
HEBP1,0.05567666641255527,0.01821650411934152,-0.02669993534983989,0.020377409090733153,0.020877974432848376,-0.006020818250576007
WNT7B,0.0220724050888997,0.017432129287588773,0.02281917375564455,0.054197424792519766,-1.7414064596600973e-05,-0.029747700574145546
PTMA,0.08374252275707249,-0.035608589512270715,-0.018538755458637354,0.04092302211239663,0.001102917734943249,-0.003992115073153093
FASLG,,,,,-0.01717463334378524,
CEACAM1,0.06247024469607506,-0.022034261398671064,0.03938518363085946,-0.01351765766452986,-0.023895979803388683,
PDAP1,0.025379322874408985,0.022162294718384393,0.07178561217281783,-0.023749221844997188,0.029342990625311233,0.11031807712799668
QDPR,-0.018164134536400884,0.05906473865006696,-0.002391399756891994,-0.038234795879176185,0.04172991192601965,-0.020392174422370665
POMC,0.005593632288956145,-0.05290577001496954,0.041190299645608275,-0.02211311218353496,0.01280675662760625,0.028006006578268725
CCL18,-0.026583205241048263,-0.04032242807422603,-0.03650042335003451,0.03861964292249204,,
CCL17,,-0.015632241974127197,-0.0215774289234198,,-0.015566876077869024,
VEGFD,-0.013757463645037457,,-0.014947343635364164,,,
TNFSF13,0.13229809047179586,-0.029995924349582793,0.13408649949668328,0.0804261462099232,0.007767874839631614,0.011118827390123376
WNT5A,-0.04011334726009443,0.10426988462564772,0.04616106303645318,-0.0025687477697658068,-0.01817277921091794,0.04780972122615618
CXCL8,-0.013724233259981254,-0.05032731037333195,-0.058393311375709474,0.030468085973272288,-0.012052310210804155,0.021510524081272703
GRN,0.09649633930571402,0.005526237105171098,-0.0417496761406308,0.004603025661353123,0.00155552613647305,-0.02363131336084424
MIA,0.05765014217508106,-0.012369192269776208,0.056923677693238015,-0.03871600422001933,0.04184058142683732,0.0580325045120845
COL4A4,0.10042699006339863,-0.031026638602943354,0.06529978051501285,0.055086307877466746,-0.0368543428136305,-0.011402562374814386
TAC1,0.015710291246787286,,,-0.02332181041532054,-0.020464241510943098,-0.05740126506029717
RARRES2,-0.05268821814321957,0.023228196684888066,-0.015024888882801658,0.02359170691974559,0.017173654614895065,0.06615477903500903
FGF7,,-0.02864525098640412,0.0332755459019812,-0.016708248853779594,0.0899249204695386,-0.015491778003693276
EFNA2,,,-0.014206449803181932,,,
HBEGF,0.051138108002792365,-0.0648038733484606,0.009670139655420356,-0.025414336612523934,-0.0062266063395463415,0.13287675082055764
CSF3,,-0.009528998312868521,0.032055426050739175,-0.019379408756106446,-0.016389519035917986,-0.03952763421729395
PI3,0.021862444740756895,0.03246528997382208,0.0030364679480027255,-0.009115190756943243,-0.03560897998113472,0.08546043082243233
PCSK1N,0.0018494423736451126,0.001847986941002354,0.004117337908384821,-0.010780002264181196,0.04284591325239828,-0.022364860547101465
NTS,,0.055505516900693885,0.0749030228966587,0.01555730922269803,-0.007573478290485062,
SFRP1,0.012547073005122495,0.1129807205534041,-0.009798653648795914,0.023028234658105363,0.011157036262634278,-0.049313906280996335
CXCL13,,-0.035113220532564354,-0.025033987466829874,0.018389032698405375,,-0.03206228074147333
MICA,0.03172225004648189,0.006449433967423977,0.03826328804385582,0.08728573002423672,0.08265490226327545,0.0682650741508573
