,UKF251,UKF304,ZH8812bulk,ZH881inf
IGFL3,,,-0.030837039750350292,
BMP1,0.009277577367292136,0.024644418906480902,0.02915202803072854,0.13462499954825952
NDP,0.07637045022139403,-0.030181829820556175,-0.008062577534512092,-0.07241022747332884
TNFSF18,-0.008515093352362786,,0.04825757652893174,-0.03642674705765327
RTN4,0.0013440701204421913,-0.01374260762188086,-0.02310730615526641,0.026672450951240146
HEBP1,0.04790741745549418,0.011453332026140583,-0.03514872466359618,0.08227123480239323
WNT7B,0.01660083253622452,,-0.06649991649358936,-0.03642670928585295
PTMA,-0.011886612769655183,-0.027880458605404945,-0.010896669459235122,0.08598716258869814
CEACAM1,-0.014296301592682489,,0.025873552115375693,
PDAP1,0.02443840611244741,0.02305143845006431,-0.01946242071992855,0.07216881278223886
QDPR,0.034949615715181355,-0.030404205614700936,-0.06492336006603223,0.03880517931123631
POMC,-0.02540224706110497,-0.03535477309993352,-0.07452421625931986,
CCL18,,0.007146528488355998,,
CCL17,,,-0.0406568556086467,
VEGFD,0.026422894050108406,-0.00998893090236437,0.005175928680347098,
TNFSF13,,,0.0036688806274916236,
WNT5A,0.02570042791398144,-0.02091345622324065,-0.0036651028248263695,-0.007724341534800201
CXCL8,-0.01917305935976401,0.04133346223669822,-0.040172444581794954,-0.04907457426403128
GRN,-0.08966150244905209,-0.006165343596791637,0.03845544676601689,0.12281204189751506
MIA,-0.01821044162291366,,0.047877736010764754,
COL4A4,-0.030624538892811453,,-0.04619934592288384,
TAC1,0.021514999490850596,-0.038299637514752904,,-0.06802622156779616
RARRES2,0.007633268675565565,-0.020891986931221917,0.056263661616450356,0.011438707345333999
FGF7,-0.023111611071260526,-0.03153726109063722,0.03885495553133568,0.09237298971823378
HBEGF,-0.009340965220443564,-0.0025259874826889382,0.06004804855606085,0.023704400606705537
CSF3,,,,0.16026720159840235
PI3,,,-0.03454462982288823,
PCSK1N,-0.010849280448987121,0.07334871247533574,-0.023920166752803184,-0.0817443676595648
NTS,,-0.025854327940375413,,
SFRP1,-0.02650048296883403,0.025193758463590666,-0.04355037921291428,0.07523789006832403
CXCL13,0.06410168713957805,,,
MICA,-0.03815453221952885,-0.040988034020847726,0.0028961537041523283,-0.034048068435492566
TG,-0.019440089685655006,,,
ADA,0.020665413458173763,-0.06973612798656709,0.0560678115447028,0.2222063381580463
LAMC3,-0.03456968390681792,-0.04449741409989699,0.1015428421286806,0.007348540716018485
NGF,,-0.025854344963734954,,
HMGB1,0.003489205873723069,0.009118573442508977,-0.029548989266910224,-0.004139870621098443
ITGB3BP,-0.020742681472963705,-0.00631371924745571,0.013542653368876428,0.010588801626799546
AANAT,,-0.024306886566088853,-0.009717604377088908,
RELN,0.00043438409906216516,0.046903610418091234,0.0009648733724067799,-0.05935709853927346
IL15,0.029570691562863512,0.005797111659489258,-0.038806819291576804,-0.03462681838650226
BSG,-0.02560322136102703,0.0057703238715540684,0.0011217175362315532,0.13899130189535303
ADAMTS3,-0.03415764701541068,0.01867140659025754,-0.01646842460228941,0.2576751046678965
CD34,0.0026370411104612674,0.008014966688652397,0.07832577653758806,-0.04643078464329507
