,UKF251,UKF259,UKF260,UKF275,ZH1007inf,ZH1007nec,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.3304134835069507,-0.010170927482026882,,
BMP1,0.1060347867815304,-0.005816219631233155,0.0021179369147427984,0.023711772402540656,0.048219363536567805,-0.02332530155171132,0.0070723327183807375,-0.027409784181375366,0.02276788516608505,-0.017789911537735133
NDP,0.02869340794869361,-0.05231659594211375,-0.004762239711597287,0.018912493807533994,0.05074912181941373,-0.028831233147692974,-0.02073178458806578,0.04508760780020199,-0.007019015962190047,0.06550632178986919
TNFSF18,-0.014516144052971806,,,-0.011674762331604024,0.022034252463613586,,-0.016360148368740387,0.03877744137800863,0.014125865172756926,
RTN4,0.02288772478396574,0.012209374831690002,-0.008002708704962294,0.011097072483989954,-0.0038914007186603237,0.10819132782498816,-0.05005720832014719,0.05621949399348146,-0.0940824857019808,0.05577577425591351
HEBP1,0.015229152009344183,-0.01594383216030946,0.04164951469605152,0.012399179895083929,0.012086531172290927,0.07682654837988011,0.02220431903498724,0.05384162318122834,0.08139130819413615,-0.05604419460016032
WNT7B,-0.004953462529464066,-0.02646191320613276,-0.009374187700342842,-8.19991823451533e-05,0.035313276276814014,0.033672593738369255,-0.03421039374060122,0.02574161685808761,0.10126902051299276,-0.037211948848659526
PTMA,-0.0009444307559069369,-0.001251796769636266,-0.02914896067630064,-0.017172662855579484,0.0009900634677034346,0.0027052642161688708,0.023430411517637185,-0.1407675329748952,0.012983138704437227,-0.10724703401815298
FASLG,,,,,,,,-0.036469459866591745,,
CEACAM1,-0.029977594535859995,-0.013064076945717722,0.07322843504524655,-0.018361619821846954,,0.04093144228441453,-0.023507825183272234,-0.0052057238232361795,,
PDAP1,0.07869662069821039,-0.04353374314250623,-0.05125047713006402,0.007255305308322577,0.00721656804434141,-0.0894358867644165,-0.002381933312001796,0.012669968636701804,-0.0032189164473917795,0.13282595067243005
QDPR,0.05716911769836338,0.053242548967770024,0.04546233347365738,-0.014510306231184029,0.04345651724209781,-0.062086040968005636,-0.01354113282947641,0.05070189878225221,-0.08461806008227629,-0.08645784203096236
POMC,0.05176373804396993,0.00799657072918133,0.0013632521133432522,-0.01354647099113517,0.035160185915817044,0.035386459196824975,0.014028963986466407,0.07952074740662662,-0.004882646465867933,0.07464641090348818
CCL18,,,,,,0.01234076577170073,,,,
CCL17,,-0.011148213815271951,,-0.014560701633918429,,,-0.020915620830300696,0.03540994558371748,,
VEGFD,0.0763410023683087,0.018630496460652627,-0.015506872953334102,-0.015513196029851664,,-0.05851098911480484,-0.02205952438384562,,,
TNFSF13,,-0.016386823555336615,,,,,-0.02242929846735678,0.04793713672788113,-0.03234128178814368,
WNT5A,-0.0598368219010842,0.05944810256876379,0.052488312148336776,0.008931022186746717,0.15095959189216693,0.07591147872957067,-0.009733788677260788,0.008047020576906106,0.06109184711417791,-0.02213544671884655
CXCL8,0.08280426103364953,0.04812872094918594,-0.028710474756088695,0.056933037473162744,,0.09937704406329384,-0.029695622295421782,0.040460497621131075,0.048392733413710864,0.16999176105952526
GRN,-0.036669749063677565,0.03753171860692791,0.0512402829622457,-0.005316877855174916,0.07507416255619734,0.015235761720888356,0.038930419740121625,0.06488617001218466,-0.056440246190131486,-0.019385460118877183
MIA,-0.03818506707847249,0.042220734659443336,-0.02285085350669876,0.01101399049718718,0.12111419581880759,0.030804853828403526,0.06522587567701181,0.038647817665818276,0.0687675435322775,
COL4A4,-0.03743085179835096,0.017492846957141667,-0.026392475857250894,-0.015201822994575464,,,0.07798649861828752,0.0639130928157461,0.03850788887419528,
TAC1,0.015558780218376422,-0.0028187121696250385,-0.025605071007728967,-0.00963828695201502,,,,0.04212827538177431,0.010494520927940964,0.03283237541675112
RARRES2,-0.003819000306108702,-0.029675165849453608,-0.06428239382338582,-0.03668755761149579,0.03766901899383275,0.06389936724824957,-0.026064499633482997,0.08915734988897202,0.08058657109594165,-0.015478086961607561
FGF7,0.02793175858807986,-0.007524724891703452,-0.003408384451276438,0.08660524332615535,0.014756950965475574,0.021097060953356197,0.040572592879477155,0.09041224049040852,0.017463016511951073,0.09206541814098533
HBEGF,-0.005160677113931154,0.02230641846234666,0.010222908938329174,-0.024675483361354698,0.08486712783853298,-0.0652227520170631,-0.032955240163464,0.0112061168836967,0.057111731237877675,-0.0064617074630289855
CSF3,,0.04257054527870931,-0.016404112599867616,,,,,0.09479268367798892,0.021235823107697255,
PI3,,-0.0030992261074064627,-0.015180695407031446,,,-0.04387397928629396,-0.017771231156030798,-0.04022507098853206,0.03531447637307864,
PCSK1N,-0.05381148761478705,-0.0632569675218176,-0.0431331812085053,0.03437606146886644,0.05168499458908778,-0.02021768994565015,-0.035048180873259296,0.03744943816316095,-0.08398421546826017,0.03492175388976837
NTS,,,-0.02341119572990962,0.04876171724761837,,,,-0.0337061744593834,,
SFRP1,0.00081205204992705,-0.00621494735077789,-0.017690656608685115,-0.032245604872741106,0.07546134769571045,0.06964050402744788,-0.022266301624652658,-0.05033987446891115,0.11384185395904604,-0.0643320802735002
CXCL13,0.03073245152415651,,-0.01753166661921202,,,,,,0.11158683673204677,
MICA,-0.026051123428050944,0.06749691836410952,-0.022402555730039013,0.005554473684790596,0.048947562760855906,6.672254751393767e-05,-0.027961306463290782,0.06577430074895967,-0.018033669197043297,-0.05532917768457766
TG,-0.04076348855396329,-0.022369463234921342,-0.006621478510263273,-0.014669355868357522,-0.0325210954194208,-0.08278504613234039,,0.020552478967157284,0.04552739461993222,
ADA,-0.0147041865083455,0.06665323285320882,0.031893062885645425,0.05635840093510266,0.027628914689316244,0.0009604647238346548,-0.006956310764029641,0.02110087785467719,0.08157505449160055,-0.052171030160403906
LAMC3,0.02849054612511206,-0.02189926351309221,0.07766848589638208,-0.04336965860890047,0.049368751157084105,-0.04261743858414062,0.001277771769989867,-0.031346707336798535,0.025181444265657396,0.044464531946992174
CCL7,,-0.01617308617850116,0.008385502480770392,,,,,0.008548151445125449,0.08425612150415565,
NGF,,-0.021701787706119594,-0.02481028721086729,,,,,-0.00973594345024821,0.11735493728722479,
TNFSF15,,0.045225459765231,-0.01720959593134575,,0.11371765752073659,,,0.06852415141894444,0.06943926919322872,
HMGB1,-0.029903538773644364,-0.041683523479480754,-0.03815179031352157,0.030559016506340395,-0.047925395098903166,-0.0033231681278247057,-0.03442997135766207,-0.05257004861646975,-0.022151702120683958,-0.09411163464702968
ITGB3BP,0.04666646711506779,0.06506980518441276,0.01921091220579699,0.019925109892350912,0.03743934754627397,-0.01121206884594521,-0.00233465798174289,0.038406187777683336,0.002259474558281072,0.1907343121336511
AANAT,,0.0010566809753511188,-0.015506875167027607,-0.013192237460396451,,0.014504206052893412,0.07357480382120621,-0.03858619567397266,-0.010727086607663958,
RELN,-0.026604717435894067,-0.00711290012746521,0.017680538291969736,-0.008744573089476891,,,-0.01614702252524094,,0.022831776141836038,0.03351681891804006
IL15,-0.019940971317833813,-0.0139791546380173,0.05352514203293595,0.013942777538211404,0.157764415745547,-0.06160997024591654,-0.015733667461144938,0.13211874165603146,0.02229211728340127,
UTS2,,,,,0.0362965518112396,0.038781814252818736,,,,
BSG,-0.004688291679377633,0.04257324561747921,-0.038747666963390895,0.005549794953698792,0.05768365173745781,-0.036590677546238716,0.015412261964862202,0.035980289816064756,0.12394906653852886,-0.022415024502475626
ADAMTS3,0.0167971580726507,0.036985044209118925,0.045527681369498606,0.058682809483000704,0.16187713346571103,-0.012451619453685838,0.017660385821729917,0.038244564680709726,0.08827181390269258,
CD34,0.053732472592107804,0.007921332569454322,0.06833514526542826,-0.045465808003763514,-0.04658699898855459,-0.019448988508001457,0.06512430110407313,-0.017370916610472093,0.0851269276280729,-0.08657621058998133
CCL23,,,,,0.10582130090721906,,,,,
PLAT,0.041107406546118885,-0.021263329063025763,0.03825427129575221,0.012712744075648421,0.035969059525227644,0.0038752675598785766,-0.02040694502936628,0.030490981693017526,-0.00718308292671103,-0.06833667353040708
LTA,-0.029977597612098145,0.0937771453914114,,-0.012705499520520164,,,,0.04510720147703484,,
CKLF,0.03744592880257444,-0.05596306906415265,0.04303855032122263,0.009753699893181974,0.07264999911959827,-0.009569783909409204,0.013286016385703604,0.026113919846085534,-0.01957289403366427,-0.04216431100470921
CD24,0.008134215053192001,0.03589833475916106,0.05654685879193857,0.011115976228278944,0.08677228118492608,-0.0016413028469515947,0.025850003970485175,0.11770004359050881,-0.0006223054235344866,-0.03100240531521612
HSP90AA1,0.04020349480629809,-0.03587538547031826,-0.04225232965209801,0.006409087951635647,-0.11528888118278532,-0.1219364285049727,-0.038027395188699874,-0.09898542237773729,-0.11264781099115953,0.07987750997531612
BMP4,-0.03177801075576672,0.0014463097947635328,0.017550252300217634,0.045889304339865995,0.009210671230888994,0.03740901701042188,0.05254038744744013,-0.006643432319620203,0.007283375728471361,
SCGB3A1,,,0.001538880199097297,,0.06866564779230008,0.056998565266766534,,-0.012982655365912109,-0.021743687440699284,
IGFBP4,0.020083887193186982,0.050857964876666925,0.04514737621352173,-0.029858456654009914,-0.03729122474192822,-0.08379646848069922,-0.07231298178578581,-0.016546680410984015,0.04497615044310731,0.0560127946889179
RSPO4,0.04110176275821228,0.04247628737747989,-0.021313659072793808,0.021669566549548984,,,,0.08804511602555147,0.10572608259359542,
LEFTY2,-0.03034576812089063,0.0020286465154050293,0.09246932681891167,0.07522579842061455,0.007377389534527748,0.0011017075982645032,-0.03857630834136829,0.042650809093203575,-0.006237339136760329,
PF4,-0.027268699409861007,0.006181584280352614,,,,,,0.03437012194827364,-0.00617681378422524,
ANGPTL2,0.007495085012327056,0.03887947204360125,0.07520330719012311,-0.011355556046137964,0.10358823768414689,0.020077490764495866,0.031440407579619585,0.027241626554079842,0.09349707240774723,-0.06968444632511131
LRIG2,-0.03722712215576376,0.01746458762272616,0.001025833424509858,0.027477075761118713,0.01257480059800027,-0.019727726772905307,-0.023128159355820587,-0.001806964273836111,0.07466166491161003,-0.014834031316655389
ICOSLG,-0.012813608598515604,-0.02544916154752825,-0.05944081890852809,0.004743918731005217,0.11383291447590264,0.031188071903980107,0.039388087290606305,0.09080579468786643,-0.03778599252461888,-0.007618445283847959
WIF1,,,-0.0015038613415167563,0.012264772763894144,,,,,0.01691657044120725,0.1295118721253145
