,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.023903385636037597,,,,,,,,,,0.060242948228545715,,-0.019337388334578435,,
BMP1,0.013423857753513272,0.05062257235335348,0.07642431649538417,0.07755662448060605,-0.017764497891943638,-0.007562345956425172,-0.0419772441937544,0.0868659239117803,-0.010112905507678849,0.02199878916586864,0.08782156016770198,0.06065809753230689,0.03819967301202294,-0.014281439977137525,0.04598546373324015,0.0686778256700869,0.05245375858387457,-0.041271576045244326,0.0722223075491292,-0.01324594659606256,0.019729919798081707,-0.006304995687486859
NDP,-0.02650277695596814,-0.002584790358950938,0.009421311516541336,0.047040636318653385,0.03137066751108756,-0.07538024123981431,0.014753111197586719,0.05593408463296287,0.018555410939488523,-0.10510562834551004,0.02398590765330025,0.07573051241030643,-0.009507872276177023,0.00889034000379125,-0.0735538544600111,0.024201801151998523,0.0640453450818762,-0.02647281957953656,-0.062327604036645196,0.04266298840777034,-0.052304756457985074,-0.08168521719685443
TNFSF18,-0.02828448396829961,-0.02259667323351051,-0.02128608776184228,,,,-0.01737563918777023,0.05511942662038736,0.0037560109457916943,,,,-0.02939600311720061,,0.02257449253629394,,,-0.024782960449514356,,-0.05452242506974822,0.04477508068184581,
IL36G,,,,,,,,,,,,-0.01838598882835409,,,,,,,,,,
RTN4,-0.0708810494309009,0.034502627463454554,-0.004235279723974686,0.003136915077627126,0.015836779091498186,-0.036541295049144794,0.0022648281820734782,-0.1054546481069705,0.020230969655168327,0.06601999578025698,0.006034816352224266,-0.056973617576843175,0.004133777970077884,-0.01421898971943279,-0.07807014985267016,-0.02117629192879345,-0.03719727065788736,-0.03013005730429645,0.06347080688304717,-0.006102278040014633,-0.08071464408166984,-0.016475818082823963
HEBP1,0.01221826025556722,0.02764264532236371,0.0214147601398935,-0.01158283323066655,-0.04952813484417789,-0.0073531861245284755,0.039199918108627205,0.028609298166535707,0.006373949449373938,0.01360774962681643,0.016542783535384162,-0.02292127977521168,0.10423847339364664,0.025483071055254842,-0.12676935795095862,0.10692879875389114,0.017962832067008074,-0.027687036734737595,0.014772961167333778,0.0755441214343007,0.10411171326927975,-0.04238521425188561
WNT7B,-0.02491774448139917,0.13283653619741942,-0.03134011795490167,0.06971404793718033,-0.008152075220538615,0.047866684943531725,-0.024903647382740993,0.0030331706399798516,0.05873489628685646,,-0.02116699467800608,-0.02020832054944464,0.10544118956389227,-0.05361224675744293,,-0.013826332375042057,-0.006299886877033703,-0.010035756171946318,0.012137924219712928,0.020018560349948335,-0.01955060207111488,0.08786593299524757
PTMA,-0.033921794834940996,0.07673731418140399,-0.019560907478912055,-0.03875797978308347,-0.032987294973737764,0.005940553916044716,-0.020916853863401197,-0.04436155592121391,0.011335652684910323,-0.08924054108514053,0.06419653711907598,0.015182423782587433,0.06298491677595143,-0.11953403734752469,0.016692911301927,-0.07555220244346836,-0.06352977430427115,-0.022700130321027134,-0.014515422608247612,-0.07194764587948262,0.021735735915759058,0.04508501038051977
FASLG,-0.024917751525581705,,,,,,,,,,,,,,,,,,,-0.028033368413880218,,
CEACAM1,-0.034598516065637464,,-0.02876899320618221,,-0.024555277539131785,-0.021787022720650577,,-0.012232346461526218,0.04718520670376014,,,,,0.07095983772647925,-0.010257327454053965,-0.03265585935729485,-0.025676706515389346,0.023554326533654905,0.005300037565388427,0.05242456785348684,,
PDAP1,0.09055680903732807,-0.05780810853523017,0.024055630173101562,-0.016428585219368387,0.043541329971734564,-0.0009227499602572007,-0.036118652602229906,0.08905017115000867,-0.022395100616379893,0.017886418323568663,0.08245243285919715,-0.0036418993701782003,-0.0078451536091309,0.029042435005487668,-0.01374996734351271,-0.02011851210257421,-0.03973731853732353,-0.009242257455571017,0.019912981561921728,0.07408868643990722,-0.0036906856861345597,0.04388668502640919
QDPR,-0.03069219136414124,0.03592912482130116,-0.03451869040505259,0.036220749284039504,0.0005809163983032865,0.0506652927783706,-0.006508250342167719,-0.09347470278439805,0.01657026387247878,-0.05515740743992085,-0.0025924043927089972,0.01924299230280168,-0.02589754563509114,-0.02067692614398534,0.09108960258841864,-0.009387742080076669,0.014424091924305639,0.012517928721734307,-0.012092401322024889,-0.023505072804736318,-0.04546646239259532,-0.005983440667473855
POMC,-0.016007468412427714,0.013511360091796248,0.016386928415978656,,0.017820564811312264,0.008271215828049154,-0.007926304378007697,-0.03274516521596187,-0.02533996950128816,-0.044051859262354484,0.03669150960329073,0.013866553651498624,-0.06043665318210524,0.029479481439349305,0.13709602189454873,0.05022552495229429,0.0697552690103735,-0.03189377616423422,-0.021978172671628993,0.05552109404486145,-0.01765878866874215,-0.058830283079034665
CCL18,,-0.030303996800117215,-0.035900985310979704,,,,,,,0.006296779742101512,0.07436739048857828,,,-0.03461633593603688,,0.20178278305651964,0.010046675542071561,,0.03513366853871284,,,
CCL17,,,,,-0.010106621201234353,,,,-0.017040247127998835,,,-0.01679612277274732,,,,-0.023167751625978592,-0.03706593782406378,-0.03168375934809998,,0.007950496462998299,,
VEGFD,,-0.016897199826849504,0.023007681172917165,,-0.0032514301689828807,0.01533855742924686,,0.049140418393116225,-0.009442768773103124,-0.007007182584973157,0.0747622900728664,0.0012990332386900348,,-0.03899917189326437,-0.050491621869584453,,-0.025676706515389346,-0.018370194605296226,,,,
