,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.04290508949680043,,,,,,,,-0.028816002926648588,,0.06408756749683815,
BMP1,-0.01126584855736243,0.08076273723798805,0.058155625234433066,-0.009902531870142244,-0.011110287573187444,0.017839429260326195,0.09556201379285266,0.11462927913474391,0.04358198736147569,0.05377036989981201,0.20224867541018487,0.18049004901691387,-0.0019314141696457742,0.19060230555243146,0.002448435601906592,0.15976539267623424,0.0060164616280546515,0.12239672211756897,-0.002380266879166857
NDP,0.044112012921981754,-0.009354138228599495,0.017950667145189725,-0.0176312337125707,-0.03926928714979783,0.05085042529148009,0.030331907381974874,0.06018245527424651,0.03274758061113583,0.054422576026551275,0.0806875999377623,0.024203832406624028,-0.04322407833133551,0.035709084541869156,0.061934057571888884,-0.019620509619904854,0.04961501339171884,0.010492474627433622,0.0801024996236699
TNFSF18,0.028122143178088466,0.13969275014646582,-0.008820812166897203,0.04315545217773668,,,-0.0122131917229923,0.056265128500444114,,,0.1130848463293547,,0.043708539886228075,,,0.09727640073585186,,-0.021308188772438192,-0.03090680213628903
IL36G,,,,,,,,,,0.05127804918931473,,,,,,,,,
RTN4,0.04562819556612642,0.06828665956975691,0.047301005042688464,-0.0560046023832101,-0.020697166281446026,-0.007414164830546571,-0.08226356756647939,-0.15117087389196077,0.011705103824279495,-0.05343812741398414,0.01288503260481237,-0.10449466169317864,0.0881486718066758,-0.07881302463819213,-0.033765575786946084,-0.07519556203227647,-0.07596601940660158,-0.0061510427172843185,-0.027160077867482903
HEBP1,0.028516014305582888,-0.0421876014547603,0.024470278775541483,0.10374485530321458,-0.02932010707364187,-0.057831150884364586,-0.03585753956723719,0.08852143332237694,0.0036841707639573115,0.0019226632991156882,0.05088149722132991,-0.04054139862235112,-0.044142673320778675,-0.05314821576068052,0.05227471468862338,0.041972009030411275,0.013719021176898702,0.008090860427016901,-0.0052159411895720395
WNT7B,-0.02836890289689832,0.03768600880764834,0.005719464067429691,-0.009073118362927976,-0.0247800597627578,0.032530732810921226,-0.03900544719231193,0.000926872806101414,-0.014524500771146203,0.003724673462137681,0.14813513583835328,-0.014876648286720777,,0.05179048947616833,0.021552092915864737,0.05744092207545007,-0.03260715619751187,0.02909848223281078,0.061297491567734
PTMA,0.05726722400393749,0.03949428997573498,0.02507105003734519,0.009386304894658484,-0.06322243820187366,-0.016365037184195103,0.03336264567325035,-0.03548630843224167,0.014878197181073893,0.04652123880795031,0.14373738474093165,0.06763829294211729,-0.025034708650626947,-0.16187352243128678,-0.017528192992035556,-0.09731584913386766,0.01573179384928518,0.04684803567736429,-0.05412601783348965
FASLG,-0.0283689109167145,,,,,,,,,,,,,,,,,-0.012190092388581257,
CEACAM1,0.05365343648117929,,-0.015632596937549526,-0.0177600111054034,-0.024309986225855267,-0.014343781009467274,,0.022678442633577496,,,,-0.05228935663512814,0.08877535614126748,0.0341042996546397,-0.02107838347195364,-0.017706357018090372,-0.0216418437970008,-0.03838637992900749,
PDAP1,0.01835049638269133,0.03370814699664064,0.018143679460003316,0.025067295378263573,0.05351589526885572,0.024111061516412857,0.04750230687935227,0.12528226792982317,-0.017496956741267472,0.08905060531452434,0.10293480660917399,0.03841288441147322,0.016656314367269193,-0.04983245159117573,-0.022047391595236214,0.007284408964430168,-0.01300845754632861,-0.03141005042847767,-0.044204145505168574
QDPR,0.010367357890865847,0.025232366395689026,-0.011601544048554681,0.001319008967525689,-0.03311370328048163,0.05637639328401306,-0.03012907764154693,-0.1806209756593942,0.006547027466792307,0.012077056188805634,-0.08052724346955308,-0.0014129844547801744,-0.07732613591294103,-0.17933849142544317,0.009820138714408544,-0.06337315116551176,0.024327708146359376,0.020836012931429865,0.045436716327126835
POMC,-0.05666262081075808,0.016841116278389957,-0.03247933559876395,-0.021040904080713255,0.005092033482662952,0.023005874014694106,-0.020115396882182647,0.06751785079907882,0.008513054101576701,-0.032315302342683344,0.12740743420659062,0.014236321392901994,0.02541198729331822,-0.013524831330133368,-0.05061064167650169,0.0016308746508470393,0.06084839885416404,0.1080857014016202,0.08810133363272704
CCL18,,-0.029251801015833037,0.015007227212432804,,,,,,,,,0.02472519090119235,,-0.05110818877271174,0.006436260750146702,,-0.06795066873192958,,
CCL17,,,,,-0.02272272587634084,,,,-0.017977260331036738,-0.013778669049965208,,,,,-0.014954092850913335,0.04674610025668982,,-0.02500655023771484,
