,ZH8811Abulk,ZH881T1,ZH881inf,ZH916bulk
DCN,-0.03781163433862012,0.10575913627724853,0.0025267338815647836,-0.029316987560564448
RARRES2,-0.03208078639986639,-0.08450576011307598,0.1010841649957737,-0.005147609034433149
SEMA4A,0.0014326450654750598,-0.03254529040278509,-0.0159797343096045,-0.0030562968029979425
GDF11,0.047731328155460336,0.033645611628973185,0.013641170106471022,-0.02660797661596791
GPC3,0.019001739347486817,0.0797308736262752,,-0.014913073306148751
OSTN,,,,-0.023732580485347005
GRN,-0.020251065223587175,-0.02210357326813842,0.04996688283735742,0.040054836754476304
CALM1,0.037935166930576934,0.040661877534793965,0.051022460892658585,0.09157324544158037
ANGPTL4,-0.028613942292366724,-0.08870113971936448,0.006766789560385239,-0.019971889853657398
BMP8B,0.04027078339286852,0.02829602259952981,-0.051081352776363935,-0.02568858109030402
TNFSF4,-0.044754885256672226,-0.03853027111513811,,-0.012986110271886094
RBP4,0.017112482391971922,-0.04788127624767287,0.032210630510165955,0.03125232989706383
DKK3,0.05496520041178065,0.019410364222265344,0.02671551243644001,0.03077774519290251
COL11A1,-0.004058317583384808,-0.026248460425026387,,-0.0733915828880908
COL5A1,-0.054609746787596364,0.0003928507556218908,0.006360935759976269,0.05593809400798129
KISS1,-0.024598590589242308,-0.016830640215704643,,
MEGF10,0.05323457306888584,0.013557682868172438,-0.009199759006707206,0.011788884088323013
CEACAM1,0.02051539925416894,-0.013517654096144931,,
EFEMP2,-0.03284687940656266,0.008268628471741889,0.02129441820049975,-0.0053862656230584715
IGF1,0.008111679901456297,-0.028073017166431128,-0.05531915565521953,0.035706768836052845
COL6A3,-0.0505308402825805,0.012911888965281412,-0.013962073450115024,0.01368903891689324
RLN2,-0.016062460200940015,-0.014035568047211093,,-0.02202891630824037
WIF1,,-0.01564571157873127,0.07492677553622328,-0.022557860868534826
PLAU,-0.017859472447447237,-0.011871087643037046,-0.12892233812978549,0.00873023340765656
CXCL12,-0.02869043005681978,0.04320231853877997,0.07116841649097741,0.07944475703227645
MMP9,-0.008122553663318533,0.036160187915879174,,-0.04155096935938849
TNFSF14,-0.021967894948620115,0.06295785630012916,-0.0461076106927669,0.05868930766340478
HBEGF,0.01135678067868393,-0.0026541714010197225,-0.02886818164884198,0.0183451503054263
NUCB2,-0.0531445278631248,-0.009809228224732678,-0.027147135107693548,0.04670361056978515
