,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.012030814704548016,,,,,,,,,,,-0.02471412785111297,-0.002743532823677432,
BMP1,0.02238914292384307,0.058752295857977165,0.028496030498378434,0.004872689073773504,0.06542453407834083,-0.017850438297965114,0.02763476540613013,-0.009747384119650877,0.02626734614087902,0.0339298313045382,0.03411014399548301,0.0456180806450147,0.025108129031679707,0.09549704315265525,-0.014046861003330274,-0.036004414405801516,0.022000313011887977,0.09696372320967493,0.08480608365368275,0.07041953952075872
NDP,0.06252097123252101,0.031621892412678716,-0.08209673870447105,-0.026281777591192327,0.04844685152251297,-0.05095611233282849,0.028951834825524023,-0.02446868835777487,0.04117716573965506,0.03862864564915598,-0.04751301803099332,-0.004297923404121428,-0.07573893479631764,-0.0059036481758134906,-0.10003438724472768,0.012171981776260358,0.01514256544446965,-0.023926914063736014,0.030796729777868754,0.04936544628214095
TNFSF18,0.058402956575016166,-0.031209301673776634,,,,-0.01346331607050075,-0.017865398661299083,-0.010647508751839323,,,,,-0.03451441975490174,,0.1997472181734103,,,-0.02548724382287861,0.03372309430925975,-0.029096343448026887
IL36G,,,,,,,,,,,,-0.015620004153474766,,,,,,,,
RTN4,-0.07570279933630253,0.020928690429896937,0.011991698575564806,0.015539180353335482,-0.005978987120385026,-0.0055175113168167466,-0.0327765537151672,-0.010963588878646239,-0.03280822210830674,-0.021283762799319927,0.0016191989836455201,-0.0470857532053553,-0.07374604083884986,0.013347636663016207,-0.013276648573217706,-0.025660180874524926,0.0306757896673111,-0.05740402899986245,-0.030815517570896695,-0.05836597805093675
HEBP1,0.042429879756414046,-0.026845511921091553,0.020685913925333546,-0.040653106979353495,0.004658494878200165,-0.043987586856299346,0.02538372118273409,0.02195698996208136,0.003767071108601474,-0.05516864113907532,0.01947329096943005,0.01868830382532974,0.0005200884295403154,0.017936375706406996,0.006858099118617449,0.03593117774398039,0.012875314426623766,0.08718145754873939,0.07855342815924869,0.006491813445153222
WNT7B,-0.0008101098776822175,0.014350092468733332,0.10341089941940738,-0.005010642907181109,0.035392453226560025,0.05986015710695701,-0.03424061164723349,-0.020994144135777815,-0.013606576253774023,,0.12777368963655072,-0.01716818463580738,-0.03799700735606043,-0.05695472040566116,,0.04756293341480339,0.05263798537409578,-0.053295888698014035,-0.02402898707504222,0.0072221876728456634
PTMA,0.053342622798851984,-0.004192585367793587,0.023103007232417542,-0.018975550436174337,0.0018872594167538281,0.026830934200436415,0.009025997207805298,-0.015283125023570352,-0.008064101998024088,0.11047932513468808,0.04710878191011243,0.0036075592112314514,-0.089548703828896,-0.032952978305337416,0.08109022188635338,-0.010616700417912094,-0.02261437024849178,-0.037300680618014746,0.011989660197035774,-0.009736976897195103
FASLG,,,,,,,,,,,,,,,,,,,-0.010957886695196942,
CEACAM1,-0.020601164377405785,-0.014877781446316251,,0.020049423082586487,-0.016974343632135555,,0.04475928891021639,-0.01674599466764485,,,,,,0.11741643283688237,-0.013702711256023039,-0.020334243354366233,-0.024091351053109493,-0.03662250846920625,0.043722539436659116,
PDAP1,0.008695605366858927,0.022856771399986455,0.00590714006143221,-0.03870312882445129,0.0085657555329866,0.0037371891418676666,0.03113542404036251,-0.005593869560021726,-0.0489878661671367,0.05142625977355578,0.04406252813237632,0.02949842771861604,0.047129137455890535,0.0643648854966927,0.03488791129814333,-0.020954584437806206,-0.019866396949365903,0.004603500320638318,0.020021518422115053,-0.008521994649008654
QDPR,-0.019673919516357618,0.0011554903175608289,0.00669719088911477,-0.005613793633921346,-0.03143355803213203,-0.006998758378043865,-0.023171472586813194,0.01638476494870995,0.005347371176260391,0.10812554987492441,0.05226145105149265,-0.06672986289492658,-0.016787013624673195,0.05998652954877377,0.012319635771749767,0.0008401901713951803,0.09524077297213585,-0.030439382506844782,0.03875915186227478,-0.020259229664446057
POMC,-0.005119101999579492,-0.0023330617149485487,,0.011160450295359526,-0.034156393347130484,0.05295778407219695,0.035747837589744404,-0.012354527170475797,-0.0365962913061535,-0.02601604786161949,-0.028311556944457816,-0.011429514620563849,-0.07523930944409343,-0.044086028005232154,0.02622650418122659,-0.009242522828290854,-0.0017863124416406823,-0.037841623286333566,0.0399637263769155,0.006075338298132525
