,UKF255,UKF259,UKF260,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.017312724947495313,,0.047661141338622495,
BMP1,0.07598641614852988,-0.03212883358725521,0.0359759153138116,0.058044162037456534,0.011650678397408343,0.04445336277075583,-0.019212892834772424,0.06936951169305935,0.07006521229817851,0.02487799930613495,0.002720705491607178
NDP,0.052750287685416994,-0.01237216626718795,-0.05412408974789792,-0.013928744099973491,-0.1485312385329082,0.008601821829296325,0.051713074798251706,0.08547936184435052,-0.027669162081306646,-0.028152528823775936,-0.04257619855576521
TNFSF18,,,,,,,,0.03888478809491717,,0.0020140299937193252,0.044981820915999074
RTN4,0.04240834459394468,0.022112830639438343,-0.015847181996719827,0.003049827648438017,-0.06431096441944857,0.06208787695469217,-0.045662927376947035,-0.09425805839438069,-0.025048516963793434,0.029043746255931414,-0.12147873531254103
HEBP1,0.017436723477710248,-0.01804181181109343,-0.04034744541736205,0.0764882413391868,0.0661952968174634,0.0564601540867539,-0.01277780153339901,0.03695901235734942,0.044739680502282636,-0.03730167342602774,0.0012940769172997493
WNT7B,0.04533003324396994,0.022198120221866305,-0.037181142880920705,0.032937972700016235,-0.0015889605799591052,0.01698876618993999,0.011526779756454787,0.021498948285673964,-0.02977152600590583,0.11847958605344382,-0.007603446862850333
PTMA,-0.0319027394548367,0.03806050806802664,0.011214463525117055,-0.018362308788468312,0.06568345861488449,-0.10327980304542146,-0.05464114931278325,-0.11376444238341896,-0.04400655877145481,-0.08177535377795603,0.05121234954612979
FASLG,,,,,,,,,,0.08345622327248582,
CEACAM1,,0.0011516717445854583,0.020395563627738846,,0.0018313944600349833,0.04748064368350044,-0.024147825356238564,-0.02565477607926724,0.021284695876567974,-0.028232369676246042,
PDAP1,0.013963216266718669,-0.025542602003260344,-0.018679506093299998,-0.016394843437921438,-0.030206993422516842,0.04743218521335157,-0.013074107137842043,0.05732360210899375,0.039571726997161945,-0.034153520175510904,0.02162388281219784
QDPR,-0.04502534371167308,0.029557988742470235,-0.05814829875810802,-0.028575918337581822,-0.04096228978742163,-0.007494626479181422,-0.020259028544524077,-0.10481883111139317,-0.015267309389091084,0.028539239269426295,-0.13311032875026127
POMC,,0.04753015614023856,0.0009029554483023365,-0.008895133963126297,-0.013245197242928297,-0.011946198263297918,0.019223598408619667,-0.010272887641384352,0.013867668520492213,0.04711199932070512,0.05689261840279547
CCL18,,,,-0.05313013822401044,-0.058279466979334796,0.013296664304892791,0.10984168357466434,,0.03304963346131277,,
CCL17,,-0.01914449521306116,,,,-0.025534079735994072,0.008605929257908951,0.11195352658927955,,0.027613318789174626,
VEGFD,,0.046034024624723835,-0.017786457408802997,0.07456983318484027,0.017184594885214278,,0.0077674434221115755,0.01694845326386689,,,
TNFSF13,,-0.01320544433151478,,,,0.01361637308686724,0.01727832433098249,-0.024477748379911724,-0.014767678989146094,-0.015850533530680284,-0.0001662816599873734
WNT5A,0.0448016210782049,0.02695382050910915,-0.06370916857275609,0.010163808032965715,-0.02058592892140795,0.055313892502241745,-0.03882184152682208,0.11310378665551057,0.061509656696071204,0.036601253015475954,0.0636486448166721
CXCL8,0.003368680861810893,0.10103495305310334,-0.014660180088931057,-0.007672621997989195,0.10655835698151458,0.036521198884213346,0.032602427027562365,0.060667134126915996,0.07745681122229217,0.04820255412012887,0.13461899679494913
GRN,0.023726325269887962,0.013212292972830926,0.012051968958340604,-0.04570802176042603,-0.016282908290518292,0.043422498666705056,-0.005941357374747572,0.1101840669963124,0.0397031996568979,0.0347295656476954,-0.023069402147515627
MIA,0.0395734989444499,0.06387948461687712,0.08838456101322713,-0.022481844289552935,0.1139705135082152,0.016933377379457958,0.09316638790055862,0.052628949322214076,0.1370209718812271,0.06932053502055169,0.03847332711571788
