,UKF243,UKF259,UKF260,UKF275,ZH1019T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.10505714293528806,
BMP1,0.04478934995841095,0.04661598126843134,-0.009397909837292693,0.06801080628641591,0.07193750913624736,0.07784690103004813,0.10179896420035935
NDP,0.11423097420203522,-0.011718294116750115,0.02709448812916165,0.001336797133584599,-0.04109661559993755,0.05852500261386482,0.03480087063476431
TNFSF18,0.01559727177948871,,,0.09357747928563397,-0.04508276386051318,0.013527881710769053,-0.03174721543994865
RTN4,0.058896077826501636,-0.03699682079321594,-0.04128026304487914,-0.05719670831536803,-0.05321966388309529,-0.07306888489825113,-0.019036941854680297
HEBP1,0.00448848014130902,0.013731067577448876,0.041035388345417007,0.004110868275235451,-0.025655329221787135,0.03962984663583188,-0.0055601283851003415
WNT7B,0.035485517987579346,0.0018029832117692345,-0.030631513889727742,-0.021902047585858127,,-0.003871530630658453,0.07331820127916909
PTMA,-0.19112757907563407,-0.0239424655437421,-0.029890235378285366,-0.03725315111231934,0.04687069122661832,-0.04404522641544579,-0.04203137133895805
FASLG,,,,,,0.06989733045638431,
CEACAM1,,-0.02775078600800201,0.0827594558016994,-0.02811243080021561,0.022897216725400706,0.07770369922714408,
PDAP1,-0.07694359228484159,0.029782543645317565,-0.013138884435162796,0.015107951689310388,-0.006474293622712547,0.026005112849745063,-0.0933197394089907
QDPR,0.04940962836063601,0.03008964074188481,0.04233856283956682,-0.017391263440609015,0.05726525615826134,0.02405834052456845,0.08130468381358501
POMC,0.019557116591758295,-0.025842657877821446,-0.04087359914844939,0.03296797974570119,-0.033801060115186965,0.0452210799252526,0.03077760502199939
CCL18,-0.034081470501698435,,,,,,
CCL17,,0.057033480980673235,,0.0033104743796239463,,-0.020991824720616736,
VEGFD,-0.001695071679908058,-0.017920130696063866,0.07435480071915375,0.04549960706443571,-0.04197340675498991,,
TNFSF13,,0.01495948323588748,,,,0.09236670290979944,0.08407702775373437
WNT5A,0.07786738965235676,-0.015544946021589524,-0.02478641778878334,0.06078469941107262,-0.05135873395526679,0.06622407007596452,-0.025725890117001965
CXCL8,-0.0731843044612293,-0.05616193898705757,0.04123976394977957,0.03303377361203566,0.0975646325251746,-0.00619539191203273,0.026057480987425215
GRN,0.0963525722696852,-0.0201707546586234,0.038750225557520654,-0.001907545829918877,0.127908428587592,0.026120984477335882,0.016203603163638045
MIA,-0.022388449081402518,-0.03386897949871016,-0.01682392001426767,0.028968810367864264,0.09213310199923239,0.09610194136761618,0.08130169148792073
COL4A4,-0.04260887376831705,-0.030906646483844682,0.05615582863668488,-0.023274645762115655,-0.055488137232979746,0.019904819704105733,0.027538322357031603
TAC1,-0.04345792995291367,-0.06148684507925136,-0.04186115645498908,-0.09667790257043085,,-0.0275958881338312,-0.020549583743569057
RARRES2,0.013943094613481867,0.017107861036929645,0.11689558241785591,-0.024639805156900143,-0.08285696936811003,-0.0035491421077420548,-0.02807113433213489
FGF7,-0.050631627613394854,-0.02851162101374836,-0.03138332117571646,-0.0005378452030270067,0.03215487910509535,-0.026384355734263246,-0.030201119798923617
HBEGF,0.1292033748547006,-0.036897080036597155,0.07266579057109075,0.12758834703533345,0.05776719829408253,-0.05849177531404942,0.07136671827218873
CSF3,-0.010163692074569753,0.057540787070608626,-0.0002697791020337191,,,0.07239957479128974,-0.028349646929296864
PI3,-0.011444745887954088,-0.03308432189773651,-0.024752083593182667,,,-0.04801846321026644,-0.06370848620465813
PCSK1N,0.026174951129011928,0.05398437889769691,-0.02721317964490914,0.015766223380589438,-0.004311699070098458,0.05290517577417942,0.0015664620400378862
NTS,,,0.10128006457863419,0.048694916723193586,,-0.005738531866168262,
SFRP1,-0.069321477028283,-0.014034521437549241,-0.00403831415300061,-0.014412314850026113,0.08793882786752223,0.019906835385239966,-0.006734810250754105
CXCL13,,,-0.04163674907732503,,,,0.06255122107638267
MICA,0.004320882457171252,-0.007200484028541294,-0.032308481104300416,-0.0238126564468672,0.13367027633120324,0.057977439308353515,0.03139101328326288
TG,-0.003722739714714877,-0.015145472179903237,-0.01118035611284729,-0.02245941565799481,0.1369473073815602,0.02893116265837654,-0.036293570439472254
ADA,-0.02329080550336164,-0.040922385688351444,0.052866216456030825,0.011763973138696026,0.1435532883202254,0.11143798765995613,0.08179118626957405
LAMC3,0.13298138751522254,-0.051266942742819045,-0.0011875131317362658,-0.02107868794794012,0.12324421404121921,0.08323133214745308,0.06441142830275724
CCL7,,-0.010950152187705285,0.02885634031474526,,,-0.023159866038060792,-0.029508757991293186
NGF,-0.03574204362675845,0.022205660287096838,0.022819318724928175,,-0.10417110553524353,0.02255426913097146,0.008819012852247975
TNFSF15,-0.0008020588803266659,-0.012193530026092836,0.08589743781031293,,-0.04285208237298268,-0.012859410311095847,-0.044936618063791886
HMGB1,0.14587732162326053,0.03059653907722857,-0.04239262321393311,-0.0545063545642646,0.02088916403568986,-0.05070419354287258,-0.0025257193573322316
ITGB3BP,-0.08487189351996018,-0.004704675782726426,-0.06767662649286624,0.01823810859915797,0.0031923839855465294,0.006158496663271882,-0.015650175992739965
AANAT,-0.02847842681399264,-0.01109486643270567,-0.014069214658872209,0.06364551993545675,,0.04641938143442091,-0.004630983255823866
RELN,0.04098231087330693,-0.019258203486851772,0.021239810052047822,-0.0379473966754831,0.029617407445584498,,0.008003566967380714
IL15,0.039990797621009364,0.00495591374605154,0.011585587167187312,0.014938434525647032,-0.06779207361124455,0.05693596310994981,0.08386776005578234
