,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,0.15003357200378614,,,,,,,,,-0.017325841586449727
BMP1,0.0009110287536194568,0.023410711003698938,-0.01566675989579503,0.0015891008937391727,-0.04168947831782863,0.05108924932235998,-0.03400461382481739,0.05612079405233649,0.03282311334341247,-0.017327105073101725,0.05307955775046429,0.00811237520028152,0.027009904737714703,-0.03345730578609564,0.04637853912410818
NDP,-0.022812648322368477,0.06131134352029517,-0.02214243756102669,0.06733242113557508,0.04212882717336945,0.025081579168342184,0.03507236379637901,0.000369807294960191,0.04223163621868783,0.05355830266495421,0.005962670455592145,0.0385102429497594,0.0402712295340786,-0.0040360950198020705,0.05553575856673817
TNFSF18,-0.019285631875154675,0.008325572027227154,-0.022032657157075697,,,0.05092546741279256,-0.013987920667852356,,,-0.0319844834444376,,,,,-0.00034383723428544087
IL36G,,,,,,,,0.01133527894356301,,,,,,,
RTN4,0.06985086567849924,-0.0005692813806111429,0.009902213927905818,0.054828966761834956,0.0025622355201140984,-0.12025293924763616,-0.029871984270435924,-0.07147312198221704,0.0031227499386805506,0.075852886071049,-0.07192692449479235,-0.023597802890415114,0.05096980898842247,0.1439809311674941,0.03240408319916403
HEBP1,0.05985824605204335,0.007994428547578087,0.03349075017045782,-0.030397900432937972,0.07025441236446922,-0.0019163254457379303,0.011933210824854292,0.004480041111606683,0.0544962232906251,0.049139017477033656,-0.041628897824757934,0.007661412075797978,0.02022539741061582,0.018717105215377047,0.07459480608413095
WNT7B,0.10201942399005616,0.07745686477777604,-0.019936821892958066,0.06619472626568684,-0.02573362679949873,-0.021239206151710453,0.012168220974437536,-0.02346275022895582,0.049513215456775735,,0.19173008274045966,-0.039738243867555416,-0.03887744618963262,-0.0283431046948457,-0.025025020007471022
PTMA,0.11447602483478611,-0.012186638009433618,0.05703599104919671,0.04352287890380084,0.016824356232559238,-0.04285404568394729,-0.027090219494518543,0.06209319848580874,-0.08405225201874188,0.013356028613947626,-0.0509790913500062,-0.06783521267467607,-0.04024661243757267,0.05796607758459454,-0.03209765225775527
FASLG,,,,,,,,,,,,,,,0.013252888424544114
CEACAM1,,0.050356275369348336,-0.015300311683753209,,0.07094295474049096,0.024377986618730255,0.041867421526357695,,-0.04892182683077737,-0.036443146233903795,-0.03129633143247651,-0.02226729800336484,-0.018834312690888377,0.0016215855882962284,-0.020907441155769552
PDAP1,-0.023820064485994875,0.007045953272088626,-0.017867477928157408,0.0018886971787074802,0.0037931389560907605,0.06052293988489493,-0.021878972123981332,-0.005804962667785108,-0.07597537730330069,-0.05556598643502227,0.08417613038300305,-0.08993508978253402,-0.06740809815193188,-0.0018329436326110602,0.0031606435297130966
