,UKF304,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.017771224691721422,,
BMP1,0.03445028482681263,0.036552855257712125,0.05418248697263238,0.07641433040487648,0.029533685865454296,0.02007610856345032,-0.021802879652212042,0.026035170164265736
NDP,0.0971552001982753,0.054317874241978745,0.06068045256008133,-0.015904111790722538,0.03206487481573141,0.026575773938218784,0.05577570909163653,0.01680721727220291
TNFSF18,,,,,,0.11958885198782722,,0.0898699422847256
IL36G,,0.001654648422907453,,,,,,
RTN4,-0.09992945737178041,-0.05214241465879856,-0.06968554212022153,0.004161439738569295,-0.04641966945958531,-0.020514614826197774,0.044185493578430705,-0.024875820605689578
HEBP1,-0.0098863219472611,0.010524461090402313,0.03052774667958572,0.04343092971289028,0.012173618995832112,0.05257357802948412,0.013260445034262788,0.06108463327503532
WNT7B,,0.05161089508598666,-0.031398333638392666,-0.03628851294615807,-0.016381162588812184,0.14570989061795953,0.012076465645714752,0.06307126881975612
PTMA,0.06288050293358267,0.01830771699407869,-0.03772025758098286,-0.027954769999130172,-0.08029203519151529,0.0202161225354876,0.003702538354154856,0.03495227108332179
CEACAM1,,,-0.028158528524954287,0.0004738242241076075,-0.005824111204692124,0.10619376111450225,-0.004831898569510478,
PDAP1,-0.026257697344335973,-0.021729979359561207,0.017269428700782803,-0.01549174931442341,-0.008995444914460828,-0.036241378215023864,-0.006825453996345939,0.05008253446933408
QDPR,0.13143820764181335,0.009173701530941289,-0.005814719295094023,-0.0006605059804726612,0.07941645518873473,-0.023105603509097454,0.012695059578095894,-0.03828079482701561
POMC,0.03752552300498645,0.019748569721128057,-0.056725255637665374,0.016813358119448504,0.045625842884675395,0.004272641192026842,0.08302932660908875,0.020621256352851402
CCL18,0.08340999088053792,,-0.019964859694812542,0.008791342054989968,0.04724591257786139,,-0.053042273819838476,
CCL17,,-0.015946952964744437,,-0.01442616164399801,-0.03456284037346878,0.12445505024602346,,
VEGFD,-0.03185099054722698,-0.017090843422661095,,,-0.02394273450789784,-0.024711769770568718,,
TNFSF13,,,,0.06474185979097524,-0.014605971391414417,-0.005417894603699061,0.05316987741902195,-0.03139679845234121
WNT5A,0.0005327097652018496,0.08523960931554442,0.02006842766091087,0.00011430759628618612,-0.003965023939708153,0.060971877837469296,0.006497210237576055,0.032540114876445904
CXCL8,0.05888850553717825,0.04001275751577765,0.1342724562399016,-0.06726607850283894,-0.11042719360283863,-0.0022809131105388796,0.026518208553078126,-0.031815592765168293
GRN,0.03603722427399883,-0.013480052128202661,0.03633298488034289,0.0343793530477546,-0.03058467313867513,0.04169987466779014,-0.04220200664777696,-0.019282099417903594
MIA,,0.034059256136857924,-0.040286963579949424,0.06207048164026833,0.06802890741282124,0.05186781944329759,-0.05416305294220953,0.11624539424034488
COL4A4,,-0.022705360867239427,0.14475118574412515,0.13870289608438,0.07531275204698991,0.008026165634123093,0.018004966037452098,0.027613589876073263
TAC1,-0.044524608162482854,-0.0054036143121651715,,,,,0.010027450545353542,-0.006665712926369445
RARRES2,0.05230907002566117,-0.022313583502764765,0.08626692484135849,-0.036726545276370245,-0.0638961350423002,-0.04346953835146778,-0.07861089900730256,-0.032161181089627934
FGF7,-0.04197494234818524,0.03377781612884871,-0.02595479838358546,-0.014415050636886358,0.0005850199591740339,-0.0060808931754142035,-0.03269186216469614,0.004748927796889036
EFNA2,,,,,-0.022755966828287583,,,
HBEGF,-0.046468853474120816,0.01939345145918181,0.050019030922026475,0.018016233808765297,0.04369856110526022,-0.011892230837144673,-0.026370895457283643,-0.010111258419368397
CSF3,,,,-0.0175847615268183,-0.001566616977842332,,-0.01951180311895343,0.06721057371431947
PI3,,,,-0.061693121272995366,-0.08195795288229067,-0.019907889455177488,-0.06973149969839895,-0.030804555082878878
PCSK1N,-0.11333827572429414,0.018829720912688842,0.07083571345933876,-0.021721496704631853,-0.0019947014721560814,-0.008998377433050786,0.049161195721036784,-0.043781701347026386
NTS,-0.02867612289373592,,,0.054337475730730535,0.13799738494402986,,0.014311426781630015,
SFRP1,0.0528960638354627,-0.022054158312081282,0.051907227200869585,0.015494239206354867,0.014537154727470176,-0.06504128469812581,0.006995519331695052,0.0010156153555552214
CXCL13,,,,-0.03240411682997927,-0.016844697677051528,,0.0008577939674717342,0.08982110441471992
MICA,0.0785906604588259,0.012443005376131765,0.01628387705228124,0.016562883046687068,0.04730019660831558,0.07687388158449707,-0.028529397810828708,0.08242178150987199
TG,,-0.02395457351497423,0.012365027230258003,-0.019168762077753105,-0.034144924026727745,,0.08925523175242582,0.06338565144522036
ADA,0.0200150761415993,0.04929490214020748,0.003736969412585476,-0.001122670246701026,0.0017496990293343292,0.046002250613293064,-0.029708227371021433,0.08397311210280134
LAMC3,-0.04978861429218173,0.04303796136517957,0.11091378952015661,0.04949984238371808,0.0010334649412385324,-0.022249976550791282,-0.03854256791479702,0.02573975800102135
CCL7,,,,-0.021621491065123007,,,,-0.01757155253851886
NGF,-0.028676141775060216,,0.019895171806078325,0.009524635646353892,-0.00463669431341271,,0.006898700320555841,-0.02906351251222664
TNFSF15,,,0.017559535198471973,0.03910788067557138,,,-0.019714348212395233,0.011925529980370334
HMGB1,0.06635154884446097,-0.033421688301720834,-0.0667070381760319,0.038632923273781,0.011855502774176702,0.0009822313889420594,0.009309705199060044,0.012823480389083309
ITGB3BP,-0.06479424300223716,0.050463929946895476,-0.011370614117830564,-0.015123119296936029,-0.023671466297131422,0.006736548759889122,0.023997340685114724,0.008482135990602784
AANAT,-0.026959790559659063,0.0415720910995175,0.18663351508037723,-0.018968148490565943,0.009582568645864535,-0.028982570475736345,,-0.0006852465627022637
RELN,0.03858235192855162,0.032926220146516263,,,,-0.03624449146521512,0.006929426500041666,-0.06198955921081336
IL15,-0.05524663275004102,-0.019839453244991073,-0.0351513706957657,0.15115604967506246,0.03793390710336383,0.03324712234564269,0.0076055273066097315,0.10497663498387137
UTS2,,,,0.036641469769684694,,,,
BSG,-0.02922753980208674,-0.037306992833953126,0.09623136634946518,0.07556719628581043,0.009523155787526286,0.02406805319515007,-0.08406441350818299,0.02582217308960853
ADAMTS3,-0.01620666706761928,-0.02216735726591857,-0.024898983377464098,-0.002119814730494483,0.11835441406722312,0.011358321286755934,0.011205942067843276,-0.005525018573594236
CD34,-0.004069490155968532,-0.005461151064119082,0.06266582657408988,0.05614118318920599,0.03861974912919118,-0.052518813027379166,-0.039685132227255775,-0.01212546112687141
PLAT,-0.01567334159632711,0.03443436485280312,0.09066458434930405,0.06643180807716449,0.09993133341306253,-0.01846775558745761,0.04951489077095404,0.0555460561882102
NTF3,,,,0.025251322000112444,0.12482038952053301,,0.04109574816057325,
LTA,,-0.019839455693982443,,,,,,
CKLF,0.003825793943900659,0.0007956873000884168,0.060095556909085836,0.0443552401824283,0.06912696882811188,0.035118663682708565,-0.005710206378981768,0.1015212909043387
CD24,0.016417146999015586,0.12355202622742714,0.08043829925293779,0.031684705473901946,0.00991301807716571,0.02715716345744449,0.10289174109101841,0.03299362867090907
HSP90AA1,-0.06615646185394597,-0.015740668580614955,-0.07788387544748017,-0.07129043573747015,-0.12961327678454482,0.010906186658348211,0.031452457469929244,0.0025655181833702592
BMP4,0.037800298483547504,0.12187673373920925,-0.03897305978673894,0.04006439656437693,0.05388369375013089,-0.03018635988883737,-0.04606521726012784,0.05394201448332987
SCGB3A1,-0.04745677602845852,-0.013843709817432241,,-0.03290882344715873,0.013185430711174548,,-0.00330045851541441,-0.03407108601253946
IGFBP4,-0.043890854203196106,0.009294574444444119,-0.024186815849736695,0.042590650038461006,-0.004628476924500282,0.024082842704922496,-0.08823149112159824,-0.02016885380775407
RSPO4,,0.11149553731567301,,,,,0.02672495460328573,0.1136804430964703
LEFTY2,0.010778721683246685,0.030424675117137045,-0.026573274190537746,0.0046998327546271725,0.09813806123484065,-0.011464140942248853,-0.03749565139563754,0.044207228643892746
PF4,,,,,0.01910754210486266,,,-0.0222626627917304
ANGPTL2,0.04494802677748992,0.012548301058105725,0.0731042473223694,0.08502195452576072,0.06340545399127422,0.01959466610164028,0.007189091100768268,-0.00010497233658492525
LRIG2,0.003646420738273481,0.054047287973285736,0.07742217579383122,0.056815698452347775,0.02566858499827745,-0.014724805552445694,-0.006459628226770697,0.064888322342027
ICOSLG,0.05171301543815565,0.0507684949470627,0.04893117932474685,0.0007605939363303083,0.08928483803372396,0.06786614720981185,-0.05207685511066081,-0.0062357467292580215
WIF1,-0.003265283448344432,-0.009556808371187907,,,,,-0.025630539099871764,0.024689816895367648
NPPC,0.05681224435542635,0.019235544428231915,0.1798209734609515,0.07538302222235105,0.07735238917364931,0.0649359423431636,0.030086659872906683,-0.05350232107817195
LYZ,0.014083358420931094,-0.013061151575642088,0.020321735270227334,0.04377970392886961,-0.014481247198381597,0.09883528769305874,0.050706738098418774,-0.07093447817307101
EREG,-0.02949936961781773,,,0.035934362252457615,-0.05387547729162695,,0.009563502703121337,-0.025630919803993353
SPTAN1,-0.11545231976615569,-0.00024082311630099055,0.03401051208621749,0.002848694360672072,0.026937737995005352,0.006736333011993298,0.048735914880895966,-0.06338339195489398
PTH2,,,,,,,0.015676477536627285,
LIPC,0.013419503869074161,0.04960807943951229,0.05030467646955877,,,-0.03374996152290324,,-0.03471729000373602
COL8A1,-0.00838965694246622,-0.00874114156329053,-0.023745541421814887,0.003061180943447084,0.035881817000230444,-0.021570186843641755,-0.054710310787535354,-0.00018736894567815843
GSTM2,-0.024164788614077455,0.006580774079396373,-0.05063758883211771,0.0528538296439793,0.09977820356928553,-0.013129102805940247,0.10230399167485989,0.030132889953252716
SPX,0.0066004712145017914,-0.011685194137240914,-0.0587801494158154,-0.021799783272963794,-0.010283722659526684,-0.03051395511412029,-0.004950199330359377,0.019940010339478613
MFGE8,-0.02150631317119014,-0.03304445053470443,0.07846163164009204,-0.0032456861160091066,0.057069036905432816,0.013847976675499713,-0.005191040996710528,0.034013641182758285
TGFA,-0.012409728690789905,0.03230504878348345,-0.08543764744113616,0.05452805264394634,0.01602547109655804,-0.02505809334015908,0.030840529642848984,-0.01687281088098315
SLIT2,-0.04180993222146459,-0.0013528373560805077,-0.028158494120163524,0.02043721101944441,0.04365660068458152,0.049959074456289096,-0.0057372960112480045,0.0033004805600624705
PLTP,0.058301225410169945,-0.003932343586547041,0.06995081797841679,0.06544595477307356,0.030026194674822478,-0.009333174890445913,-0.04117296431512464,0.038615593455973665
APOD,0.05238617015482052,0.003991227218399036,-0.0761982082222581,0.06094682352238174,0.11962281883154306,0.008274393893597898,-0.06087087175279422,-0.024662058614057278
B2M,0.08808461946570426,0.029032753299034462,0.042565421221611964,0.12973043443400992,0.095370667650646,0.0381765748659685,-0.038853808411360664,-0.028664490591352836
OMG,0.07926582360052759,0.016272416035832613,-0.038385873658099846,0.03663418133409572,0.12322794949864167,-0.006572075938816615,0.04424865647854538,-0.03730532152081174
CXCL3,-0.015496404376917069,-0.014288000755063653,,-0.03522524159777934,-0.04749027446120443,-0.020409540086331175,-0.06747702785308204,-0.001368086403192102
CXCL10,0.024154021776299477,-0.022705362301659152,0.009480828977923954,-0.022326963293784807,0.08999679534042165,-0.027496003955980463,0.05691825616206305,-0.011639446893322835
RSPO3,0.01623317051559539,-0.014930685414801732,,-0.012401144953114328,0.02833283170706759,,0.004818652316200945,0.013368569598277483
CORT,0.010438379581302592,0.06807760266532585,,0.044040752428572146,-0.021826228952373777,,0.06026832698401086,
NCAN,-0.07229887077430171,-0.006507141507460074,-0.04841327374852546,0.06469461891968153,0.11217722571824756,0.03887274745144249,0.05655063372823679,0.04150295842536476
PRG4,,-0.017456439383249457,,0.10201904467320691,0.017824596638541308,,-0.04906466565230596,0.08405804438418016
ZG16B,,,-0.023116231216412465,,,,,0.16379735038713064
TGM2,0.005750262591926369,-0.02283313071709871,-0.015045162781938013,0.021984066008621825,-0.016047009807711676,0.009235809431899097,-0.0059843020375580525,0.002140687410799321
VEGFC,0.013959482586380063,0.020509525279952527,0.06277271734935157,0.0038993157531274554,0.02998932964690767,0.029664997398832785,0.002305595772248975,0.005546604320708092
WNT6,,0.02722328290373403,-0.021983538600739146,0.06024907966785951,0.07081308411828993,,-0.014761856150219552,-0.019624779769725844
NRG4,-0.03713622583607571,-0.020783266330039976,,,,-0.02161678846752295,-0.016189831911162415,-0.029512658745966338
PMCH,,,,0.05829004062704767,0.08082903238578809,,-0.02096286073264774,0.04070442827025998
COL9A1,-0.029090426576398317,0.05147419746100417,-0.021298884886832344,0.08642025495045261,0.09163475085471776,-0.04523624764301226,0.04556426996398229,0.01611039873107129
GDF11,0.02685467583902304,-0.011832415679399817,0.014627593744592283,-0.013782332109164575,0.006290880372491073,0.030873775174405402,-0.014295270092073794,-0.02380719149542174
IL24,,,,-0.0163853407014749,-0.020524858124379868,,,0.02954871528175739
SORBS1,-0.028351924189915022,-0.013177690906175871,-0.02306643401237112,0.010474252069127466,0.03107816352306375,-0.019110174061659765,0.010234759150836773,-0.00038103972464366474
DLL1,0.08164173644343818,0.026292722741110112,0.07102997826670364,0.01590828616719713,0.10054094845879424,0.04386492250809041,0.040626355052269816,0.037412044311951116
TLN1,0.028409289726026746,-0.025643558493766018,0.07301673180138918,-0.0015461259314257566,-0.06759412013478268,0.025937129599477263,-0.026704474759176332,-0.028217988831751764
COL2A1,,-0.014505254136042313,,0.06390718954151267,0.046174767041961766,,0.06065993853874356,-0.008140351942749724
SHH,,-0.01384370860740582,,-0.01931110972926971,0.023963184966553534,-0.04536875962081905,0.04513594640269526,0.004376055876844639
PON2,-0.003795184155480872,0.019119490673979576,-0.05147392366796494,0.11349084910330341,0.08074680476539935,-0.021124070700025796,-0.011635611728977747,0.04274503427471678
ICAM5,-0.036192000268150705,0.03518016824660338,,-0.03652933036124373,-0.04027493566913402,,-0.02411159135423465,-0.016257365676128434
HPX,,0.09385044331388731,-0.03788399931234529,0.04144092962966833,0.011404352458339111,-0.010913607591799265,0.016394812843547227,0.00080432884991022
SFRP2,0.018877679644346907,-0.027157813495546846,-0.001611083991168674,0.0036115186233046204,0.05247793817589316,0.05678563695965246,-0.03280882493009829,0.02612176199248604
CFC1,-0.030301879331685325,,,,,,,-0.006215755727895518
CD70,,,,-0.004772106364458021,0.00012727439029641956,,-8.963723938387367e-05,0.06645292647657962
HP,0.024603548975462415,-0.0029562581526052373,0.046880290636552566,0.11758034172747368,0.031891535253232406,0.009212637133657888,-0.0038009515562248673,-0.05109996615022148
CXCL2,0.016685128258353523,-0.027400026593158065,,0.007845656213279404,-0.021961608206435074,-0.05603819248319007,-0.0010656591968973997,0.005270183460476282
NPPB,,-0.01781499349762955,,-0.0236086568577412,0.02197736493626919,,-0.03133116197421611,
CCK,-0.08071566950788905,-0.00029751816166641044,-0.02877100693509884,-0.026957780288778842,0.07071519745912082,-0.027601114420124553,0.002935269899050842,-0.05901344117938926
SEMA6A,0.024763526034379136,0.06301829572468341,-0.07379115271904185,0.08932401184653091,0.03893414117855843,0.021447004858129916,0.03319182469278222,0.010963084533128107
IRAK4,0.039012712224767244,0.018580811024929048,0.009138254114050306,0.060646756876372776,0.028041438745773545,0.02357046301718655,0.04019198244422593,-0.022516259343895628
GSTP1,0.0908022105748985,-0.009923186115332102,-0.04782373505476031,0.03658412436990326,0.09483588337103657,-0.007501877498360712,0.013195163998283344,0.024366701775182884
VCAM1,0.020801182953374703,0.04754001792995958,-0.010040949845118628,0.06058165050631877,0.010086902149420587,-0.021597150264741804,-0.017911008692572415,0.04235922987310855
NXPH3,-0.00811426120711204,0.08287830419911335,-0.08646600740206226,0.06121552493522666,0.01900087900384136,0.0005089095606744054,0.018223721735459344,-0.0036539382181499185
MTMR4,0.07714742914953436,0.016478207184220127,-0.015261680395494612,0.014382626322221701,0.049929597102578126,0.001294206473859324,0.055527880741611794,0.051145478784869226
LAMC2,,,,-0.020144281680329928,-0.010896178962881082,-0.020900092945579832,0.01525247615366122,0.007731172871864462
IL10,0.07505768309879611,0.026643269356319662,0.05093980250688587,0.011306764756895895,0.03988405608983608,-0.02016014678142378,0.07086181483830273,0.03671554524419239
SEMA4D,0.08967794364834566,0.024246914765262924,0.023676309768470617,0.03149652796231054,0.06400345942731761,0.00921542565275543,-0.0003006325734784455,-0.014682702490267487
TRH,-0.02268805615886335,-0.027631627840294295,,-0.021558601009787893,0.06919641448302002,0.07171004200639151,0.017312460185106463,0.033643858730601835
SEMA6D,-0.01818346731273785,0.0064941399420111595,-0.019292123627478504,0.022707025901157273,-0.03552577699105273,0.012660651609131096,0.05064987639008969,0.03572509153763384
CEL,,,0.08233575894536624,0.1326530127981726,-0.03350955255107168,-0.0012854797852591775,-0.029123645696489908,0.019657404451963813
PDCD1LG2,-0.026663172848315292,-0.027279155483452788,-0.026542821150270672,-0.03620762828583808,0.0063528080216682095,-0.02353673333793633,-0.015220796478263474,-0.002969504135046706
SPINT1,0.004130073139580026,-0.023406692378193462,-0.05624755630778343,0.11096422252789644,-0.004884274988251567,-0.029193049825934552,0.03368102180822741,0.02175303069464382
CTHRC1,0.03396294699700955,0.013079224536909293,0.10740035188587269,0.03753036647226376,0.005579128333841434,0.1029489030994408,-0.07338972384233416,-0.012468384369507696
PODXL,-0.021477510618000118,0.02171564637013364,0.0512385093464856,0.06596701880283387,0.028038279177587406,0.017740405791478744,0.04071849509930858,0.0654843866031946
JAM3,0.13292364229625767,-0.011545996623878913,0.04368026424840948,0.04760535335967605,-0.015614812165152089,-0.00807470662640854,-0.029391923433955764,-0.042015527752853804
TGFB2,-0.0295947385528711,0.0012115116354368847,0.06570381453771626,0.006071270113198143,0.058777642146999216,-0.0018935325605750058,0.06183873034044023,0.08914142895820382
COL18A1,0.05249188916229864,0.040518541508909996,0.050203429160142886,0.07026058557874526,-0.027689983460193884,0.03449105325207294,-0.08387107160571781,0.024514023589804528
NODAL,,-0.02449158375478187,0.08611353440130357,-0.024494449659948337,0.03809803948407282,0.10276473929835572,-0.023269150882700748,-0.0373067725603701
INHBB,-0.03084466012901571,-0.006176189283365729,0.023721906602030517,0.04171277069990416,-0.04957871703631463,-0.018859291287816164,-0.02004595898633943,0.04544143081689469
LCN1,,,,-0.026053806433911513,-0.02394273450789784,,,0.005239447754694321
ARF4,0.0363517433947124,0.014377090070294312,0.12573178139414468,0.0597045518511904,0.03690297951617784,0.04583703788379547,-0.006702616658959,0.04426744489838661
CXCL14,-0.07385673141876908,0.009387931558173065,0.032968771209520506,-0.037099870111221706,-0.03725611215501598,0.04610338475861255,-0.027887205719512777,0.015456608347867579
LIF,-0.0412274096642428,0.01848452868842659,0.0075818894550353805,-0.03807985550746964,-0.046848316748238715,0.04104726585726516,-0.0464216004083623,0.02202604895802328
IL17B,,,,-0.02267232357962498,0.0827891461000978,,-0.02894898591467694,-0.022538036529198526
MMP1,,,,-0.03582050616834006,-0.018391008059253453,,-0.020962859072517437,0.010155046390048718
MATN1,,-0.014505252330932842,,0.12955890937455497,-0.031949665673305164,0.07190797673928388,0.03678106503547617,0.028084128844725074
ADAM28,0.014335816700771288,0.006970913914863956,0.04005990810099875,0.03443771716841096,0.0628590629933009,0.010957267334579517,-0.04377268256900941,0.06670179667510436
TCN2,0.07104106560126722,0.049354239192405086,-0.0006520070644561827,0.07795217632372856,0.004924344713539833,0.00206924707553771,-0.030974081909465895,0.0017615800665865017
THPO,-0.04092534307852046,0.03256081311151307,-0.0238438924249858,,,,0.10844576488982473,-0.030779767227004602
CUBN,0.0029081975916151023,0.01779226043405955,0.06732292788304306,0.030655500149525745,0.11826882302178483,0.07472498782955571,0.0006585709713968696,0.015180351798568489
TIMP3,0.0035641449482039953,-0.012537354694347863,0.023734973026415175,-0.004965958805528515,-0.030736574397022133,0.04970743076727249,-0.11868881025607834,0.017980613925395243
PIGF,-0.0016589396675407157,0.014491857632328698,-0.02144643544837239,0.08406519856859634,0.0935771380146209,-0.03673686350697389,-0.03724856653071476,-0.031818995792893656
CRH,-0.035108089782198884,-0.01983945141687135,,-0.005822795588759321,0.047537266778448856,-0.035633655719157525,-0.022999477929041424,-0.02235710844992718
BDNF,-0.04062133743762089,-0.01633664148689961,,0.04446347353002413,0.04910687750796568,0.06628888844601602,0.02908947885330969,0.019505303942886847
CCL5,-0.02623270928925177,-0.019678121385045204,-0.034673379326426834,0.009468805785063773,0.017922725269839058,-0.002381629406470981,0.006607245671319487,0.055111818866895236
GAD1,-0.05674852581914162,-0.008759830192628227,0.032261569881630835,0.06480717460998711,0.07086932488898212,0.05102348439305726,0.013947709669204028,0.02126828985261728
COL14A1,-0.017881399749730104,-0.04164134608711142,0.05764230699627667,0.03379554513184823,-0.0064109316686793965,0.08069391528403437,-0.05713809235551881,-0.03397019396381532
HLA-A,0.041991324193342804,0.03964999565375293,0.1236239615339307,0.01933622342854653,-0.12836049140790273,0.038230054351406195,-0.045430343497628096,0.03233105295728212
CD5L,-0.0427101513672052,,-0.027217147965213597,,,,,
FGF18,,,,-0.02680411722734896,0.01808406663591403,,0.028862233796695454,0.00773280933130123
ADM,0.07993651818080175,0.023748676203339005,0.08328670728437144,-0.0621286565299613,-0.10055018005306167,0.04871102211630593,-0.08312240983490839,-0.02683846018951921
GNAI2,0.01995065736605196,0.04064852036350955,0.030335628619345495,-0.029461907029279318,-0.01111725771466561,0.01327523906131017,-0.11144708682184687,0.010380169006212234
HDC,,,,,,,,0.027989610302890953
COL11A1,-0.031335322789787,0.024935078307160862,0.061000358533601806,0.04304340931353443,-0.00014353881398517415,-0.02112516580463997,-0.015025365767757306,0.04018693466123998
