,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.05945828143408715,,,,,,,,,-0.030546424633559714,,,,
BMP1,-0.017575259661343122,0.03785225108966932,-0.06427674584331779,-0.02115370830867425,0.1745293339695088,0.04132006868226632,0.06315354997375022,0.034844944921970114,-0.18153042394915378,-0.05840913986149356,0.03954821880172468,0.002709829348944863,0.06726413467926977,0.05624854559286721,0.024505912481287508,-0.043412771858137106,0.05187288677617635,-0.1436424154057972,-0.08906653936320189,0.045619731948393256,-0.06988222838375154,0.01291646433709345
NDP,0.034888313663097734,-0.012699362861772983,0.022684656619965958,-0.004935200255575889,0.05808427339013927,0.05587685647916962,-0.02368042988086573,-0.024984206427282284,0.028564600840112364,0.04468926744558542,-0.055643834970633486,0.12361591891626651,0.07918772322386082,0.11799407950436114,0.10354897515657797,-0.004388686718894042,0.020583947185936678,-0.08961510772169147,0.01765937467489627,0.011207450810203834,0.07613921477829456,0.13840781029865887
TNFSF18,0.05917445780772566,0.023097942757356212,-0.0011200246285883195,-0.04796146502230169,,,,0.02159228005950049,-0.06840859439529524,0.005614118766960306,,,,-0.05412507131306246,-0.0012917929487578337,,,-0.0915468534916471,,-0.03588890135713841,-0.031241200174163736,
IL36G,,,,,,,,,,,,,-0.022871358900886908,,,,,,,,,
RTN4,0.03591333695598725,0.09776753700122949,-0.03660020082931387,0.03283424926314748,0.09578190883495569,0.034435477114307465,0.061431260508180166,-0.06931009614813867,0.20447783428026364,0.03925360817007162,0.06883718976175743,-0.21213081459134317,0.0811929706880577,0.08458166268596437,0.07151561391918275,0.03163822797980101,-0.08906250924675195,0.24109764032028097,-0.0033899270406490592,0.00018482001902926166,0.1262477108916717,0.0011068700031647235
HEBP1,0.04326703890432011,-0.09028395838861766,-0.0036906199061903415,0.029609921958722238,0.07763435445237746,-0.024131210698523843,0.02134513651963545,0.053008295259275647,-0.07385343239112707,0.008417954221431658,-0.0024144020871376187,0.1175170729523233,-0.01664101708726767,-0.010148198701607374,0.02022887898116837,0.020178769693570582,0.022841473437202556,0.055448371498925,-0.05792098356529198,0.053789343023117955,0.026401380420251218,0.02001656254998926
WNT7B,0.07806516099355215,0.08415846421290585,-0.0025856085207860645,-0.0014425285744051944,0.0950156062251516,0.0013374964724825824,0.11603383649957381,-0.010048785038616692,0.026726937069095673,-0.02515424962112526,-0.006873519021394939,,-0.05255899786540487,-0.006082876297624413,,-0.04139572774699073,-0.02147674950772022,0.03138387137357415,-0.03879740345822465,0.06535844238543052,-0.02891576613679851,-0.08792699367396221
PTMA,-0.020329690797918576,-0.09398110145502402,-0.07498359975882204,-0.03493756830650178,0.08056045290468271,-0.07411706982593459,-0.09241259881847722,0.058406023394594477,0.23475199733405952,0.031058803813754855,0.02298687496008863,0.3475019280208137,0.07599335488236167,0.12810909148518757,-0.1574829058587312,0.04374950993124429,-0.048459532530185236,0.30843049005585205,-0.04588286933430045,0.08578936475010022,-0.07460700328597958,0.11887012399280968
FASLG,0.034432053100698905,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.009121828846011714,,-0.02368642197702711,-0.01258167897514312,,0.012038313022080091,-0.028335562955006832,,-0.09822610124584417,0.04619668711870952,,,,,0.031130152131409575,0.03480118945868689,0.06107785556708547,-0.05210534231466039,0.07334461615917164,,,
PDAP1,0.010127592115568526,-0.07885104916822404,0.04163533174835313,-0.05868391667082043,0.0491176547057364,0.049070778884425514,-0.03865169331403204,0.009160149297061262,-0.2207138435815597,0.01709666191165489,0.04118772982270377,-0.04518825377601572,-0.0009367214279557469,0.013547238978778195,0.0050086989934831835,0.05431507501146212,-0.020572468657722255,-0.028570178348937835,-0.05391882250298728,0.004640426549696991,-0.0037015611569493644,0.08170863067727083
QDPR,0.09479019681334389,0.06589898556224391,0.07554663611731993,0.04399752034441994,0.10190303643707783,0.0027165374566040894,0.11039745689609254,0.1185116167909679,0.34750554115053767,0.12588924558178688,0.17207955413043094,0.4832326978804843,0.12722882270836702,0.06424758423806645,0.006668009824161991,0.13323070053077057,0.06046144362653396,0.2773518575555607,0.13193068370437397,0.15879265228751044,0.1246562169397466,0.10536498707979146
POMC,-0.006256647331528034,0.009741722202457235,-0.08006228896864302,-0.0027372405706467848,,0.0447787301723196,-0.0006402835896198313,0.0016750867771047296,-0.001519811215944419,0.004113912105257377,-0.008023227386911254,0.08021148955633653,0.01257502667057777,-0.09442875476350344,0.004833441383016398,-0.10381413764366351,0.11059039143289906,0.0030852261680299,-0.023342238064916032,,0.1410657617667928,-0.03823793670500129
CCL18,,-0.015773423488281247,-0.03693589716512912,,,,,,,,,0.05500300933093017,,,,0.038874887875543676,0.011137351757662624,,-0.007838891285681972,,,
CCL17,,,,,,-0.017107486877772256,,,,0.003645148351947378,-0.016113505038367316,,0.02033872568881206,,,,0.02920006358536968,-0.027273591850260945,,,,
VEGFD,,0.015049826502770152,-0.035483506869208585,-0.022860255406714495,,0.0036721136310550956,0.027169226732323047,,-0.06483110032454541,0.042536885198262646,0.0006905314935912315,-0.04359171041923131,-0.008805378548174788,,-0.0637844898616559,,-0.02008999822152065,-0.005423340228668069,,,,
TNFSF13,,,-0.02881676623892733,,,0.007224371399664003,,0.04180123593691362,,,,,,,,,0.03470733779747052,-0.1412014846858697,-0.028915974390647085,,-0.053804064935511216,
WNT5A,-0.01857923893544702,-0.05496842879629531,-0.0309747474937617,-0.032152233818965245,0.085601330483816,0.05479304144290235,0.14695917167852052,0.0029163417881064016,-0.1128628821600062,-0.003698021310539441,-0.004322104559380616,-0.0010680493741013408,0.02993940090368872,0.04279925501567064,-0.03518139142776265,-0.0074501509839104375,0.06927962406256576,-0.038637136694675576,-0.0589280931922532,0.007896856726741286,-0.08136135926985641,0.08065306660997425
CXCL8,,-0.19610425955170097,-0.02716288302690554,-0.02641978390857492,-0.15209227431995223,0.012908966717626551,-0.20615347643441323,-0.060721379476023116,-0.0674650185232049,-0.034567840702648366,-0.032073478198643035,0.021305299292494043,-0.0718462399781444,,-0.03168239384041248,-0.1177179905360875,-0.02754855295251866,0.003856475725515127,0.012619315835336067,-0.02032617457462466,-0.13651231188653135,-0.04059656593579897
