,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,0.010237148387220684,,,,,,,,,,,-0.03771670811440728,,0.026807847046170896,
BMP1,-0.004479178182724003,0.04049458124153254,0.025760977720856205,0.05003947273399635,0.012395711714561244,-0.006475149453973342,-0.026378403969202772,0.04160174722181255,0.16337641747526363,-0.0072070103656433114,0.007433413681864615,0.014924718379387265,0.029353905790248436,0.015463173917308592,-0.02008505207900851,0.024874664504910753,-0.08140859289314353,-0.0004636010728975395,0.02867250487038595,0.07903314385259186,0.0794552552446214,0.05886784976928552,-0.0362504368092194
NDP,-0.011173933999392049,0.02842299886705748,0.017957166571079455,-0.04763817185715413,0.00668181939109301,0.0021809354457160493,-0.004029398679241029,-0.00339799747167254,0.054245082071839104,-0.022986563453064116,-0.0061529227801908224,-0.028347992395611095,0.05270099573255956,-0.07655127825840091,0.04661003505877267,-0.07923113162611925,0.047036513070059516,0.02567130445246286,0.11406238445712104,0.05925986273368671,-0.033215520604963154,0.05165231401449152,0.015233818208947546
TNFSF18,-0.02581893982566604,-0.019385176584134845,-0.056874449619152424,0.030708427903631725,,,,0.08857854322401436,0.06478952735414302,-0.0005829924077889214,,,,,,-0.04514345676741439,,,,0.02768327286314537,,-0.004119658899574164,0.07683347095813657
IL36G,,,,,,,,,,,,,,-0.01631018900900801,,,,,,,,,
RTN4,-0.06692208039666037,0.062139016799585084,-0.024870151907980618,-0.03635931781011648,-0.015427264522779547,0.008038815951862302,-0.005905029280258986,-0.02359050709568208,-0.16029114360133834,-0.010370442725028588,-0.004699333687831486,0.010118950975372768,-0.08406524651174135,0.006917901020856831,0.076977500780292,0.056817404927140054,-0.0654835356678045,0.005961451928291684,0.033399875007482475,-0.044626274016850334,0.014054346324039818,0.0030285019052766226,-0.06550921817309609
HEBP1,-0.028988398512346903,0.07333364486455163,0.04337092369065338,-0.00469408865653406,0.03880567116362942,0.0067560709496373265,0.010659773031888736,0.00445551652591524,0.08850185082349246,0.0008634920722765319,0.03878262307545979,0.08018851436551795,0.0026241974149269058,-0.05067534631633362,0.08630269909390498,0.05576065805272309,-0.09015188044878174,0.043397779355727806,0.09367039083792668,0.02746560907365525,0.007379323810296343,0.04805347325989103,0.035175127962027146
WNT7B,-0.0025459126522925095,0.04218442716115417,0.021050058818444878,-0.0034916690833783873,-0.017200239355337373,0.015996885476115493,0.06327426938195967,0.024644430602920684,-0.04800108128420381,-0.018941144499763432,-0.018583736741066545,,0.055089080745948246,-0.01792677732990707,0.06492520954124467,,-0.034477220951413146,-0.011159504847437834,0.03386942454300446,0.0012733231242977158,0.017760982590286713,0.05430884786346917,0.03266238842399807
PTMA,0.025174406819864874,-0.06385072254523483,0.015801928536125803,0.002959920170261075,0.030243325702782573,-0.016553757741157017,0.035074041567345456,0.06649902399545422,-0.1284189920396415,-0.05275535857127079,0.04434037190469649,0.03862797692737233,0.05382921825224807,0.01249582195170647,-0.16506297873282735,0.08352648315137719,-0.07922711839041634,0.00047340998300467396,-0.04997044912338211,-0.049697434922408634,7.491706923298026e-05,-0.020792967324822893,-0.021326512219315863
FASLG,-0.0017969317078775867,,,,,,,,,,,,,,,,,,,,,0.06863361063818547,
CEACAM1,-0.0027988050828382056,,0.011132193280822648,-0.015160689588466754,,-0.0004600262848515335,-0.029547451764805645,,0.025345098945287074,-0.022051970398750752,,,,,-0.0579834478078616,-0.0338501269626694,-0.030919723982881307,-0.006214300069548162,0.03232863593006952,0.0374468951441371,-0.020052461316861437,-0.02842598388226271,
PDAP1,0.052581455032197605,0.03653050448450647,0.04227785557316058,0.04085663276618233,-0.017397246760325568,0.025366766944582796,-0.02941342620606187,-0.022352138394234587,0.14630703724872254,0.04627094491865903,0.040443390205121964,0.005079527855495242,0.06960378156050545,0.0747753229542816,-0.04908941464767556,0.0382212262651433,-0.0002582037741034683,0.0477606789999843,-0.03986963915723956,0.03154283441306063,0.004289182858966543,-0.02863405671813355,-0.038059224970838634
QDPR,-0.04033723761751847,0.02975339526906396,0.052670893351846854,0.006297088365645378,0.03555208036217255,-0.001070882831961857,-0.027625326370005657,0.0024233610056936957,-0.13521957282765856,-0.0073203922801537,0.02132575946563704,0.0228880323858345,0.02379597353872062,-0.05164779818148393,-0.027442168285828853,0.020577791606133874,-0.04832649931388703,0.023936065999982215,0.04413231779838164,-0.019208613688177337,0.007955250635909917,0.06555629622742903,-0.04308154966058071
