,UKF243,UKF248,UKF255,UKF259,UKF260,UKF313,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
BMP1,-0.027420673303417402,-0.11191092949977924,-0.0400411124519336,-0.06405613843880789,0.02731320660516583,-0.08961342617068449,0.08378622586378465,-0.03038581182867417,-0.045496224492876054,-0.036738838561563195
NDP,0.08565734284874728,-0.024232462629336142,-0.007611133967984672,-0.13174765655663923,-0.04042012121533908,-0.06051323556631461,-0.002710684392060967,0.1464778878145302,0.028631293591760136,0.029243934803737253
TNFSF18,-0.015144153156124924,-0.030284108402446965,,,,,,0.07808610001636591,,
IL36G,,,,,,,-0.01375290994419053,,,
RTN4,-0.10062613995102357,-0.014469354583254287,-0.013131476933917197,0.024974916579835627,-0.04817461398969365,-0.005295720738623045,-0.026779038372014546,-0.003503665417642883,-0.03347799252202381,-0.1228896649396082
HEBP1,0.09489951819721097,0.02461945440394398,0.059454639696641616,0.007254632155088292,-0.01708728606953691,-0.027196846070333645,-0.009618965665157865,0.002043117244458328,0.059304581479607245,0.04838033714875967
WNT7B,-0.059847385036691465,-0.0026797772804339997,0.060544049916494834,0.03222819400379085,-0.04189185933144664,-0.005636565411309118,-0.015116032933254355,,0.03516392700767439,0.020322672014724458
PTMA,-0.04797412675735067,-0.05666410024403372,-0.06900124381334152,0.11018739675936465,-0.07062635477768156,-0.0793880806198618,0.07510823731788482,-0.11991066340126885,0.0023948215401723627,0.004901438670143419
CEACAM1,,-0.029293387249404577,,-0.008189236207235981,-0.015405851702530074,,,-0.05588005500293593,-0.018763787371557396,-0.004940474204693131
PDAP1,0.10474919261407456,-0.017265682177098944,-0.027016119185760846,0.027217921828441072,0.0223337950917325,-0.027415322502695013,0.02124039030934996,-0.018185225769924856,-0.004663333594348696,0.014502682991098123
QDPR,-0.07473115182940718,0.012823437313912585,0.006198334597744077,-0.01715041796783174,-0.03217852977023895,-0.11706845774433985,-0.05545578639751421,-0.004664308820261531,0.010653807727530952,-0.023531074023989882
POMC,-0.07908294264589616,-0.02493092621872994,,-0.011529627228502632,-0.031000216680129405,0.006386589330166277,0.03956713704445766,-0.11012807304606305,-0.00524600499788488,0.009470641863930656
CCL18,-0.0561691497556447,0.2083079217011111,,,,-0.03735762935338773,,,0.029625965224392703,0.08887026618591187
CCL17,,,,0.02181986915829592,,,-0.012563673678998983,,-0.013311998947282532,0.0051560788066533445
VEGFD,0.08471307828373673,-0.03655539113810534,,0.047181689749936105,-0.014739446658026633,-0.02538723310266495,-0.013464878220679016,0.049140330684973824,,0.1217752270908434
TNFSF13,,-0.027585871208434972,,-0.017264381631182667,,,,,-0.025543726486917263,-0.02417237283176492
WNT5A,0.005701451588009844,0.02024919028774111,-0.033119384689232624,-0.024006118379328575,-0.007215426583687343,0.03859120534419432,-0.03878852283024225,-0.056687305098807476,0.04534403457762271,-0.006344027300521864
