,UKF243,UKF248,UKF255,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk
IGFL3,,,,,-0.013977903427485082,,,,,,
BMP1,0.09694890481654526,0.07583662418326158,0.022111403163270378,-0.018183967863366762,0.052775265354341835,0.0072050457555200035,-0.0021937642707010765,-0.030041335230343007,-0.026819156637135144,0.006590779199640879,0.005000777258916126
NDP,0.020261980855795912,0.06173017156625881,0.036176292190057524,-0.018572900510190473,0.0815880357086693,-0.017781006145268806,0.010540250523459615,-0.020029955225856936,-0.022386590777041637,0.027264676069687126,0.06290602302917565
TNFSF18,0.17640775739416756,-0.02410260833769916,,,0.03491276538322193,-0.01577693854527961,,,-0.05071178200946099,,
RTN4,0.007502189653750482,0.03847214275613896,0.055190339824524044,-0.02079420605834233,-0.03261429898040255,-0.014102088205412993,0.004980773295411018,0.005189721788766877,-0.03167013495322622,-0.024593499142160764,0.024627422987355818
HEBP1,-0.015445552811677705,0.06967653300655016,-0.015339959215370402,0.05944518934368633,-0.0005544696645984242,0.012003122746489419,-0.02138533031103077,0.024464869272332157,-0.03156910412528682,0.03898752860892341,-0.0065591017615066315
WNT7B,-0.04901653171274065,-0.03566921653760443,-0.012182637404443857,0.0027229970175097714,-0.0034179105447832998,0.03346257244257685,-0.015025370498645923,0.019571127190213478,,0.018333250377655905,-0.034870374828658714
PTMA,-0.05573891517129909,-0.013317911345854883,0.024827635250313687,0.013435859186440986,-0.032447133569335596,0.0620289547085697,0.08215650289685474,-0.001647928296787965,-0.009182555773283852,-0.021096303589160887,-0.02973448952297051
CEACAM1,,-0.015340649658163272,,-0.029542324340011823,0.00035426477175306805,-0.02481336572795707,,,-0.03565898927089659,-0.019300580614204445,0.08047928440095431
PDAP1,0.039270719520223575,0.031867696504016746,0.01841684395097732,0.005411340818695235,0.025417073133657195,-0.02552020472288782,-0.024461441682004093,-0.001238720489000221,0.1356057508429252,-0.0027785624473487354,0.03386923557103354
QDPR,0.02645539452030037,-0.004143220391579671,-0.037647054006551384,0.026635323870324,-0.056658869480812404,-0.004961459211382311,0.06815236136717635,-0.02011790773643116,-0.013398594674427678,0.038464225180778,0.059959577605986025
POMC,-0.03965336387607717,-0.01491152405152055,,0.02389748503204695,0.03334378251111408,-0.018306311877030634,-0.0010067111673613231,-0.023905542138992437,0.016485445603804112,-0.005136545800429266,0.06773353831948092
CCL18,0.09317705637930895,-0.01914368132702868,,,,,,0.07865100192817238,,-0.022446201736636213,0.003970525887714756
CCL17,,,,0.004759279643726279,,-0.01967691404154874,-0.0031024666842891175,,,-0.013692827771417346,-0.02438621165947677
VEGFD,0.14896228050625493,-0.01914368740604414,,-0.024462560501881902,-0.02341673772647492,-0.02096408761498261,-0.013641268643575791,-0.016151550613662444,-0.04847761448883302,,0.07728234582497406
TNFSF13,,-0.01444644083392629,,-0.01514547058872901,,,,,,0.0394596163668683,0.020091399218121215
WNT5A,-0.014187328703753053,-0.008980356417133671,0.015700775358349708,0.04786585453814247,0.04651134859943622,-0.014913916475505827,-0.012597041609009877,0.017418640494163487,0.01298105723212783,-0.0011748728865338906,0.08979369839524243
CXCL8,-0.046563341968188156,-0.03962335770389551,-0.021240967252996602,0.08289672385331869,-0.003013129154051892,0.04761194523928478,0.07822414246791773,-0.022509970399498053,0.00463969411187648,-0.022238723607336627,-0.0367213305388589
GRN,0.03049639536028766,-0.012450108249999713,0.02969336233548428,-0.006871376032611734,0.06115216272331478,-0.019248523974801552,0.020160403224731508,0.02311891148347629,0.031744352573579854,0.0055212170620553445,0.060249716779385766
MIA,-0.003948461634034437,0.0375608420269611,0.06802687899566422,0.0343547671239148,0.05818438070252028,0.02913469730211432,-0.015514070257640776,-0.021904404305344915,0.05561704927760833,0.06195124006583739,0.03417750877187237
COL4A4,0.0038942089548608706,0.008132119728958598,0.016365505164559885,-0.01287879411293073,0.013805140327161028,0.00730183584347125,-0.0036999187045023535,,0.06326534975647134,0.07759625697957834,0.03323530248734084
TAC1,-0.04000793266606266,0.009015753100193516,0.06468544248804159,0.029477564655770706,-0.024681172080079788,-0.04055915800611171,-0.05558180656531021,,,,
RARRES2,-0.03393905141532449,0.0073719230010550535,-0.09481588909915745,0.0501561074712728,0.018129400758583734,0.018692436744819366,-0.03497585715183898,-0.03323615308684619,-0.055763221777209236,-0.045732490000796426,-0.0350193299967458
FGF7,0.05384099217752857,,0.03871344107808895,-0.0015513299063361233,-0.028574865733284383,-0.006824605307189134,-0.006826924883801942,0.03169338052625973,-0.02941682497770346,-0.04592402360546347,-0.015274637014585254
EFNA2,,,,,,,,,,,-0.01605573551231141
HBEGF,0.06220062588024923,0.03204791903517023,0.036095137434501684,0.008144126321653757,0.03117962531571927,0.02606280852339437,0.007659185462953729,-0.012375044220801882,0.023108875751306764,-0.025731208147821174,0.010603379683188833
CSF3,-0.01256935272696714,,0.06741797902551896,-0.004291362326988215,-0.014572824001706779,,,-0.02426489829142101,,-0.012428917361819562,0.01185156886216429
PI3,0.023290279179932035,-0.02013995988722081,0.05318059332802511,0.05881157393872202,-0.01640919216637961,,,,,-0.023346996145392474,-0.025995030866715015
PCSK1N,0.019465831927230788,0.012070251923608688,0.08078053819289596,-0.04307360858349425,0.02363195046855011,-0.026104697533564526,-0.0782498284166538,-0.0029363553548639905,0.006736182462263421,0.005415456926009354,0.023193096596642492
NTS,,,,,-0.01791175368298573,-0.011544817967146041,0.009735518486461295,,,-0.005568866551857101,-0.019560866930408562
SFRP1,0.011389146184456187,0.013602988015830795,,-0.003828218236705929,0.028111680925280543,0.06268814717627659,-0.0185971968331825,0.01189916487291778,0.05302174973911675,0.08580463082133656,0.050739221315192214
CXCL13,,,-0.027282783246804464,,,,,0.03352767431541812,,-0.030756898597652613,0.07502777973959132
MICA,0.10995562373480386,0.019089755850296077,0.022510241651772456,0.03425883768401135,0.01777395715980696,-0.060482324782416594,-0.025808343052845094,0.05689494009851909,0.08342449760144612,-0.019544290286347576,-0.01070699341554853
TG,-0.02546480485707339,0.018110140195154514,,0.007149289506227268,0.0038732175173847583,-0.019823746253694888,0.029217929307581287,-0.034474411311357665,-0.023725700243373175,-0.018194344705069327,0.09696477014587652
ADA,0.029617229383389405,0.05294347547116782,-0.029337574245240344,0.059824032134996284,0.034383349576499266,-0.02718416506311451,-0.02185802812435065,0.06213546370982587,0.013226850240446252,0.022234413199801534,0.023588088799388823
LAMC3,0.06715845551370253,-0.010305047765163373,6.99071409607228e-05,-0.01798646094197034,0.07164819869043021,0.0094927392986146,-0.032068664728246134,0.010490528960721583,0.010319769687628287,0.010856789945494641,0.05767296309206959
CCL7,,-0.012176998539406913,,-0.014947924484467742,,,,,,-0.020522392624038252,
NGF,-0.01840409089542703,-0.020907301793541125,,-0.008378688636343364,,,,0.012798699444309369,-0.052156348905359626,-0.02370172053901279,0.0343792576760545
TNFSF15,-0.022768157330877174,,,0.0003914092035836811,,,,0.03541257477172442,-0.03483827774263486,0.023891263750344872,
HMGB1,0.07935525780208678,0.05028152301564548,0.0700137814697513,-0.018037851561574416,-0.003894598361321618,0.035311056587833914,0.01692845671052529,-0.008577023696852143,0.052907570378524456,0.03678477171098209,-0.07297612769005103
ITGB3BP,-0.050063358180508555,0.06123460619929729,0.045377272485642495,-0.013612467948425902,0.04667181357561128,-0.03349929223284555,-0.0013387466542959308,-0.0055549765253650515,-0.007023228329433882,0.05072902451019574,-0.037194651415689804
AANAT,-0.03298642288191518,-0.017666972279696228,,0.004142237549479926,-0.013145081618145057,0.014222469772873496,-0.015514071120572976,,,-0.018003929030702966,-0.02160667137370279
RELN,-0.03173263286601548,-0.017803164805926162,0.03228921595444791,0.029232941663101024,-0.03857179386905337,0.023564577031437394,-0.03423691141225913,,-0.024212003997217065,,
IL15,-0.03236454263524434,-0.038503327562800956,,0.021512881609641075,-0.03428772942576876,0.007775429735849004,0.012105231503045155,-0.03633445628597119,-0.037828220472994716,0.07597959767840196,-0.02835105266710052
UTS2,,,,,-0.033702131056556645,,,,,0.042283626105777544,
BSG,0.03189703788827364,-0.007848325257430594,-0.004914043949255697,-0.005815613366647076,0.06071765163911247,-0.0020053426443581565,-0.029337466117698722,-0.05818994036113705,0.05048238542486727,0.06321030279987894,0.04781234141644773
ADAMTS3,-0.0603653869089881,0.0062060128742925744,,-0.03587532828367843,0.01000631600368487,-0.03422909246877775,-0.00042944944803457715,-0.018000935763315483,,0.019050226172965583,-0.04557378429902926
CD34,-0.04125023207057687,0.061625578676462095,0.010397239831291672,-0.030688569918144188,0.03797096552051702,0.03125578736545565,0.010890029981831164,0.07445947970454861,-0.05796027272875758,0.028736521439183878,0.026228688331408616
CCL23,,,,,0.11221894246735639,,,,,,
PLAT,0.0705196997902593,0.049091993024956,0.00758191380370225,-0.022124264440171296,0.08025044113295582,0.001546206994210374,-0.014243356794607207,-0.010452689562148242,-0.00933793751210755,0.0901215410667396,0.023174034301030523
NTF3,,,,,,,0.04635180667302045,0.0194905302067139,,0.10462522408184831,0.130705067221731
LTA,,,,-0.0038841110017679716,,0.04752870107069575,,,,,
CKLF,0.05475850707265986,0.007289378594531523,-0.00709688829689355,-0.052105172076302636,0.08074716090302285,0.026753507203097025,0.040707270401603254,-0.0338432643732964,-0.0508745112864077,0.06967794147325843,0.06551539660554848
APELA,,,,,,,,-0.013954507024048783,,,
CD24,-0.002786166646175233,0.020823820166334668,0.02566965964488585,0.003787664883740152,-0.020114683060888185,0.013497963117579635,0.021908670574906444,-0.005188077824854665,-0.04909714514335559,0.051025237868084425,0.016618760550031392
HSP90AA1,-0.02225055168391426,-0.01949400649130697,-0.04466705989293374,-0.0472748689054454,-0.06368099819403246,-0.03026879902076559,-0.015339830430788093,0.009803303982061942,-0.11734636666353918,-0.06503522692525615,-0.07466691024533595
BMP4,-0.03983095457571552,-0.04237357533539522,0.03225473178439602,0.034597673633163836,-0.040263833402317414,-0.0012710150279542022,-0.0004969668510352784,-0.021906821562980745,-0.015742040844646213,-0.04728636938042674,-0.04429924714909302
SCGB3A1,,-0.012176997321723329,-0.04016232116743636,,,,-0.013086270728515292,0.07350052616181828,0.029742279202950563,-0.031235949155567884,0.10156675937660298
IGFBP4,-0.0018692244708837583,0.02721624061545979,-0.0020626503398462432,-0.027495988090477857,0.098138836054255,0.03750397527428129,0.017470588847450372,0.05696873904047402,0.01899620857718522,0.01313429041985203,0.009425525166211944
RSPO4,-0.022482483885637995,,,-0.02932522641259841,,-0.01996957754660714,-0.013086268814352167,,0.27278749590758017,,
LEFTY2,-0.037658305940276526,-0.001661102378245109,0.024545508930550065,-0.029152734757262648,0.08838517930030615,-0.0012329866584864773,-0.014349253803521284,-0.01747183149183718,,-0.0174211873603679,-0.018461211150843752
PF4,,-0.012631680027299832,,-0.013041769621025892,,,,,,,0.03994546889525308
ANGPTL2,-0.018027865366702752,0.04378626983869493,-0.04456136109406107,0.043817282283381914,0.032824939775901806,0.08861372637924195,-0.03643001408519272,0.019577576467317864,-0.023906905898590125,0.04258371950459073,0.030571311101377476
LRIG2,0.0676453565411675,0.005864647634781712,-0.058320484123791615,0.031603436473812474,-0.008549340835114072,-0.012277587590838515,0.037444839498531744,0.11371321265576567,-0.0006154874691386793,0.05287401720531111,0.055897969595763874
ICOSLG,-0.026036848134142775,0.033803255963831554,-0.009853083172240151,0.05673293740065714,0.02286941045279121,-0.001481171742034019,0.10903325097490957,-0.003121337221037684,-0.011844930144294647,0.02442818140775139,0.0250458684390459
WIF1,-0.029354591311134538,-0.02272865791931655,0.06795435441431201,,-0.020214996594358013,-0.015410049999641844,-0.024625648458646895,,,,
NPPC,0.06899582434488463,-0.0010575218890369331,-0.050386956394916214,-0.02023100086639946,0.007929972315085028,-0.030060111210031527,-0.01818671116403831,,0.01900716221549984,-0.030636231309824066,-0.027844024084209284
LYZ,0.030211274535926,-0.0061018813254701855,-0.041435666184077916,0.027114241425534633,0.04239698141117001,0.006066139476797388,-0.00740589702783477,-0.026087627705416196,0.1207954092191692,0.00189808839754755,-0.0028445833625312307
EREG,,,-0.019107616644475738,,,,,-0.0204305799321371,,-0.0008123644139775194,0.0017518102118206703
SPTAN1,-0.0012644982918071743,-0.014250342029071642,-0.02175212715181781,-0.049795965803012356,-0.01940479151929861,0.019546973532715783,-0.023987546618686274,0.019850460901782892,-0.14969663725269705,-0.031233312099130283,-0.003862965015696929
LIPC,-0.007591873699856998,-0.015464496524722475,,0.038467855938231175,0.010806465682933537,0.002181432058824557,,-0.025545815705438357,-0.015413189778661365,,
COL8A1,0.14025054301896892,0.011486686708640116,0.044042574102271685,0.03869577622837975,0.00578057649420174,-0.006471310007860534,-0.006167030761966637,-0.008432206768823988,-0.05649745043063857,0.025911856351757943,0.001090733795685342
GSTM2,0.04970280718927797,0.0168254649826251,0.002038240396882941,0.059282635554622834,0.025482920224026033,-0.03364373283262844,0.010016865946534186,0.038786345307945655,-0.00727393387068458,0.09850446904219338,0.0003303075010531195
SPX,0.06269501527350473,0.0903085419737436,,-0.00748025885175216,0.019144196390237695,-0.04057760484877824,0.035834210588418916,,,-0.02069162159534715,-0.0182720348451614
MFGE8,0.02300970849577033,-0.008498671580505025,-0.03032553441631845,-0.008001574039827299,0.006608954101489186,-0.01607024268665171,0.008956692740529753,-0.005229524745840357,-0.06011206025337898,-0.055662523657084094,0.053151003374061395
TGFA,0.05956251948463108,0.042802415348232745,0.006492481288620662,-0.010767399667252195,0.04143010992859437,-0.012557007708879443,0.007224655357430768,-0.027534122013342977,0.01691671823176449,0.008836991239467523,-0.007997421344285733
