,UKF243,UKF259,UKF260,UKF275,UKF296,UKF334,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.018219039638952696,,0.0021037720067096574,
BMP1,0.05170404087831253,0.012036974902398943,-0.05308597016087521,0.05733444717639816,0.0030466990918590954,0.04962919688431566,-0.01427975717976805,-0.06718717721432871,0.043881163143045646,-0.01272174523564575,0.01191064611315532,-0.009624171719006197
NDP,-0.026314693127469084,0.03362809146229603,-0.03094403135773369,0.004168485727009049,-0.0351943628028235,0.04055225200864727,0.11026245401201157,0.05036340101438097,-0.0314675046168479,-0.02740528383249855,0.020323919956027295,0.049723528139703765
TNFSF18,0.04149595698162635,,,-0.013506324337715096,,,,,-0.018788973994717198,,0.04067808652183986,-0.027630975960890862
IL36G,,,,,,0.053101294219480746,,,,,,
RTN4,-0.03189343966514776,-0.02829234000004198,0.02508741934100388,0.049361538511244876,0.0685594210563637,-0.03523112553873646,-0.07032017750795655,-0.04701496653360527,-0.023507325625001223,0.023708896055765396,0.026520298631936872,0.05603542177759683
HEBP1,-0.024994188894101686,-0.0051532421255714,0.042392786354069754,-0.039085045021173825,-0.02835647907709351,0.025433404258752904,-0.06234953580860467,-0.011229160420113614,-0.044954620043906796,0.0026544034300657955,0.05886120125998263,0.06812176632320414
WNT7B,0.08194610155976365,-0.02069449331327897,0.07036958072466522,0.014807490864713292,-0.01400690296675125,-0.021024703362350083,0.024785015672459602,-0.031787887038221406,-0.01286048218189175,0.06615313756357898,0.048816523607555416,0.03109498078243619
PTMA,-0.009376004013788441,-0.04545182848671652,-0.0017723003432585814,-0.032766825027983976,-0.03765200535809865,0.08416770931081548,-0.06543630612072578,-0.025416522412526836,-0.04454335019199433,-0.06088113612678977,-0.05649838376218214,-0.010238999277738234
FASLG,,,,,,,,,,,-0.024912843011395822,
CEACAM1,,-0.011467457143318316,0.012561837164469753,-0.021242230517048176,,,-0.055828601486007386,-0.015399751345296819,-0.026997794034973467,-0.027867137821329324,-0.034662562019743326,
PDAP1,0.010623765962700513,0.03797400860494619,0.042294216843843865,0.0293146039906736,0.01928023524166084,0.05740910696511215,-0.0980652494364821,-0.040010431606136806,0.07815144912116619,0.026212177716241312,-0.004155552077546035,0.032999037491521055
QDPR,-0.0019025378856274925,-0.028375737176529667,0.021694462336952845,-0.00921392872267713,0.02108494626537413,-0.03518575579456452,0.07122644839272044,0.07188486269803461,-0.10884342472415151,-0.013235217404696919,0.011656341982418132,0.04932404315575705
POMC,-0.01991794394669276,0.06809212012993103,-0.03460398108413583,-0.01567167070651474,0.12048697744536291,-0.040983557140063784,0.013138391719765542,-0.01070551516438465,0.0592260220264178,0.013405816500845213,0.015797589047429655,0.02814440359874032
CCL18,-0.025863633435517265,,,,,,-0.047870107062151036,-0.03760517301942011,,-0.005119680319842844,,
CCL17,,-0.013850536994560523,,0.04917255036457546,0.07973059912328319,0.03926987066802453,,-0.022230507854607503,0.1484546164212043,,0.09036281466377177,
VEGFD,-0.008182387215927586,-0.015431027722869112,-0.02084458929366859,-0.01794693982990431,-0.012716619949649285,0.09225456414899676,-0.033335994690975514,-0.015399751345296819,-0.025334478675991184,,,
TNFSF13,,0.0495046510584905,,,,,,-0.024163802001075468,-0.025759149374717034,-0.007440860235710154,0.03262296863347098,0.002689983136877332
WNT5A,-0.038768138964674355,-0.0024238120033860185,0.043878080310495775,-0.06303945004614109,-0.0020263305833959004,0.015367412302512618,-0.014301010968949713,-0.006264593892778726,0.023426538274485067,0.06470763532952116,0.011412224426747853,-0.004270829137621966
CXCL8,0.005133890755268429,0.05346936281059367,0.03433449446077758,-0.010680943382442706,0.08494455465225796,0.01082155034688316,-0.06203396117496807,-0.07869613061696573,0.09294845167649664,0.012534136143024743,-0.0008119485015970096,-0.017771679638262535
GRN,-0.03524040115155801,-0.012914114595925487,0.05434675862976512,-0.009823817301955902,0.029813054683391717,-0.00518048796135506,-0.0333026004887864,-0.02990914369234408,0.011560574645595722,-0.000923158087970932,0.043360249549424364,0.004073087717216984
MIA,0.012365120011573074,0.012659696635126144,0.013165076636496154,-0.024215338100118274,0.04476830344199614,-0.025649035972670948,-0.06682226095850553,0.1366846735857747,0.031119962422407138,0.016150619622595855,-0.02431978176480163,-0.03713996014453474
COL4A4,0.08782532684673815,0.035812977920113565,0.024578954251407343,-0.01758671791831347,-0.024295811361152587,-0.024880516449600425,,-0.00783669513939726,-0.023363008502123105,-0.014396798611321513,-0.03969673254112668,-0.0335949928414192
