,UKF275,UKF296,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,,0.048644242197713086,,
BMP1,-0.0139973440655188,-6.89288004708809e-05,0.05356405905609736,0.056305248666315415,0.098256895715324,-0.01998715613210561,-0.07898868264149543,0.06793743421855176,-0.03560998173105389
NDP,-0.004074481290260424,-0.02261450598407329,-0.018464538483996037,0.019221492735680832,0.05079698833936848,0.012135838914204644,-0.020846157695401938,0.018470582099381256,-0.00751040590244893
TNFSF18,-0.01167476423610172,,,-0.027050309343288483,,,-0.02255679109137814,,-0.04535024878624991
IL36G,,,0.02474580767733615,,,,,,
RTN4,-0.00654233532979292,0.0034711942472227253,-0.012104146479757681,0.0677478627416731,-0.03866379478551724,-0.006513608454732655,0.046707795095697405,-0.02609416039214424,0.041803351736812315
HEBP1,-0.020062614188050054,-0.024857537411889005,0.02436392820148794,-0.05099473713061714,0.08084681919682758,0.05090662590695808,-0.039421990487254,-0.05049391962500686,0.09104970308212426
WNT7B,-0.0239165089357074,0.08233503444803329,-0.01811175570397554,-0.029779750330430226,-0.04329139636230343,-0.04849167338135303,0.020073420553275708,0.0076568569002982674,0.01613543390563267
PTMA,0.02249382160214663,-0.06194982873758334,0.01746536155325118,-0.010936238138381845,0.013383953204532914,0.05388896631605011,0.12790919771450524,-0.002773045447194246,-0.05984675924889752
CEACAM1,-0.018361622817168115,,,,-0.03314918804783509,-0.023491958162940797,-0.03241175383744616,-0.01569862650404825,
PDAP1,0.03578590391235876,-0.017090962940855232,0.03346569786605642,-0.056243444615894665,0.0319296361325072,0.08990792276717892,-0.031869366706953596,-0.0020681120527466005,0.03701347025376045
QDPR,0.047967185492791525,0.005666503832175342,-0.039893102566852134,0.05343714000536783,0.011140835613612916,0.006840083362425287,0.04620317114523723,-0.03362351998260027,0.04541491650313965
POMC,-0.013546473200963693,-0.022672095054712828,0.016774915844204284,-0.04923572179004846,0.04878827867151883,-0.006400050317297504,0.04471368728690514,-0.025680890700638094,-0.02046153073496442
CCL18,,,,,0.01124494799859702,0.0045438784443688944,,-0.029212253243216687,
CCL17,-0.014560704009197852,-0.014891937972947003,-0.015053565272268005,,-0.023517744454137082,-0.03391211642003954,0.044292958868604584,,
VEGFD,-0.015513198560510985,0.014867666782978036,-0.016133372161436243,,,-0.023491958162940797,-0.01321321175024816,,
TNFSF13,,,,,0.012606923959363903,0.009503617167954377,-0.03092471953500309,0.06927839500339976,-0.04933460193418424
WNT5A,-0.01578501180185864,-0.016295921074869973,-0.0193071863057774,0.0002120692540914582,0.03225663608758498,0.04524674697176132,-0.022723317145241582,-0.02995215494154902,0.02239995406149998
CXCL8,0.01901483902855368,-0.010172360501721997,-0.04850687687986918,,-0.028183409706703993,-0.07032664499052432,0.025701763165403256,0.013269894275623625,0.0019108920374603807
GRN,0.009473602923470822,0.055150546312474374,0.08952761153104323,-0.041122424217598666,0.03783776743184541,0.026287715530006344,-0.10686061908410248,-0.05587913624558475,-0.04146504711008482
MIA,0.010909232461873718,-0.012423085929768046,-0.022095392528171724,0.02527443578092725,0.06443494468615514,0.017247741577277934,-0.04108735240688826,0.04658128274270184,-0.005845144394808808
COL4A4,-0.01520182547444067,-0.02086979638676033,-0.021433350471468327,,0.08049016723638393,-0.037614298195903145,-0.02101266600021147,-0.03163815835317767,0.00710754552925213
TAC1,0.02109672681781217,-0.03035894816894741,-0.037984382655350445,,,,,-0.027084602983328553,-0.01610734006175741
RARRES2,0.07899167183723362,-0.05574911875524589,-0.007042336755227683,0.043483396211805615,-0.018460140295620302,-0.03090341659849304,0.020933814980521,0.010034411069265718,0.11064562681923604
FGF7,-0.008307105944407528,0.004198043976432035,-0.019605827430385348,0.0015407520804940442,-0.06668145342080332,0.04731912477742201,-0.04122330225416996,0.00956581550105927,0.009264030957567957
EFNA2,,,,,,-0.02232753407974604,,,
HBEGF,-0.06068305830471224,-0.02805238118855645,0.004981185634515712,0.07667802351568197,0.06698321099478055,0.006347465658119944,-0.017627256605490055,-0.008138975939174778,-0.03481062301120886
CSF3,,,,,-0.044024428227375144,-0.0538658339479394,,0.010276170937045451,0.08531034545261867
PI3,,,,,-0.02683900650870822,-0.015866898366985877,-0.024502341885181855,0.03778421999459365,0.062181901538059324
PCSK1N,-0.006071075810760894,0.0517778018979742,-0.004278920048157612,0.07449738535595943,-0.07200202086063699,0.0059684840208881545,-0.015461953585980763,-0.025376425050401327,-0.06286493892208328
