,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.03056525318644855,,,,,,,,,,0.01515460755783863,,,0.0011888574736134488,
BMP1,-0.0004952825511124219,-0.01181787110028564,0.05230963148768507,0.035711535568257825,0.05440177711006224,-0.03691523112798887,-0.014010268514994451,0.1855520075042606,0.12935518613700797,0.052694529636514,0.03176799703869996,-0.06885364474870434,0.05823932209379977,-0.010566420243138648,-0.060079383781895,0.062221588401470185,-0.011037220275656729,-0.01219558595946356,0.06482940097051364,0.013852876450285281,-0.05488193527075179,0.009037306263475415,0.03557324908459894
NDP,-0.0025205162473242813,-0.03706405839294275,0.008477596573119913,-0.006470085423104778,0.06216608127514574,0.013568400364007102,0.004843980567596696,0.05066238687177827,0.005069322035015254,0.015326591075210845,0.050657968040111495,-0.03256803845752554,0.02368515180446556,-0.010227526650042017,0.03066386865341168,0.014640237902125354,0.06402518225855477,0.12121571859193879,0.08713118353592608,-0.003938179112852338,0.016935535060115893,0.11591152237837646,0.030758895079672697
TNFSF18,0.10320930524322554,0.015004001387278415,0.006152619338871626,0.04649439399219735,,,,0.026138084532699647,0.006536377421570292,0.001546406273674925,,,,,0.05895492663281692,,,,0.022547205510625504,,-0.016228986581373436,-0.017822128278708715,0.10174861380502612
IL36G,,,,,,,,,,,,,,-0.007698714973311401,,,,,,,,,
RTN4,0.035824411499303876,0.041218679474670616,-0.019131078765015692,0.04796930918486308,-0.03133969070419222,0.03986857793634584,0.014454030217600042,-0.16488413129370588,-0.19750066393626922,0.009287311483548449,-0.005645231431677357,0.09865908002143776,0.029577988525936936,0.06104584326496388,-0.02656966059233271,-0.052509673157279745,-0.01846437511297489,0.05929694423060502,-0.0821326614922019,0.04883613553873388,-0.038473652473961166,0.05647912995000822,-0.1374934512279562
HEBP1,-0.0647465799392529,0.05169207192501977,0.006273529138231855,0.02708444336921721,-0.01580711589036324,0.027979209804148936,0.07244091617383229,0.06632419699075107,0.07710549369521688,0.017349734443753144,-0.04016151437704985,-0.06026651610232435,0.03690835698529643,-0.04280467756925307,-0.06404154087121099,-0.01611866839465297,0.08843433536403134,0.06802271946771159,-0.06581077195375472,0.004137219928317156,0.048473189507525896,0.06821419415737373,0.0020189190999127062
WNT7B,0.04088349866540566,-0.01918242136341716,0.0020073937456179217,0.04954518493813442,-0.01420293414757925,0.029795063135047418,0.0692926831310395,0.04734779877230011,-0.06440121888125235,0.019926923023562946,0.009886111922943605,,-0.022721984718778704,0.030500495151606917,,0.009890085982093962,-0.0034953630776514604,0.050484403627997214,-0.024966439736441557,0.00735414870541015,-0.040316410853728606,0.05227475987456001,0.05187123370589204
PTMA,0.06738373351776052,0.051394003143009716,0.014991223808305993,0.07192978551364053,0.0015539184694275798,0.03135384525286145,-0.01928814426116864,0.2520877400484006,-0.11177004213240968,-0.02820217628936314,0.009620236350019813,-0.14560283616557027,0.04521187782867047,-0.02979299362085073,0.026732316006788725,-0.15819703651025588,-0.09785339966380376,-0.029912235612233162,-0.12935085730129478,-0.01480051847656452,0.08912437540001963,-0.05739951490043212,-0.011682765939756267
FASLG,0.023707058494548742,,,,,,,,,,,,,,,,,,,,,-0.051158867195201636,
