,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.025961644163944614,,,,,,,,,0.10866579181647888,,0.03880735454755198,
BMP1,-0.03749469482384839,0.015358221365617932,0.025632537631586762,-0.023463036094655675,-0.00594916510321817,0.008638488028537932,0.0610975229410258,0.07721220360676756,-0.035702350094331495,0.0015721410744817632,-0.04523813516699521,-0.008536784299775698,0.11209360127561739,0.08071975356766695,0.02305504587267715,-0.013812393219265877,0.03587641446067353,0.0021767654861103653,0.06032187931806078,0.06414789564022982
NDP,-0.020615243835042655,-0.07693267139431655,-0.005075625460133335,0.044937393901994555,0.0063737870351466604,-0.00910856369530355,0.0035836903685394156,0.028872536249231046,-0.04503626381813752,0.0004984131569724123,-0.017337822269541715,0.01722028316253917,0.10360346312806343,0.05011440467504902,0.016658506738814194,0.05829730830551726,-0.020740126553197506,-0.04248452095897852,0.048855349685293106,-0.0653854791410128
TNFSF18,-0.022885152519951636,0.03168445240009978,-0.023638539494719345,,,,-0.013966646143907645,-0.007613187997831549,-0.014339159025942665,,,,0.06298891123713009,,,,-0.027014168632405144,,0.06286380603829014,0.03803385750029532
IL36G,,,,,,,,,,,,0.06076688213399028,,,,,,,,
RTN4,-0.011101535546630228,-0.031140972860328252,0.037235110424270454,0.01182609821009718,-0.04844319897312217,0.07524419717769347,-0.033486373230540774,-0.10537013548660705,0.059006662945828285,0.014550196881370771,0.028424130901878016,-0.013769430237422315,0.014236819715088804,0.15651222229526512,0.03265280403885746,-0.03374001976045588,-0.026006867321417448,0.0012347997389107873,0.03360989543154028,-0.01382768248534627
HEBP1,-0.030936660409240865,0.01263389160031514,0.004012890826466313,-0.030447656986161527,0.0027194915064373834,0.007916557068608446,0.03710799832669583,0.11140750868748271,0.06651652946853978,-0.042436266384224604,0.058046384562834216,-0.016119062275362698,0.03449293936320782,-0.05382840866797573,-0.002357417790866724,0.04057541759186827,-0.029203994388990136,0.05998908563205826,0.04820955069814983,0.03070562066217586
WNT7B,0.07633398961192539,-0.01642034126007365,-0.02541105364619579,0.0629202945610831,-0.03635146176157171,-0.032097555236769285,0.009593096500187382,-0.07397343298976614,0.034624156957395125,0.0005103962393484296,,0.005285684209075773,0.009172807055136796,-0.019829002238989486,0.015663029709433108,0.032293245639250304,-0.046441196984392245,-0.03863229009496689,0.025640697750590215,0.12207465725366994
PTMA,-0.048541296878183315,-0.020265412183829233,0.060150485673637066,0.014721165670320401,-0.0132480306832658,-0.0761543685501466,0.045451270682834964,-0.09729441618804856,-0.02831048484634666,0.007135099772972565,-0.02587522051585863,0.020781604268647898,0.06710491159161945,-0.06040906556777394,-0.07559380017037251,-0.038572799490438986,-0.01278490675599606,0.029291720334305965,0.0016420482955719247,0.017719655315377877
FASLG,-0.020161108286660272,,,,,,,,,,,,,,,,,,-0.0031222553102911305,
