,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0004548625078575681,,,,,,0.04367046537692033,,,
BMP1,0.02809411797837173,-0.04092855031250508,-0.007433116776130226,-0.010259173054176746,0.052927129593650195,-0.06814389776286404,-0.08121008590498344,-0.22504579014988918,-0.10403650683715801,-0.01251431880826845,-0.06887810216427638,-0.27490207901621144,-0.06296329096212636,-0.0009265442979413159,-0.018709719759443105,0.07940399028568346,0.059608208720057634
NDP,-0.02384461004022412,-0.08050055924110379,0.03279814889467613,-0.06393399227161609,0.03377531433065817,0.15673873586747916,0.08334246985832824,-0.08309436942207693,0.04735761116156075,0.046916347142573825,-0.06348602872687426,-0.06385643048827581,0.05182305416372328,-0.012962851352804972,-0.005816474432327117,-0.07730209361570213,0.04572035196814625
TNFSF18,-0.020895700484328438,0.013624526224568508,0.03216060854430462,-0.02967845993840326,,,-0.03794363960600992,-0.05868613542920545,-0.024337019763556365,,,,-0.024507766031691948,-0.035414299128637354,0.07582719932116852,-0.05744908587206415,
IL36G,,,,,,,,,,,,-0.040860411505552086,,,,,
RTN4,-0.013439666152478028,0.20621422101102316,0.02161979762724021,0.005765157833467964,0.03330800745107556,0.1282436210652551,0.33963767933338807,0.3061136962747908,0.1619529873743299,0.21420586649507461,0.3280925712429887,0.42114238120284264,-0.08934680966405166,0.042337621194335345,0.05321608484775046,0.22462614974077982,0.02138199307759318
HEBP1,0.04181947620186623,-0.0746857003425715,-0.0062712285965401725,-0.05556312717472767,-0.02715791398346342,-0.06246887395598541,-0.05659514722023717,-0.09319419860768843,-0.03459592921463953,-0.07075863986283144,-0.13772495720052957,-0.04088178510441764,-0.015031177136000882,0.011908417794481027,-0.022371240299407985,0.009157822107292383,-0.017379115996834886
WNT7B,-0.018408457655154684,0.1799135831352926,0.030661830652839242,0.0031875210651724547,0.018031483648169328,0.10426299176640114,0.1123009751073567,0.25701961330935724,0.021374414524010916,0.16340388051355853,,0.08058496718436094,-0.026980658310344473,0.0739745777803424,0.19592023104957754,0.00355103238858229,0.046179456100974854
PTMA,-0.037422929013535916,0.02023198921496211,0.029320004638650542,-0.0713227570888879,0.011398400070554301,-0.1329384738897634,-0.340208508127461,0.14534570296690344,0.0812795254281796,-0.09637116747009757,-0.40598425008710476,-0.4510144361010076,-0.0031632582736326213,0.013761198541800966,-0.027726020051064115,-0.08462622101012035,-0.03557469738981432
FASLG,-0.018408462859178507,,,,,,,,,,,,,,,,
CEACAM1,-0.025560311785078272,,0.04709243241525687,-0.01847430290415235,0.019532391040749636,0.02047532722443808,,-0.07204519582710905,-0.03827633418159713,,,,,0.015646678401373564,,,
PDAP1,-0.00314328014627451,-0.07060380028663316,0.011916283401582732,-0.003267126951886002,-0.00562570413011435,-0.040652828266957014,-0.07611968967632345,-0.18869353577676806,0.04432321805768247,-0.002824122544099479,0.0067778216298520514,-0.22624286766418666,-0.05852991017736095,-0.004985924619355643,0.03531393343462152,-0.034231515715492926,0.026223545947522672
