,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,-0.024126891013779853,,,,,,,,-0.019646002232775687,,
BMP1,0.03589755970272404,0.011858595732750764,-0.027173581805011643,-0.12243072170368391,-0.028868190147811376,0.019512610277910743,-0.06756221795783801,-0.12678612471562503,-0.018284739775043305,-0.0196437543508021,-0.03014480954627762,0.15587554011553595,0.008915998065686109,-0.0012802653269174916
NDP,0.07994508165781462,-0.0009514876533642126,0.0016971814066088216,-0.033105547948936956,0.05424152174407946,-0.003404573711282592,-0.08686779911243958,-0.09007380329252855,0.10175406790665432,0.10109152356080112,0.01030989202899044,-0.006065925151960104,0.039550706580887496,0.09117218537068814
TNFSF18,-0.0082951686158762,,-0.032309299529527484,-0.03582770884634658,-0.020702784261131146,,,,,,,0.04152279003582406,0.00034474389255854704,
IL36G,,,,,,,,-0.02288337270489369,,,,,,
RTN4,0.047810301080352,0.003021615387117257,0.09224478057080956,0.1945274359058783,0.05958370283077713,0.055792190899084,0.18899591382151357,0.24081704665195242,0.05656881161575238,0.047607367711338805,0.1544374119597893,-0.016359248220820986,0.024768749902398017,-0.02763994789499655
HEBP1,0.007478727251232938,0.0020934999903807813,-0.054234667214488795,-0.10659571214108053,0.018583081654777345,0.007478747065413579,-0.04256533012668755,-0.07696513719880375,0.0633293026655472,0.039080252273044735,0.0015440222469541825,0.03667345619911057,0.030525459402965957,0.044935488851696195
WNT7B,0.00999704827841583,-0.022753995280856167,-0.001615483561419084,0.16256586566407483,0.01652729418860255,0.0007783782365548599,,0.04322803069913309,-0.00814871396551084,0.0341482306235465,-0.008848817251788743,0.028026500091798252,0.08604509596506205,0.05326949714058854
PTMA,0.021558450271028415,0.007956911427390346,-0.10123161954412531,0.08184858095491246,0.08783891833629874,-0.0352074698857316,-0.18509185618586793,-0.21957418045651092,-0.12693816272823974,-0.07290115236698261,0.026156473012526688,0.03579779498095203,-0.04804234374209077,-0.03854238304595784
FASLG,,,,,,,,,,,,0.08942363519452154,,
CEACAM1,0.05530999090083912,0.03169939853396817,,-0.04714722424807692,-0.02352192140293964,,,,0.019388929041601898,0.03165678484939549,-0.024610533113069353,0.029912775430011727,,
