,UKF248,UKF259,UKF260,UKF269,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,0.18032211018636662,,,,,-0.016360137970527638,,-0.01797468884007508
BMP1,-0.024044563188802315,0.04665422000392777,0.023616656305356032,0.007802635129101294,-0.003409789748269596,0.02772423855449479,-0.09394330176238619,0.032758536472303146,0.013703841249157939,-0.043164976659786546,-0.012671501846799268
NDP,-0.0654871625156097,-0.04141856555052231,-0.021721396446364866,0.00012669369588885068,-0.09307790507462109,-0.02516766971593421,-0.014144404945655347,-0.022496145912528916,-0.023998700014805665,0.007230790705945506,-0.0016282946156992951
TNFSF18,-0.028518374426333013,,,-0.020209959958072805,-0.07200692284026296,,,,-0.016871921515611742,,-0.03032008652870498
RTN4,-0.018958910364091405,-0.020583540584170217,-0.01758911873981279,-0.0543115871567632,-0.08807387372585956,-0.000815397871874843,-0.03787823000016596,-0.012810915919122428,0.009643832940378808,0.10179443997160548,-0.008331979535415285
HEBP1,-0.001865256449726781,0.017749411141261943,-0.013937384377686653,-0.008014724435407372,0.058585066180759635,-0.013462075595217666,0.056966531196815495,-0.04101185655344643,-0.02566573339205134,0.014083557512458452,0.02207390347477857
WNT7B,-0.042204065985766974,0.048337174190436136,-0.034796237396426906,-0.007657620745392224,,-0.03531263548832621,0.0432374098821252,0.0013016520400297162,-0.035280552792079534,0.0700602660178943,-0.038365458167556654
PTMA,0.0037775214740218463,-0.002965122894534551,0.05863614287306559,-0.019892779518908933,-0.011660215164193423,0.07754374686367414,0.02106633981253955,-0.061256091347494865,0.005831765440961458,0.011957818739644459,-0.08916984427102441
FASLG,,,,,,,,,,,-0.015589441498843412
CEACAM1,0.00026019413966178154,-0.014932606562819,0.13491120767460796,0.03167232941011056,-0.031227445352160977,0.056790185818276086,-0.023177926810184123,-0.016893071826819338,-0.024243189765486672,-0.01636489441054958,-0.021690418173455347
PDAP1,0.03155451692392001,-0.056034154996488866,-0.02149921320430646,0.022565435597419765,-0.04014899888834436,-0.04096960320380763,-0.059005195439231446,-0.0673733497981352,-0.013861973086430602,0.06156515202754406,-0.0689955282677312
