,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.012650482975791182,,,,,,,,,,,0.008248611797111602,,-0.01522497794756558
BMP1,0.04550095579458424,0.003862922990740484,0.015199189547476618,0.0879251895413969,-0.0115457959451113,-0.020374676649566367,0.06600438976305949,0.10835424606879225,-0.017872255178771675,0.022323319487634153,0.10408471387982371,0.07711384895426528,0.023003941890276568,-0.041431864522944326,-0.00810254331914848,0.12752230974989048,0.0065873051710337565,-0.06764284252994086,0.048978269213024006,-0.0037806302295511087,-0.008560782047158171
NDP,0.09636529311130862,0.02797285215514934,-0.01912214747373035,0.03327454919282121,-0.06391375857590922,-0.035649754884805096,0.01636858220174084,-0.009882935458078392,-0.041619557678705586,-0.017406802049814152,0.010033615257018411,0.06154094166157258,-0.0038871627295921063,-0.026479110445295075,-0.031793503421238246,-0.01503289318088245,0.10537052110023448,0.04278585559824942,0.0820366498670935,0.04051654965851548,0.012763013520803909
TNFSF18,-0.030625592406612487,0.041551786559679504,-0.021677812606839354,,,,0.029773782145937604,0.027866182737495537,-0.02664042118602212,,,,,-0.02634637836937611,,,,,-0.029564082285073925,,-0.025681815850887652
IL36G,,,,,,,,,,,,,-0.025713360694348382,,,,,,,,
RTN4,-0.026062117513641084,-0.041365201969052204,0.04179309798144302,0.015528121140902433,-0.011046224975768047,-0.03400342335708975,-0.08723264048905488,-0.15199715958597604,-0.01102525660292109,0.0011287244029906385,-0.07012909943487868,-0.023158177888738005,-0.01623566204755532,0.01417869860292022,-0.05131070206523474,-0.00015053313747532608,-0.052738493071868654,-0.07035046676446016,-0.12172063835346295,0.0492153528870891,-0.007076407142436226
HEBP1,0.06733040981986013,0.0013017770875516298,0.0047567289017933214,0.0029778283273278077,0.036382875059150714,-0.04199607638280333,0.018424375730194675,0.09925129529078683,0.010824885866189954,0.02736475143372742,0.07297140384978261,-0.0003128633085277194,0.013543368274427816,-0.02208545341225018,0.023561460241564157,0.00879760457364712,-0.014281838155405374,0.03796562984953254,0.027080583846298627,-0.01942744438775455,-0.03146768538975722
WNT7B,-0.0555057374153075,-0.0010333152050892545,-0.0032014899826854765,-0.038654406063429195,0.04186824287580554,-0.004821744781052388,-0.008417480950973453,-0.022960341593947654,-0.02560605800892638,0.05141332553554216,,0.0024032545457973804,-0.02826194664676076,-0.029004791035623936,0.05599205485782118,-0.03447726716091047,-0.00039137200839673504,0.011884833346996892,0.08679078102673851,-0.006613203009920895,0.10173892499767287
PTMA,-0.0946279011934144,0.03388198352854107,0.021398556440154055,0.03789454199980999,0.008445428350844133,-0.053538777371417136,0.07560750485997113,-0.08969328982260258,-0.040839558628448736,0.008388640882196362,0.08525482444521565,0.06166149110470675,0.012985465368902466,0.04363990730110669,0.07221633825296699,-0.0019984968069394174,-0.04380073824892024,-0.03614442476826962,-0.10928798226332757,-0.09553644536199046,-0.002885955728045308
FASLG,,,,,,,,,,,,,,,,,,,,,-0.013204618179847348
CEACAM1,,-0.01111076844085599,-0.015160689338847422,,0.048021542906639236,-0.03960631300316851,,-0.030138086886187347,-0.028749934666714987,,,,,,-0.05303930425792179,-0.030919765424298664,-0.013637485188047072,0.1926345031450626,0.030903601365097233,-0.015181073532584447,-0.01837228679186159
