,UKF248,UKF259,UKF275,ZH8811Abulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.015714760394173216,
BMP1,0.05609731045844265,-0.01900612850410468,0.016463823656753935,0.1272643135823559,0.018494786361928472,-0.02038228891120561
NDP,-0.0032494425031287144,0.05293669385556016,0.0016424957710005283,0.08493427954935555,-0.02834703495190129,0.05548676896320539
TNFSF18,-0.027232127879487828,,-0.012622089051545443,,-0.02650799127420153,-0.02395308927195981
RTN4,0.057890456127055546,-0.04056102159082271,0.008794068451457636,-0.026795099002502716,-0.01906443234855625,0.02968607945911723
HEBP1,0.05434876171966226,0.024220674181238258,-0.052138383309539064,0.07130120510846309,-0.04500276670411216,0.032227052115817154
WNT7B,0.06595300329672275,0.03113884158575531,-0.036180043305471865,-0.01915126961331854,0.05366356784714135,-0.042056457107786806
PTMA,-0.03836731028131255,0.060050289216173905,0.008262854542574215,-0.08220954316985761,0.013384463270588677,-0.028197079337052466
FASLG,,,,,-0.013629406328698452,
CEACAM1,-0.017332503079847284,-0.026274338378135375,0.06330982794285393,-0.014838040340377922,-0.018963317110965203,
PDAP1,0.002808784071588367,-0.010922744361576957,0.04409323013825207,0.022027271864792548,0.02868444025609864,-0.006205265520655593
QDPR,-0.01259559237220483,-0.005817321573194963,0.03510211939235967,-0.03254359069658529,-0.03399175280221126,-0.009052846503679749
POMC,0.11037713495967962,0.023443560437748118,-0.014645674004122807,0.04282701305330436,0.049426532933429065,-0.02704866526864241
CCL18,-0.021629326198957518,,,0.08516583028739422,,
CCL17,,-0.015228931496057281,0.05596340112487724,0.23329408609657876,-0.012353525987240177,
VEGFD,-0.02162933306728164,0.05309348986489641,0.01582985637114398,,,
TNFSF13,-0.0163221888137975,-0.010504576112429154,,0.03537250626913991,-0.020129039489289687,-0.026057544466755154
WNT5A,0.07330037269536806,0.007670988977929784,0.03775046372550405,0.11510135265675366,0.03113518377859636,0.028092652540297754
CXCL8,-0.054842094445950264,0.08609947114219398,0.018227090413818,0.06506232490274241,0.014423542539341201,0.04347032856248402
