,UKF248,UKF251,UKF266,UKF269,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.0027888107047598885,,,,,,,,-0.016842704532861602,,-0.0014094654209049291,
BMP1,0.0032716639851414547,-0.04047717361445782,0.08868481074288576,0.06832017509424744,-0.03414509013992617,-0.0026628015230780147,0.041635692194870906,-0.032424678667653146,0.08827974027842977,0.004430249169608102,-0.015574430618360034,-0.026294316370333855,-0.05617240509065701,0.03817977445410272,0.014406370864824155
NDP,0.030217121650802384,0.045215251371478395,0.05007814432073089,-0.0348280705344359,0.0378043521560494,0.034256795006201976,-0.020018243651837825,0.02938018210474858,0.10365153779019134,0.027880961141705855,0.07461806855283327,0.025991599243701532,-0.05111436787999307,-0.004952392452837203,0.02877141949210137
TNFSF18,0.01887544504121082,0.0015411949582769095,-0.017509958812274642,0.027677620716977557,,,,-0.022941435151146376,,,,-0.017369583893546727,,0.09752843574120039,0.05026197581809495
IL36G,,,,,,,-0.01853672579059107,,,,,,,,
RTN4,0.012612176071793789,-0.0081619177187227,-0.057797914080782664,-0.16865658370199033,-0.016363675720407516,-0.03825686545021938,-0.013273674474666448,0.04040587680770286,0.0019024084425122928,0.04676152238247841,0.023287177026394185,-0.03474731400363323,0.05029372419178025,0.024864507349458918,-0.02770791798310637
HEBP1,0.05149912079188274,0.005912929223969589,0.0023306709508073573,0.04614669285038838,0.026067478734764837,-0.001622851062676557,0.0636435781522939,0.022625993876950443,-0.0014061040569706851,0.056392552601605826,0.03293153213608624,-0.030423376502921824,0.0081246654643216,0.0021783650007226167,0.010779673307931815
WNT7B,-0.023668829128160634,0.14699973034797842,-0.011016760848555119,-0.07223301664720602,-0.02089145367573773,,-0.020373997842081566,0.1573168917030564,-0.025914670115973034,-0.04254489311584753,-0.03495621065352169,0.023008915403708335,-0.01788622406767406,0.019865276364915373,-0.024129848032988597
PTMA,0.026316292088540538,-0.011217424230428872,0.10339356144692972,-0.09759214158709045,0.027135247792817768,0.052158591643462156,-0.0033151731770078826,-0.04264336006160413,-0.034497023974240835,0.04069829633351536,0.022831415504686287,0.010555157700893585,0.06273924921367277,0.0069174195422627375,0.0314578623449518
FASLG,,,,,,,,,,,,,,0.004192617462017898,
CEACAM1,0.048781250634301984,-0.012055895765191327,,0.07553831078218902,,,,,-0.04706684325014605,-0.00508468846167054,0.027635469947491664,0.05594910879168742,0.11093215895599627,0.05775053987575049,
PDAP1,0.005620359691185918,-0.0719765486486012,0.052639553841899764,0.17658326449661968,0.0028797415406134922,0.08789890383109038,-0.033418901153355135,0.001581980325297627,0.0024487540003751253,0.032459868617070065,0.007237214368805871,-0.013881403511260904,0.06323939824038535,-0.00696550015919025,-0.039425414786797335
QDPR,-0.0026020009737313266,-0.0003260723848872531,-0.03569121410195122,-0.15802684039652012,0.006993770111096257,0.017779971208648257,-0.0319609559870328,0.02602637037415863,-0.06988217384129683,0.009480780014968252,0.09657082946021744,0.020317337157788957,-0.039616246134688726,0.0246379301734315,-0.028353788163702525
POMC,0.023531442836076895,-0.021421403345818518,0.020537232149412783,0.050984753378445935,0.03900452497115384,-0.04931746230290617,-0.03129838597096842,0.056100102578283025,0.14224927158724487,-0.039556970669696656,-0.039766954105856615,-0.021926153662368903,0.04999582218912754,0.03123263051886275,-0.0016006953269198775
CCL18,0.0169656783995928,,,,,0.08553278320571832,,,0.01826385645939808,0.03826450040161717,0.06359656519180526,,-0.06910998985088683,,
CCL17,,,,,-0.025857763192014573,,-0.016933825267171708,,,-0.016913327534982793,0.04513571195017585,-0.02220613300742899,,0.00901100395362855,
VEGFD,-0.018004061594459934,-0.017267651916911243,,0.02798808995161188,0.012765520939870306,-0.02012694478288367,-0.018148505035900563,,-0.0454670743550071,,-0.030002586467747675,-0.023420616415011593,,,
TNFSF13,-0.022377246672113518,,0.004807657751576003,,,,,,,0.07573155211648312,0.03458063833562304,-0.0028937424461630314,0.042805830410686585,-0.026820871998425967,0.07855173313921499
WNT5A,-0.022195676406345247,0.0322384534220405,0.13892008739187492,0.09621203986215894,0.0229238349634294,-0.05765368183237152,0.024204807418948423,-0.006587094627436842,-0.011360597922749495,0.0383999775946601,-0.03644378606791409,0.0035212718318666514,0.05213936457790827,-0.052175243204527155,0.023074435785823435
CXCL8,-0.014478732955692058,-0.016168405768625736,-0.02415438145988015,0.07633230847509884,0.014567358337373744,-0.022783384723174527,0.02360062714484152,,-0.025338761211860426,0.02511482742958717,-0.1321938509895579,0.0022477260484488884,-0.04057736479713599,0.03253349340614329,0.002859755910731021
GRN,0.012665908486353579,0.04012229872786434,0.09918831705435975,0.1094477625368628,0.044112048725650534,-0.012474397622918713,0.016387217897968594,-0.018773681228624457,0.09600654278041522,0.009241937127078704,0.0042542178620893975,-0.03929685889071494,0.01596269628015881,0.006283399102593735,0.07047334089345278
MIA,0.0011719663869102944,-0.01535664203924748,-0.030704936111768284,0.06440140425336298,0.031270785716614326,,-0.024855209348373826,0.09918967792121819,-0.013746014394180673,-0.002891579333489497,0.0682422669657172,-0.03991945254430069,-0.005669339060812536,-0.008684442069164635,-0.05124990103854517
COL4A4,-0.01605110309836928,-0.025825297987401127,0.14068141506805615,-0.02629791954743786,0.02247977279666467,,0.0739597656308674,,,-0.02383798164898997,0.004577804777916786,-0.017968112125851577,0.015626231599006835,-0.04833906367625276,0.017471594235711707
TAC1,-0.011160104938439937,-0.016590708057262756,-0.06348770811703211,-0.10924491388955951,0.004839012835673338,-0.03314833342666611,-0.01838878166165895,,,,,,-0.03462346838783245,-0.02163888900132851,0.00910907318111524
RARRES2,-0.04930091641045972,0.05133521583712112,0.07846119417358605,0.15320510391114897,-0.0018371669161584133,0.030191902244187472,0.01123956510040712,0.08219110610972656,0.024309502582688065,0.002313698034341815,-0.022952651591277778,-0.022827123262636414,0.005474611874239473,0.03362864036968356,-0.008853706671159346
FGF7,,-0.019489738114043084,0.03485584446085977,0.020981867684863643,0.027893768355921816,0.001837209673247599,0.016216311359382923,-0.0026747535046267434,-0.0371599123761271,0.025715452255727123,0.04575297732303439,-0.014369981704331158,0.03592716452363818,0.020596559015004942,0.008027067416676572
EFNA2,,,,,,,,,,,-0.02851545057218446,,,,
HBEGF,-0.02436740285372906,0.00035620425041723246,0.05644080911706424,-0.001757195385471915,0.01909210782726191,0.005310538975170838,0.03152779928229977,0.013579393362119527,-0.13627708382621578,0.06419143249181436,-0.0035683576002891915,0.02000606056887843,0.026504868887147908,0.010297042430885016,0.003015963767145445
CSF3,,,,0.0012148508099975265,,,,,,0.062402272403027294,-0.056550599328265755,,-0.028770594327494996,-0.017330277450729997,-0.005979330212102631
PI3,0.003685035375575402,,,0.019974419214553302,,,,,-0.02612009109438207,0.03590755404513294,-0.058443707611391324,-0.01886773172828227,-0.04800359492304855,-0.03765293548017714,-0.011961021440084832
PCSK1N,-0.023110912001953428,0.059210970769682604,-0.011307807880265325,-0.0006957052643834374,-0.013029412106620137,-0.018538504823151468,0.039975786752807725,0.023154847662249928,-0.07039022897186399,-0.016585833795363672,0.02169363118482067,-0.04347958707541728,0.043671429441845475,0.016684937743379112,0.022392392071435754
