,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
IGFL3,,,,,,,-0.024015368693337404,,,,,,-0.017873034695637093,,,
BMP1,0.015378837485623765,0.003565825767494183,-0.0015255685213675985,0.03464206753467139,0.028066841648305276,0.030248104290905447,0.06840926756394379,-0.015802611734741442,-0.022029278111913093,-0.0029050732432754998,0.0360054353850791,0.024109134611181804,0.09840815824345273,0.022749756922144447,-0.011796578107806164,0.02707721718948968
NDP,0.02048081598583789,0.01930224979889048,0.020494274970171145,0.012917408590076025,0.0028388550974319236,0.006035698429031312,0.041407038951047054,-0.07090533683711775,0.07844291858083521,0.0064391009984102405,0.0666947066312829,0.11160995630607862,0.11087692197116257,0.034833891505878456,0.042604402941310036,-0.0890502162332625
TNFSF18,-0.0058057859390847994,0.03590015834335462,-0.008169949796216693,,,-0.012213192354812167,-0.03566210154848136,-0.015129093701496845,,,,,0.021994501475952014,,-0.03551429650185588,
RTN4,0.0998028144438312,0.00674506265755843,0.002152533956367725,0.022037915163225376,0.0056216932342776065,-0.031101127495108113,-0.13795777201369547,0.018674822825171775,-0.04739407112122457,-0.006087009991390098,-0.02753394854910026,-0.03755673587442154,-0.04494698264734746,0.08458608870440722,-0.036675832595231064,-0.06791777199399968
HEBP1,0.03882253733148103,0.021002821543879287,0.028427289794875084,0.016812208730984095,-0.02198930210440219,-0.0273991745822774,0.04493397149414145,0.02363273923739542,0.021389542055884964,0.04021918951055351,0.08041007233461316,0.04136320407212531,-0.04049227281263818,-0.01775316601026491,0.1902669285073129,-0.012088846310859271
WNT7B,-0.02158752277239183,0.013541430175677396,-0.011257865136110115,0.013375931418996399,-0.005968422964984946,-0.04354843824980772,-0.05732157614548945,0.01312862204102379,,-0.049152199820193525,0.09035299219782597,-0.009837117901864036,-0.06659259252739637,0.01704955609720583,-0.035514259676198236,0.08050495987189442
PTMA,0.03264342195736309,0.026228841453125845,0.054299965603663215,-0.014224786316744705,0.03272573358350929,0.01652981049556398,-0.0483820554909817,-0.018192395023866537,0.06734178285119019,0.06522642867886272,-0.01453895562346328,-0.039340922516230545,-0.048799834634061665,-0.0037729386369033426,0.0636920142825125,0.017069468826294235
FASLG,0.0208265552196687,,,,,,,,,,,,,,,
CEACAM1,0.04605312455883671,0.04812339515529074,-0.032103590418244746,-0.023945218051745265,-0.018590621929668077,,0.0019851490649834933,-0.011714897052231693,,0.03631225226257886,-0.012535731115299853,-0.03584672639533979,0.013059623630477486,-0.023713500282888114,,
