,UKF266,UKF269,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
DCN,-0.015024669002037905,-0.048503511448761256,-0.004261977465739374,0.0589289241432943,0.05728767732743734,-0.004408325153230359,0.049437353618473685,-0.050282964247529316,-0.003293964578002721
RARRES2,0.015673170916894578,-0.09600792664743818,0.052865442601404196,0.013237589753141682,0.0720564558548589,-0.09431612263599463,-0.03861503555108599,7.320568063659849e-05,0.10301804870315041
SEMA4A,-0.026636487858996426,0.059884377853539034,-0.006071803848696575,0.03752265745565071,0.007326648421070811,0.10273213822354858,-0.030476178602335934,-0.02589758126980674,-0.07839561776312061
GDF11,0.07294640242386739,-0.05520319749854874,-0.049644194329581656,0.06552218849316593,-0.002667286631090345,-0.02532592181381659,-0.035569873166031295,-0.019937297913036885,-0.10476330823229586
GPC3,0.10191278464447848,-0.00746109241884952,-0.023555315795715178,0.0035742387604723322,-0.047549894974607786,-0.007123824860757389,0.03847101438135773,,
OSTN,,0.0689195955327843,,,,-0.02144264347089724,,,
GRN,0.10153365784975817,-0.10433461994379536,0.07170579361559704,0.07396624413363012,0.181498747807043,-0.0453922111906585,-0.019487661906918665,0.0866208233105309,0.022268037348270132
CALM1,-0.09985317427761074,0.0745787787011925,-0.07081633054796209,-0.00019296792812928035,-0.1387557543778246,0.031520141180853785,-0.0351653550905567,0.04927999711866928,-0.1486945297662111
ANGPTL4,-0.014700188595965785,-0.008617893816436071,0.016939675175133295,0.028988599004021513,0.006703401050868877,-0.061259845305597936,0.05282590243373176,-0.061336416533180095,0.15273211407771503
BMP8B,0.08665356632479009,-0.04868575920244123,0.0875214660265995,-0.08337359646909036,-0.009937035702470638,-0.05805700107359884,0.0065223438614909045,-0.04814729768879341,0.05284802887259372
TNFSF4,0.01553241659878681,-0.027554452821553527,-0.03605085808845437,-0.001362864792723696,0.007556891862285956,-0.020642608878676465,0.005878965112773692,,-0.03124821206909272
RBP4,-0.010864600638972504,0.06461681636889877,0.005470031022284231,-0.03190904211930669,-0.05884776044612625,0.042261008389715665,-0.002697565448565333,0.029219890430895446,-0.04439989618612067
DKK3,-0.10102028185060807,0.09496234060335006,-0.08663430718091561,0.027767499364090144,0.08554976813757938,-0.018473769154111464,-0.05501709850963393,0.010423479524030983,-0.014759716171111634
COL11A1,0.11830144230495304,0.01893505467503218,-0.012223292461720126,-0.07571225162333849,-0.054213016250781516,-0.06609375455237555,0.013634689706175828,,-0.0748566515071408
COL5A1,0.10287541845014904,-0.03623891577804375,0.06025660473107782,0.0887814093695138,0.08306889365129602,-0.024425646331207446,-0.005017988465902645,0.12821302980271115,0.030392091036337016
KISS1,,,,-0.03315472749614645,-0.02212391328570793,,-0.01954613722337026,,
MEGF10,0.055601255633847164,-0.03905990748787891,-0.03610716110075833,-0.0387886490103526,0.030476879835269654,0.02282618667835766,0.020856220105213978,-0.040532206779684735,0.05213104012546822
CEACAM1,,0.022861963349681973,,-0.011886273007803552,-0.021606663251816198,-0.03128186734457567,0.032160377468553686,,
EFEMP2,0.08306982889980416,-0.058228292838801876,-0.016064237985836824,-0.012008633115264278,0.045435613021412566,0.028128320982367314,0.004776530829734358,0.04145975137389146,-0.03840782604359665
IGF1,0.007185202100201621,0.05153507572871338,0.00153141715656226,0.03130788999712175,0.041596706892564915,-0.006067000356711404,0.01621668139084597,-0.04356262142820487,-0.04761369433166327
COL6A3,0.059855809539578836,0.024682294182093466,-0.013654509152332307,0.08163808421745301,0.08384624712845025,-0.053571587853809624,0.023228784166963504,-0.08186451375188085,-0.01890950650222435
RLN2,0.023428320886082682,0.03876537985060363,-0.028868049102235022,-0.021649471702365027,,-0.035703439998910895,0.09759454798857697,,
WIF1,-0.06340989634984395,0.11968899987696627,-0.016815605393538557,,,,-0.01817002927730584,0.041800541687293455,-0.07835720281764916
