,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH916bulk,ZH916inf
IGFL3,,,,,-0.013794943158934534,,,,
BMP1,-0.037152746643975394,0.008752784371210673,-0.05586835528850252,-0.042371005034081366,-0.08580719325712366,0.00972202936028454,-0.02045216320923589,-0.04825286319886779,-0.04513431591089449
NDP,0.02062190371834771,-0.029034357971122242,0.14809171944432623,0.03118992839616553,-0.07280506655053041,-0.039099657784736064,0.06149010634200329,0.018137810816073557,0.03866229003030984
TNFSF18,0.03355636958756907,,,0.005475382414129716,-0.020485076455475582,-0.01577693921717344,,-0.004179933958982568,
RTN4,0.10315040615450717,0.03526721345181443,0.20452964400561602,0.13147653090070255,0.16277293671208867,0.09387156347690968,0.013027716081642467,0.20276006668829624,-0.08005507342658683
HEBP1,0.012065197850532818,0.03664972857172497,-0.016528627282093714,-0.011996389899468949,-0.02017925319919188,0.038562327644868194,0.06434821273604632,0.029772944793285877,0.05056064551788849
WNT7B,-0.0028218643557677866,0.09732129668863196,0.03458866925219545,0.06615586533112477,0.2100501794165531,0.04792808814616582,-0.0107495641338108,-0.029896560467292884,0.07246452167991267
PTMA,-0.04577012055559918,0.017643110018463738,-0.1741235490369387,-0.0877202565044008,0.0015283674169742486,0.04948010250132531,0.012268871014660562,-0.1277315652415296,0.021394490516429106
CEACAM1,-0.015340647390788397,-0.030498798258702213,0.04785573567169632,,-0.02695719387269147,-0.024813366784685993,,,
PDAP1,-0.041373459088482674,0.01957622127254284,-0.10796264904623845,0.014416562495121871,-0.1109584501843844,0.01655733837506841,0.010134162006947195,-0.05223820657197682,-0.14489475582092146
QDPR,0.030175412317208904,-0.01792887448118652,0.12483320812810154,0.012371229838334486,-0.007312092748482171,-0.013486869442734242,0.010847424207730041,0.11329942500034194,-0.0730396491298132
POMC,-0.03635904789357928,-0.028401718382213278,0.16194673142878635,-0.02653595208411444,0.028022382031694097,-0.0031683821414071707,0.06585420814921017,-0.06256674652935061,-0.053550506884926186
CCL18,-0.019143678497559068,,,,,,,,
CCL17,,0.06399813430810473,,,,-0.019676914879531156,-0.013304946994294665,,
VEGFD,-0.019143684576573627,0.06998462956744139,-0.024550696595965704,,-0.02311023019870153,-0.0074663803132065,-0.009759339522700966,,
TNFSF13,-0.014446438698717045,-0.012193530548147542,,-0.023636106799563104,,,,-0.029458862584908062,
WNT5A,0.019505241844769025,0.07821779528592113,-0.1109191114040201,-0.08085351747423643,-0.08543568318409607,0.01029607800497753,-0.0020399131653642587,-0.05160483339901164,-0.08321224947167263
CXCL8,0.002467686546580664,-0.056621896501695385,-0.1180616630930548,0.05890110450999908,-0.04595204349309427,-0.0614100007268176,-0.009088321313729227,-0.11343125996256176,-0.067296760242272
GRN,-0.018452735272038254,-0.03937108266419196,-0.121253530284717,-0.07105728810034888,-0.1181044373266286,0.06008233843759798,-0.02800329683408152,-0.0001823198658348899,0.09635317239736813
MIA,-0.038140824526908694,-0.021033382693733924,-0.05932630365504045,0.0015479077033878756,-0.03940652831497403,-0.03867523648015312,-0.011099193409306304,0.03185194341432222,
COL4A4,-0.022991402337660165,-0.019012887728922793,-0.07727678217361922,-0.02248871136675667,-0.013593892551168447,0.08767670219087242,-0.018645762238064127,-0.04637961490631387,
TAC1,0.03709706184045359,0.18693445244949367,0.2922207476829631,0.15917802111859208,0.15056518143963907,0.09052783823307961,-0.0011083964095023732,0.23230531971274007,-0.055742234307209995
RARRES2,-0.03626608729078157,0.004019589664557527,-0.1615603161197135,-0.050149222097042506,-0.1103967136899428,0.033021022974700436,-0.008824931658913062,-0.08034277343657804,-0.0915178256069567
FGF7,,0.009306007698459658,0.09260192126696842,0.013976595785011944,-0.03874052398770151,0.031003983887586604,0.057741542683506966,0.06479902942189594,-0.05758251250269183
HBEGF,-0.014145080924621026,0.03925895301707424,-0.0993981988574295,-0.024187246320783843,-0.06871099556694622,-0.058907746152857994,-0.0250629196452147,-0.1374303195953375,0.0017423438489119337
CSF3,,-0.021070015632504525,-0.011134264960414893,,-0.014382076669195562,,,-0.042940394728690386,
PI3,-0.020139956910499482,-0.03636048574602799,-0.025462998465320765,,-0.016194408152379703,,,-0.046049042752714466,
PCSK1N,0.021750731022356327,0.0019818440162773228,0.06168695666360764,0.0003378091365362095,0.04606858247993925,-0.012540132959822519,-0.04411647083437337,0.22034831241803216,0.03794332158940438
NTS,,,-0.07685370639777103,-0.014219524624481086,-0.017677302266072486,-0.023468341282712545,-0.029315757054443732,,
