,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,0.04819895133488351,,,,,,,-0.018219043330381456,-0.008333873672368321,
BMP1,0.02786032750478989,-0.04369721063238772,0.01785251596743554,0.12667949212307356,-0.015874384224709874,0.0030375886966435965,-0.0107297317933244,0.044215012236693725,0.09439335312696452,0.026513873416982935,0.08100320721563775,-0.020271043338210934,-0.007024223779915283
NDP,0.07476757913416665,0.02647415519412063,0.034871793176438785,0.036753888172609536,0.03220570598923581,0.018724902037353358,0.012482955313560496,-0.0022946425960079825,-0.09309575284350367,-0.009898428451194877,0.060092291675564846,0.10908758207690467,0.021973312723774105
TNFSF18,,,-0.013463318817877467,-0.026500536235973485,-0.017779780984553205,,,,0.010336567868209466,,-0.018788977801622524,0.08470564420123769,0.08703978123410565
IL36G,,,,,,,,-0.015082910850563992,,,,,
RTN4,0.006504927436875784,-0.015311156591622091,-0.003908518737921315,-0.10458053228977443,0.03141413815379291,-0.07573597286795121,0.07825883414209711,0.002366025721546938,-0.0017851888550713016,0.07151811361433313,-0.06540270537355007,-0.060437773025775195,-0.015526851791574254
HEBP1,0.015849380289752066,-0.03903466891282295,-0.025541557170572986,0.0035479710675231724,0.03359584234812048,0.06840978778961485,0.02408756564895059,0.035761360678122474,0.0232369425283587,0.034305588906587296,-0.006826371056243443,0.08050140634055605,0.00029333928162378716
WNT7B,-0.031117380494445283,-0.005633803700917656,0.06622423087460039,-0.07386337943258266,0.00979630263819844,-0.02926966901864018,,-0.016577857200524557,,-0.04146228824500412,-0.03928927257194622,-0.028201563928711586,0.06586235939002835
PTMA,-0.059374426697529105,0.0878423343663877,-0.05055237142172226,-0.09922236465564004,0.013618589622380183,0.03208810023272555,-0.09292944304883766,0.005443083675740376,0.038462838940576866,-0.053176241751607636,-0.08851859438335243,-0.08458125242668205,-0.11470447513847244
FASLG,,,,,,,,,,,,-0.021561498518599127,
CEACAM1,0.04136722399019816,-0.02433946459026534,,0.0480946778387845,0.034337215553408386,,,,-0.04088563802519226,-0.03718404421402894,0.08622946037954893,-0.0006789584841048176,
PDAP1,-0.010323623555111721,0.0011963060121722557,-0.0359487690952603,0.09175761727751523,-0.01635559349402755,0.03711052061743639,0.014309925098629024,-0.0032050286445205207,-0.02653142548293682,0.11979837407824705,0.06740271066247977,0.07028634018993883,-0.010366344276987346
QDPR,-0.01392086238807242,-0.023787887260077377,-0.00941141659890657,-0.12646197533030418,0.08227450301691183,0.021422305483466183,-0.07901929021644716,0.010052762153998075,0.07954450887737542,-0.023817803978249407,-0.1047598384211165,0.014207028895078088,0.020525075937790446
POMC,0.03540569504237923,0.02750454323096894,-0.012162931642306394,0.04290933486757422,0.005982692859610615,0.07751826153773372,-0.058278839740493506,-0.03231529815798421,0.03223295426383003,0.028217276192631445,0.022495588585478964,0.10289327204794826,-0.024482528394280344
CCL18,,,,,,,-0.03606800652966084,,,-0.026364098712079245,,,
CCL17,0.010861586840200497,,,,0.027401827105929866,0.018556017046080415,,-0.013778667265684068,,,-0.003568591006725088,0.06555688059998288,
VEGFD,0.07315179927746746,-0.023286621664300927,,-0.029896568564608778,0.0367637059119289,0.016334625802153915,-0.024759510877914913,-0.014767024479934944,-0.03749560317440939,,-0.02533448380910605,,
TNFSF13,-0.02068257247946094,,-0.013056610646602199,,,,,,,,0.013687992203773204,0.00923904438984905,0.1116639077289865
WNT5A,0.05919924628371187,-0.015505126003070946,-0.05166296462976516,0.07574642068744941,0.05608253715373314,0.028713825390347524,0.1868560737023832,0.011581167756025175,0.09705904355008714,0.024924727581323254,-0.020959540936211093,0.002384719302046557,0.00759792885736116
CXCL8,-0.0607554321095242,-0.01806416982966272,-0.01857218180405017,0.007289343461775073,0.029716682779898685,-0.0033004895121508783,-0.05641864644644981,-0.044398792215455306,0.114171606300127,0.08044378456597581,-0.005327023077229932,-0.08106151454870264,0.030468216116697915
GRN,-0.015788190247389356,0.004720047971348237,-0.028556837697796048,0.1566262916645164,0.06853337866372439,0.04476608119008526,-0.029685042367101844,0.008747975954936704,0.02193718243660307,0.06253092185140276,0.0946442106535202,-0.05518338001284955,-0.052763290238965053
