,UKF334,ZH881T1,ZH916T1
IGFL3,,,0.08873055307364654
BMP1,0.04930256166818151,0.033957832519187,0.05362613770420011
NDP,-0.0033071329971733907,-0.052155702743654754,0.03440956940537808
TNFSF18,,,-0.022285162594062553
IL36G,-0.01471457301738617,,
RTN4,0.04323181450784014,0.014915883963389323,-0.014013385929659217
HEBP1,-0.006816318691704524,-0.017993426037018756,0.0655001858920476
WNT7B,-0.01617301147409475,0.017749653003674745,0.012405606094167092
PTMA,-0.024494045173770056,-0.03263898936834625,-0.058815709391543985
FASLG,,,0.015345273433751179
CEACAM1,,-0.013320730304814959,0.022757759621896714
PDAP1,-0.008959083725598466,0.005770902228393743,0.07433472975479148
QDPR,-0.04562729789197279,-0.0689001717542484,0.012701704219356156
POMC,0.02294959315543701,-0.02179096489252836,0.004730445313504654
CCL18,,0.012312391350982778,
CCL17,0.20950835707076132,,0.0429166256815128
VEGFD,0.008858308558207791,,
TNFSF13,,-0.014958287343190768,0.04496902728757248
WNT5A,0.008965601906401315,-0.024730005101415483,0.021674091126518122
CXCL8,-0.0007382986273527468,0.025883126594064446,-0.04592979461725839
GRN,0.02746112290933144,0.028033813788286288,0.020712727978441623
MIA,0.11912841542319441,-0.027612845789783225,0.011459782619796754
COL4A4,-0.01913905138568445,-0.012914030453743477,-0.03049639364712297
TAC1,0.09204655677585648,-0.022982054618655285,-0.010367287700423722
RARRES2,0.05029451469056344,0.06837578349334482,0.022321363473486736
FGF7,0.03294837975930181,-0.01829501887884258,0.08556990041810643
HBEGF,0.02983264591836731,0.056620916327864645,-0.010792170696321922
CSF3,,-0.01909708648594052,-0.021222919960822238
PI3,,0.08510717715455561,-0.046110354450911745
PCSK1N,-0.010318631483988596,0.009220805246930912,0.06695576167851806
NTS,,-0.04415511172162652,0.06651994373924026
SFRP1,0.07429185614238672,0.02018403318092164,-0.030697937559292492
CXCL13,,0.0717254559455796,
MICA,0.05288200512328821,-0.009948667199417564,0.10128275367999123
TG,0.1298986129526011,-0.01571719563485194,0.08393538861582577
ADA,-0.03500700826868911,0.024045910552241694,0.03622916098939706
LAMC3,0.04199751722941551,0.07411934631259086,0.01308878332713979
CCL7,,,-0.003491176613477846
NGF,,0.012289462478979486,0.036757188109299725
TNFSF15,,-0.011858962851246848,1.8641976142946327e-05
HMGB1,0.02931992553419585,-0.02657026752738409,-0.09475639210014546
ITGB3BP,0.015564646067397443,-0.03527277087170282,0.011990509568676146
AANAT,0.0188011126674756,,0.13936485471289872
RELN,0.05038136160626582,-0.014324341940894755,
IL15,0.06306630839595219,-0.016336648422489462,0.08244347525292414
BSG,-0.02741905953255471,0.02673057854679706,0.05190043936486799
ADAMTS3,0.023971028740063016,0.008323989325605439,0.013874274345822477
CD34,0.025574104965093873,0.08935064691620398,0.017121330761788508
PLAT,0.04256332145180858,0.05958506755119509,0.025749252540018672
NTF3,,-0.006946500685111503,
