,UKF259,UKF275,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.016603063014764174,,-0.015471713905830397,
BMP1,-0.023542034882047504,0.06490166989482689,-0.010689703073084537,0.05192349261789311,0.023761474887894107,0.12542478009805266,0.03641412784478668,0.0021419254787623846,0.040178154372138286
NDP,0.0008314510356496018,0.008021391824715734,-0.07430178217250834,-0.01674472023775721,0.07305883091193577,0.00036139481755634626,0.06760374502177938,0.07196565962002,-0.03524262594076801
TNFSF18,,0.06398059486856529,,,,0.041651760418901784,,0.023455206182263863,0.06345994125296688
RTN4,0.03225673033936701,-0.03917155168695057,0.04617731760653407,-0.04672904085988291,0.018941878743166378,-0.06994604954722379,-0.0321288522435278,-0.005231554235879194,-0.07093105734613477
HEBP1,-0.0015118941025410346,-0.01808913986456439,-0.06825790356847553,-0.02446840539427466,0.04633784136499975,0.029041539559576744,0.058278470168868994,0.02656463373036237,-0.023235162852632912
WNT7B,0.002700970014883471,-0.034006420575804934,0.006262720701628781,0.009009378932938163,0.0516161495400538,-0.03580441939168553,0.010642397505703064,0.11283390187962551,0.009399144308455308
PTMA,0.02027207205706277,-0.07646384007398566,0.0724551358125322,-0.021795070038753063,0.015106988538331957,-0.06367530375380742,0.06362932568954982,-0.0172071426412101,-0.02699862663140056
FASLG,,,,,,,,-0.013418612192275236,
CEACAM1,0.052423808607401486,-0.02236935885893651,-0.002274685212712824,-0.023400506243564673,0.0668037101609125,-0.02460316704421286,-0.014826660991910582,-0.01867002803015552,
PDAP1,-0.011591011882933851,-0.019432596099536806,-0.021213466674452456,-0.02150284963934353,0.0012405327589383275,0.016376560191817432,0.0032005370226933475,-0.014834787911983026,0.001596352506868994
QDPR,-0.051979398227401497,0.020990325891591492,-0.017958694345390016,-0.05390353069034171,0.07047768362676278,-0.06892388712470841,-0.01795887860991018,-0.002068043728095663,-0.05722837411500993
POMC,0.02737987454337424,-0.01650322105636513,0.10977767539009048,0.06654392423171493,0.06744149494045175,0.008035561747940905,0.03680450031322185,0.009582631240022257,0.061952986459529964
CCL18,,,0.028566357941001767,0.0634529843154097,0.01338842027265207,,0.02533255295124577,,
CCL17,-0.0042740289974816355,-0.0019817567747769864,,-0.016601526563469905,0.018853005311949445,-0.0218901795087144,,-0.012162464778889602,
VEGFD,-0.021329080478932734,-0.01889921762936681,-0.018211556995532896,,-0.02637014833133035,-0.00038600224067399455,,,
TNFSF13,-0.013205443520659188,,,-0.03185583588775253,0.030909756373351284,-0.023474386616995958,-0.01664934657350659,-0.019817721197513512,0.13377300959027127
WNT5A,-0.035420774978974674,0.0016616962868266287,-0.049932383847840704,0.052878165078167366,0.034166238930445195,0.050871119174855185,0.02293416595229311,-0.026589282290330522,0.07459165082231065
CXCL8,0.009793748163541753,0.03320660935418542,0.11455887318423776,-0.024358735309847925,-0.020922855356286508,0.003924746526588481,-0.0636661157474443,-0.026638410415992596,0.008732264806860388
GRN,-0.025027072487861284,-0.0400012138078439,0.02205329941186325,0.028096071799354697,-0.01851979727580219,0.08929672517780256,-0.02039311562422855,-0.019522337048698053,0.009668311931730296
MIA,-0.001532930054920111,-0.026275564167526497,0.003270277403361496,0.07072749261379761,0.043665254472897055,0.006327770831986658,-0.07502432201064776,0.07091908302714295,-0.012725292105155274
COL4A4,-0.013360853362269274,-0.018519882078763466,,0.08577174650050513,-0.022071522073474684,-0.03372005203994689,-0.029880846467045006,0.03505323718071611,0.04585929510773105
TAC1,0.04726768579324877,-0.06002394818322604,,,,,-0.011381800320782485,-0.01598879668332323,0.023654029105802603
RARRES2,-0.0003655465849957152,-0.038868344630861,-0.04415075985302962,-0.003699985831049418,-0.02941486932273645,0.058801319341171845,-0.04779190404209792,0.00040106413204900906,-0.013224139889220879
FGF7,-0.015836481955909323,-0.01434254315868416,-0.06847156743493817,0.0019202189545083315,0.03782760151289821,0.039717334366091414,-0.05560282156279856,0.1138754025107128,0.02742934849842803
EFNA2,,,,,-0.02506306121745754,,,,
HBEGF,-0.017273140221244782,0.03666714190472524,0.07016280204332682,0.005032733212174938,0.016548137767000752,-0.01894429190374045,0.04869232985570512,-0.015910382201178516,0.04141121794485531
CSF3,-0.022818567626151157,,,0.03536468592369599,-0.025814432763757056,,-0.02125604383401487,0.019595052701748435,-0.012772517870417876
PI3,0.021163275596429616,,-0.07024394260982283,-0.01345953751603075,-0.050924550932396284,-0.018599277700272764,-0.06764123715906883,-0.027821443600264263,-0.026027592194699342
PCSK1N,-0.022723298360702755,0.019154004365061848,-0.02803258966625126,0.01523336615028338,-0.033458813550141665,-0.0462675928964188,-0.008314725049964179,0.014879882806638382,-0.010293138756754697
NTS,,0.0043103741894599725,,-0.038729633317349764,-0.03053458404116378,,0.05334668948882817,-0.018962753779761494,
SFRP1,-0.016704311051176927,-0.009245785766557314,-0.044572518262474416,0.006334008578375233,-0.02996912646099446,-0.0545448444068318,0.06490732774837389,-0.018522107422954383,-0.037059546882676236
CXCL13,,,,0.10861530533739205,-0.030335396760244725,,-0.012051787123652086,,0.08079440040296773
MICA,0.03242239703003827,0.0018661473907152027,0.19230795797286585,0.026936447114772777,0.04709261829488143,0.04631183582914227,0.05671747121408303,-0.017560833103674803,0.023054060134594677
TG,-0.018026598159105397,0.04422203337946319,-0.05043728086872589,-0.022059278183331064,0.061075657762514265,,-0.0174940507081097,-0.024972580798672615,0.01038625241086489
ADA,0.089492731512577,-0.02703339917242817,-0.006569011478430457,0.03375414725448182,-0.002524997312795415,0.050573511044026916,0.026802291787185666,0.029377882864355446,-0.016284165820273283
LAMC3,-0.0038694849126712587,-0.022291516527120227,-0.03496464967417584,0.021594224877222706,0.04588382507566983,0.02525423712498652,0.04487803610487335,-0.02369149403551291,0.08238660100789555
CCL7,0.07387885032185637,,,-0.02488186165644466,,,,-0.013418607420776907,-0.03075157016574869
NGF,-0.029862393856033627,,,-0.028736558269558322,-0.02472617150896458,,0.0509942691580731,0.018495285570288685,0.07215441754153962
TNFSF15,-0.014513107502387941,,,0.029331806594489945,,,-0.013199638299676601,-0.03545428401152386,-0.032876035105745965
HMGB1,0.008786726457277317,-0.00493272048943112,-0.026317491491195343,-0.016430944016406122,-0.0253500557088482,-0.04178497585185037,0.04124422597275158,0.043229931016578606,-0.03334287728963043
ITGB3BP,0.040312244411545406,0.05798216368113086,0.012547647000381657,0.05514971332701006,0.03354043425645099,0.039900528544388685,0.049361777875260984,0.04449641385348042,-0.07392804831136955
AANAT,-0.01320544493005104,-0.016071669970685074,0.10274446230475824,-0.02182841346138569,0.0035471572259326623,-0.027077449769832514,,-0.014197446236339775,-0.01813791847304022
RELN,-0.022921695104653857,-0.03538462932317759,,,,-0.003142212199222421,0.02993376179596594,,-0.0028330019353524343
IL15,0.015786822971088105,-0.033776599702131975,0.017169165335207473,0.09469299943693885,-0.05464468474377887,0.0408748511809406,0.016781055313452493,0.08226511180748805,-0.035348698676162284
UTS2,,,0.0055289258236718,0.07630179456454521,,,,,
BSG,0.04291761834164523,0.03044959622595099,-4.022214869166852e-05,0.021297409444875105,0.04114810540760186,0.07830704916507163,-0.023536372632796454,0.07629795768753385,0.056558874486612336
ADAMTS3,0.04924234941457389,0.031396954650044676,-0.06515561736298549,0.01980889414864705,0.007699544293871795,0.14291122328982384,0.03403947664551455,0.053043935785837666,0.08459877644177323
CD34,-0.034659675262894075,-0.03373450940503917,0.002330430017612727,0.02478016417821987,0.02327476567683392,0.04437769836261397,0.03219325446660531,0.012712290405243071,0.05050233864685535
PLAT,-0.008465177371234398,0.04408779984853996,-0.11298676887840539,0.031672706766028604,0.06226051843875463,0.023561152268925696,-0.05203096443657923,0.001148403042907311,0.07268629389048088
NTF3,,,,0.036194409656548555,0.06669127135011368,,-0.019255633760781352,,
