,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,,,,,0.014341518026102071,,-0.002740707183258862,
BMP1,0.01451162446304249,0.07684121774863158,0.059666293279644095,-0.004364523015810469,-0.028464364795978952,0.01945841447403848,0.007149581784928746,-0.07471381268179786,0.0035583582407472045,-0.04672147279965874,0.1163277837721654,0.10823700334370821,0.06066404262530549,0.060505939442785955,0.02972953086029894,0.04166758778339653,0.0727921275155735,0.160229456003792,0.08733866283762175
NDP,0.05494697975067917,0.01725548758030781,0.059535798088880446,-0.027045616459944948,0.002828111470813103,0.04851412618937097,-0.0030817877941167375,0.0032770758279389357,-0.0077272592419373775,-0.05021275430903338,0.08829227657555096,0.05152048796640709,-0.005909619668190986,-0.029230590174048037,-0.008993568710627587,-0.03032973652628766,0.018324177787972587,-0.02905760565750315,0.05188078864143933
TNFSF18,-0.0496799062478715,-0.021544822991690443,-0.008567939519544134,0.0016649578208169805,,,0.02556723352947193,-0.013506325325882383,,,,0.12718343433526977,,,,0.1117157713947962,,-0.014118173615577571,0.003678100283955866
RTN4,-0.11107493219779761,0.04835272419229283,-0.02317488293217938,0.004348658347306986,0.012656697201613243,0.0310153851495537,-0.00048194193399217543,-0.028437278999633137,-0.04086461103685047,0.031022569269092394,-0.07538456356923713,-0.03793894594921858,-0.0008013504027326356,-0.050610346184827654,-0.059582406481362114,-0.09099991800907878,-0.021946723919673033,-0.08853094069144919,-0.020195812463872954
HEBP1,-0.045637233386774154,0.07275386262060395,0.0354605278955835,-0.03235893550209339,-0.02280128665682455,-0.0442226560494285,0.0024469569535465166,-0.00844287484469265,-0.000167198461930312,0.004116680259810168,0.00783568471206381,0.03247614151792527,-0.023192880541524828,0.01854437313204209,0.037375733913249366,0.03307083089701421,0.0230804643688149,-0.010875013374903824,-0.022639562692508223
WNT7B,-0.00911571614929354,0.04964116987193045,-0.01620482171722605,-0.004318663158524234,-0.0059153620109914954,0.024808818788046503,-0.05789742937229062,-0.008143620471520428,0.019844193687086488,,0.0704936118780853,-0.007939929961317581,-0.036130921714817923,0.026730440504352814,0.017645055423630655,-0.03403109541423409,0.021326545818476393,0.08266461685139243,-0.003611524623455697
PTMA,-0.05014133967885246,-0.01710874086951335,0.041251151197377066,-0.035124242955054064,0.020733101548228636,0.011349943555661957,0.016187472898943615,-0.00806216954549896,-0.010536911000473765,-0.05901269329463078,0.2139888601453497,0.05601890992268072,-0.06970333615993193,-0.013829978661231195,-0.012264979928517113,0.0005094025501827535,0.030391404336623285,0.1491115668752164,0.15277684116247808
FASLG,-0.043766453759102326,,,,,,,,,,,,,,,,,-0.018791441747521363,
CEACAM1,0.11203800161577475,,-0.013230106459018039,-0.021526325806080725,,-0.015199080243135207,,0.004899739595507766,,,,,0.010585364678042804,0.036514789487024336,0.026215213197245728,0.029202112025643167,-0.02300077710680182,-0.02614553123125703,
PDAP1,0.10150146806834627,-0.015509433031157299,0.02696150242828857,-0.07018589274926496,0.012254226669344757,-0.020360623480025087,-0.013149092624803476,-0.019975219205580385,-0.028332915675092385,-0.054839897377090545,0.14173119512223728,0.08834336791315685,-0.025347028112000184,0.038463674501644,-0.04383478587496201,0.00034452320331601556,-0.031724373524512794,-0.04422239189697039,-0.016692946156084798
QDPR,-0.10592973301240122,0.0007060486544572231,-0.028567122878260798,-0.012778850082017727,-0.03674412985804793,-0.021943412058114113,0.03735568289364332,-0.007674024121233727,-0.04362490036820629,-0.019378817596560956,0.10375304051529584,-0.06015046846652473,-0.08347044309130285,0.0005339153396190047,0.010822126049799291,-0.07380214181733726,-0.04296497588509058,-0.07842403883930996,-0.15675772697383353
POMC,-0.012401112524856305,-0.012163263085478168,0.08981904611706636,0.014146548479012769,,-0.017197430694066772,-0.026591211129059315,-0.015671671853105917,0.0022042380917228644,-0.0593111961793016,0.09421662690655645,0.009237452541879982,-0.026341520105891032,0.10286011652805546,0.022744650000816716,-0.004992198967174904,0.0657102476524062,-0.04843479244254347,0.00754316059120237
CCL18,,-0.008559516553350046,0.010136553538558215,,,,,,,-0.04185616500582655,0.11116137864255467,,-0.02297411037758253,0.0712999608012648,0.014749463422472818,,-0.019609673707855928,,
CCL17,,,,,,,,0.08205870945461484,0.028295452429305767,,,,,-0.01910482362696133,-0.02664991855671942,0.0465702186139522,,-0.017032331296552038,
VEGFD,,-0.014767326896183774,-0.021992756778545817,-0.00912458655264078,,0.16025881457597657,,0.028587988273238683,0.01157949419574937,-0.02783029482297988,0.07283627197207912,,,,-0.018461212034831243,-0.035293880036877126,,,
TNFSF13,,,-0.011156189612887744,,,,0.005236330284147775,,,,,,,0.032640664858289294,0.013477543978968548,0.06508208578325896,-0.02582833112054399,0.0934299386522183,0.10640578428333938
WNT5A,0.05547819565465498,-0.03387246326635321,-0.021766717787169463,-0.014751140911107278,0.08496704173878236,-0.10142487311108193,0.06508538481089753,-0.0027129054836405875,-0.007350837687666486,-0.03557092389850217,0.04471687812322054,0.04438026932785406,-0.040063527931525636,-0.025559469507154674,-0.03889237689019357,-0.0485328690860649,0.029427475506540176,0.08312559775904807,0.05360627426326228
CXCL8,,-0.01844796297675716,-0.03747097249299067,0.04016783033442349,-0.09129867911355549,0.021333407627097976,0.15067199006832427,0.058329665575960435,-0.00140956874975417,-0.0440162449256149,0.057212932801281174,,-0.040449538437952334,-0.08473602960852868,0.032105905606229904,0.050765884697857,0.03723069787849073,-0.004937710482992204,0.040311817521805786
GRN,-0.023270166535841727,0.041780522674903946,0.06089097189373336,-0.002600115471208893,0.12001556653555934,0.02158020101834827,-0.028352334054699772,-0.018759690995889557,0.03787585471411626,0.00782459700677449,0.03274179819367749,0.034622893610143014,0.05325263298277411,0.10990141800532528,0.010282048659020559,0.13438587998861523,0.09691001871141458,0.16103064565030728,0.0644580955160534
MIA,0.03464838520889801,0.04995189553186785,-0.04170935654675824,0.009618809349662954,0.036273180354754936,0.04152806571411108,0.007837993223644455,-0.024217224202023234,0.07397958652770224,,0.029719648131334857,0.0001539982426294145,0.09036281574613027,-0.006593729698416723,0.06021221830754607,0.10404022270048048,0.04321660061237518,0.011591789039541694,0.08795034138483399
COL4A4,-0.029752813459204795,0.0028467180211801187,-0.020715534416150143,0.032216482878492735,-0.02102728263109752,-0.0646375780489521,-0.01578222128798424,-0.002032405142177227,0.019979077499265554,,,,-0.029046453853211154,-0.004685113955401354,0.011596113652152355,-0.029286221140396397,0.022814060188972196,0.08438352656787822,-0.008084843848685106
TAC1,-0.03311911710826942,0.11503325081875285,-0.0024826923193059574,0.027705869320462154,-0.04426637136853916,-0.021894386597572146,-0.0073015893415498126,0.01349685981790808,0.010575812435029735,-0.041916748497121355,,,,,,,0.017794543375170595,-0.022390731409660563,-0.0023386767432252956
