,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0673482497366466,,,,,,,,,,0.01808390809982553,,,-0.03443121738992134,,
BMP1,0.013523831121535997,-0.1344289772999161,-0.09422598100077649,-0.012342475734624055,-0.02402424356723482,-0.027508989271063225,-0.08251261068110559,-0.19437353558177586,-0.5515890079687127,-0.17050040835686273,-0.006821834351023356,-0.21155684606410163,-0.31964380824683053,-0.05207900954841906,-0.008450930790928998,-0.0705350947259585,-0.07554299588946173,-0.05071382990356906,-0.02075810661893599,-0.042059476703938975,-0.12135909132043698,-0.08553072526748216,-0.24221545803628766,-0.08976376021752006
NDP,-0.02373139397802729,-0.13948315581096218,0.06953430759265934,0.014173114766551918,-0.022117959280639227,0.016534968356090803,0.18776544152734656,0.03437023713765649,-0.12614660179273696,0.09635287007204259,0.016799694442856106,-0.17964676624939477,-0.05240272060497584,-0.06176828728151144,0.10359646783826178,0.022472788028810885,0.02741824057341967,0.12303050661256697,-0.019265948855368892,-0.010371085239699786,-0.05785955944444163,0.011632844289127801,0.006932088752979616,0.00653637624880698
TNFSF18,-0.03239719472931906,-0.05259877021418636,-0.013939250122353477,0.0069242559353287604,,,,-0.04755543442008522,-0.09029037232347552,-0.05014253707784301,,,,,-0.014886631574991016,,,,0.026712921983977414,,-0.011693241798126572,0.016902898120680285,-0.18851634095946576,
IL36G,,,,,,,,,,,,,-0.059953165952993284,,,,,,,,,,,
RTN4,-0.018665520980281864,0.30669446739459727,0.08181903376511798,0.15063942160645402,-0.0760746071008779,0.06937091983375124,0.25959018733642897,0.5869610915103377,0.7094257922920152,0.3343461501634407,0.2611457545356225,0.5512914146568745,0.4611100883011224,0.04438648933810648,0.012989921373353338,-0.025368239504385243,0.1807473167802285,0.15250868157396422,0.015666201153451364,0.024404463399505586,0.02865287945282296,0.09618530400176449,0.6440027850273243,0.06302296647072253
HEBP1,-0.01633076205777669,-0.044014578222068515,-0.022789842978565705,0.01322568472142069,0.010873744885563846,-0.018395961072373516,-0.0025875221645483477,-0.202944948511584,-0.2802577521994142,-0.008892373194872518,-0.045512802588973056,-0.24206626632897849,-0.05934350160704843,0.00593719438293459,-0.10216002922164831,0.04121547324680993,0.10911735955926478,0.11102598043265616,-0.03705521107573849,0.030690626786340075,-0.10151065174627467,0.03847338870565383,-0.061197679919987265,-0.06870003580961258
WNT7B,0.011145875038531603,0.2936126413144264,0.09559992830820305,0.00491503042499348,0.009005822219796365,0.05994857094521142,0.10542140636248204,0.1413524951767899,0.42435912077744947,0.04211235678716149,0.11699114772062776,,0.12166547777717888,0.022049971498370798,,-0.012913714173281831,0.06073858042756119,-0.017718198145144772,0.03287223951269948,-0.012375658455321313,0.139640786576492,0.09643917924697305,-0.014627927674844743,0.18075441034236123
PTMA,0.024656557150592933,0.15387954330318512,0.06540006563532223,-0.10489624194785985,-0.011862872005974044,-0.07023380048992757,-0.21678350550067738,-0.5889236339285361,0.08348308477710577,0.1937984460139057,-0.24814466252431783,-0.7132580314789067,-0.46588678900979785,-0.09625309930789867,-0.13848820464283326,-0.08138885726881831,0.03862032032560185,0.04933270043477861,0.004384216981651553,-0.07636667956295169,-0.19370670279025637,-0.02488437724028113,-0.26747322090218356,-0.2721263288864075
FASLG,0.01218768050376189,,,,,,,,,,,,,,,,,,,,,0.0312524653540893,,
