,UKF248,UKF275,UKF304,UKF334,ZH1007inf,ZH1007nec
BMP1,-0.019040299405088456,0.0004330097502950869,-0.0067627949758059976,0.02009166592844888,0.060397255632797506,0.06725253236290808
NDP,-0.01346348471995546,-0.026148462570776153,0.06762209773705484,0.02893533033827965,0.10626958432448474,0.059570722311032435
TNFSF18,-0.02483050185654546,-0.010492886264367403,,,-0.029717806424901936,
IL36G,,,,-0.01631018646863789,,
RTN4,0.00717434362242771,0.014530550848127417,0.04797287434874459,-0.00025535113599556725,-0.012268815001548966,-0.13696728865771862
HEBP1,-0.00922944375062036,-0.004534047060552354,0.10418178715556065,0.029251436112182203,0.1322355906915771,0.04442398799444115
WNT7B,-0.036746419103247,-0.030076881718539405,,-0.017926774537747554,0.1491150819016627,-0.03575039074240966
PTMA,0.009947744487157862,-0.013882841456772491,-0.045953331811220445,0.01297462564589262,-0.002031660172526991,-0.11642680463679063
CEACAM1,-0.015803933934479673,-0.01650281033119098,,,,0.04157027186069217
PDAP1,0.03077901131337896,-0.029320015077629213,-0.008613014471107086,-0.03373821129320773,0.05382659518459371,0.0038250446322338886
QDPR,-0.04043655250962087,0.05498767072173463,-0.018729650561613586,-0.015371265261191664,-0.03914400375777501,-0.048668613013700845
POMC,-0.037457088752052885,-0.012175115463271666,0.033287816262733826,0.0026595633946997752,0.048623832627162744,0.037062320564475545
CCL18,-0.019721816330907405,,0.055408070108090436,,,-0.03582803869230634
CCL17,,-0.013086672073871963,,0.07614478528456695,,
VEGFD,0.016041236418093793,0.02521281226541935,-0.021584125049142578,-0.015968596860444436,,-0.04036429049399126
TNFSF13,0.007467589410223414,,,,,
WNT5A,0.02927495285306941,0.012832713077903112,-0.055636843903687054,0.1005026028315725,0.06823264658555887,0.06625228023600942
CXCL8,0.039168034217203655,0.006444478729251222,0.05690419375782245,0.04984472725235184,,-0.09200704705820655
GRN,0.012716135719420672,-0.0014305873834360903,-0.0007230442134081038,0.058262852620197925,0.08963581563727357,0.0963376363032904
MIA,0.09579169687229139,0.05881273391796218,,-0.02186972520221341,0.00434409843562274,-0.003831489193957153
COL4A4,0.005588195528202263,-0.013662890529370619,,0.04374453597547727,,
TAC1,0.0004458389857243038,-0.024097623539409023,0.02799289085079821,-0.03759643598044612,,
RARRES2,0.023916483505229444,-0.02716585435849956,-0.09525290453452491,0.02170184385439923,-0.008083800683737723,0.0733863756728369
FGF7,,0.014288488858662674,0.1090890090871769,0.026128454861653883,-0.05300251274134259,-0.0704590032253799
HBEGF,0.005257583695689566,0.011288498808126393,-0.018323672619753328,0.011383577035653361,0.10288485830819806,-0.13820004345663
PI3,-0.020748182286487157,,,,,-0.03804430366078605
PCSK1N,-0.030977341376474343,0.04409352870966867,0.04891753904344154,-0.020477786978585166,-0.013293552914834089,-0.03791970430403351
NTS,,0.0019851651937306397,0.09024118017737107,,,
SFRP1,-0.00861217423784989,-0.018597288824173833,0.004151069934865841,-0.04254558043201312,0.014507610649658453,-0.06082461778381834
MICA,-0.012388936806573448,-0.027000145409126198,-0.023903916886916215,0.006837706375858763,0.07299073007305901,-0.12035797436150021
TG,-0.031057076206851067,0.15438925291621333,,0.164534449068766,-0.03808475658232917,0.020623758712013395
ADA,0.025260957186686375,-0.01655667006984158,-0.02438472878654859,0.0008592394877791177,0.0702975607276966,0.1242508526520071
LAMC3,0.0073179684102276585,-0.021586082265441054,-0.024155100830409972,0.02006972708534687,0.0862060153914764,0.05136326240384443
CCL7,-0.012544741241426906,,,,,
NGF,0.011190611109190162,,-0.019432658745168228,,,
TNFSF15,,,,,0.00968274802135209,
HMGB1,0.03076251682265117,-0.023983297645502628,-0.0036667577941214007,0.004928379329510645,-0.004017497961265548,-0.02783483565334608
ITGB3BP,0.029158571634929208,-0.005387923058809744,-0.02437443667307856,0.04486129997962009,0.06439684029405973,0.14067062505972322
AANAT,-0.018200510992181305,-0.011856742202772412,-0.018269557107668557,0.04921266407523874,,0.04005801844171993
RELN,-0.0018346314224191537,0.01619258897789074,-0.021184086888018164,-0.02212698118817311,,
IL15,-0.0055539696628405895,0.012937391088392577,-0.007708266080392776,0.0537785511731717,0.018865007871929847,0.10828868600090316
UTS2,,,,,0.017840307469298676,0.004057007635656808
BSG,-0.05348887781438588,-0.03409649811413935,0.01670317891859192,-0.033018989483419775,0.026123164252159502,-0.03362662607253671
ADAMTS3,0.052237326389793746,-0.013558053111495912,-0.029336615840493182,0.02769403180035601,-0.05755199653579104,-0.041424158021848796
CD34,-0.004899978359111018,0.02466306402572191,-0.03422832575395497,0.04323565728596299,0.052548635680002787,0.12079848729607455
CCL23,,,,,-0.010226751560510823,
PLAT,0.041376785782547734,-0.00582216723835247,0.00815751366999101,-0.0006550096967810696,0.032072083691770975,0.046631354930719154
LTA,,-0.011419278407055663,,-0.018536725313848004,,
CKLF,0.04045765538771996,0.034953728162104715,-0.008052966930670393,0.05754885721204423,0.09084755493077232,0.06520167122188307
CD24,0.021640303328603356,0.03549520390798768,-0.008993612405097495,0.06576362453766184,-0.01206535683314697,0.1002678142015448
HSP90AA1,-0.02864033576596115,0.04873679675645754,0.041569690336317695,-0.049702950403255904,-0.056065517857041294,-0.17285155615097286
BMP4,-0.03462562518787085,0.003200173594199606,0.043333120545400845,-0.01579520452242264,0.025206208177333107,0.14285687886967086
SCGB3A1,-0.012544739986969542,,0.001502096417935585,0.08881690504917913,0.016735587348513825,0.2111029998926049
IGFBP4,0.009079690792926682,0.0665970886411972,0.024055927533077736,0.07221286606116958,-0.004432070140117982,0.012156767770617714
RSPO4,,-0.013281315975380197,,0.00034384200600004754,,
LEFTY2,0.006510449620394251,-0.0327072417310498,-0.019432658745168228,-0.008508337685583373,0.02299158055100515,0.13526658260710617
PF4,-0.01301315401116035,,,,,
ANGPTL2,0.047427975681848804,0.055452471415962906,0.002224821806757003,-0.019641238628767033,0.010135939687548945,0.11903446900211155
LRIG2,-0.03238074604949412,-0.0009943738180335946,-0.05338265852228044,0.004985754899275638,0.05638206441543616,0.0787983820067709
ICOSLG,0.023088218532787114,-0.00475640472553015,0.053332218653313695,0.04556516156774884,0.06747151444186779,0.1426746119036165
WIF1,-0.008360384396308493,-0.010248876961166555,-0.017849491500547033,0.0113544502225364,,
NPPC,0.031075963939834788,-0.019992302506335605,-0.04824578014590836,0.02361381882225615,-0.029267025422670425,-0.05042629793198629
