,MGH258,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.010813197177992022,,,,,,,0.09426533150161273,,0.0496845836128443,,
BMP1,0.0071387124452957805,-0.02391096520790194,0.0423326412207367,0.06441712949692657,0.13813205303230486,0.09576478018236216,0.0051865673722212725,-0.008785463223647361,0.017932879815479776,0.011780636949695169,-0.06703995573410923,0.042935967544176,0.025101981122257103,0.03690935755337943,0.03388616756231449,0.04146199327758527,0.05389844125494336
NDP,0.047115225233975544,0.05584205992569034,-0.0025489784175507855,0.04393615300481341,-0.015402656693897598,-0.03362250886712667,0.040435594886913916,0.05102541996255438,0.01164141381236919,-0.023940288168806355,0.02681166733958203,-0.048911799571359174,-0.007162818945229259,-0.004993563448965269,0.11591542279573762,0.061330450269903275,0.11878133317045632
TNFSF18,0.09383980735848897,-0.019132430239730807,,,0.04614250933410465,-0.022321452137231374,-0.016298662555370227,,,,0.001081745237603695,,0.009461182686161376,,-0.03946480684930106,-0.02763098603795472,
RTN4,0.1101161299333791,-0.0008081922018291013,-0.025221167538305136,0.06899388454045463,-0.11092176265784559,-0.07955569811372525,0.03272971201255504,-0.03458380588329723,-0.04799815388475106,-0.043262045939100484,-0.09379545967618964,0.0014856167213270436,0.028301567051859704,0.002843463220881879,-0.06916310222057061,0.02970253622669569,-0.04021217434816899
HEBP1,0.03156880951678709,0.05624001516767703,0.08204539620177957,-0.0693521511754931,0.05964236209198905,-0.011490675541068647,-0.004615673707812211,0.026535813801831568,0.07702302803168709,-0.02197784591786721,0.026123339785249527,-0.0009246588719819009,0.036996008178409485,-0.008953476460921535,0.07730609484479697,0.023946391469788712,0.022274367941018336
WNT7B,-0.02098697036528248,-0.01862856289940668,-0.011169928358065408,-0.022872739521965134,0.031572793952788135,-0.04219429611913846,0.037815055874846425,-0.011246855396774986,,-0.023541423851793513,,-0.007311350257835711,0.025283815136020286,-0.020069971474067548,0.06707154793984514,0.12293688165315508,-0.04381241605352706
PTMA,0.04200514537011576,0.029608399857255382,0.01793888511603941,-0.018677950362329374,0.13727662583725334,-0.03210336619602922,-0.008709721060156446,-0.028238098858619085,0.10835961572887579,0.030567695211980214,-0.00851254612860564,-0.0771530137421154,0.048342035406761914,-0.12475092658694678,-0.02990126466633094,-0.002712177523177351,0.16883696958228145
FASLG,-0.02098697629824524,,,,,,,,,,,,,,-0.02029131074734473,,
CEACAM1,0.049209509779071695,0.008539058476770592,0.08617582716772014,0.05274981673048676,,-0.015631453128212177,0.028870062582733075,,,,0.09769786661406762,-0.038768672140989,-0.039290006846400057,-0.013320731958991732,0.03247974617155793,,
PDAP1,-0.007150872025803409,-0.048485989774895384,0.01645940654742011,-0.033761806859646776,0.027587759142822743,0.1043575458310225,-0.017253639878456642,0.035149487004411915,-0.02366909290740785,0.02666169275317012,0.018396234395289392,0.06296937150674982,-0.02589740531879205,-0.05389268455487061,-0.02410328509550256,-0.038064728490419156,-0.04717644747813228
QDPR,0.042959457845963805,0.026180017051806455,-0.004054539155259009,0.009828825785486066,-0.01947659148956568,-0.04927352118741296,0.010372108871711605,-0.027504412463345777,0.11814420428379147,0.03201743224594821,-0.09518476043133403,-0.04842079924930191,-0.014065894976573151,-0.042139338474613965,0.02070668957026916,0.03884431252046224,0.034159314996408535
POMC,0.0003871544019275844,-0.02540224706110497,0.008495447341854595,-0.020378013944526395,-0.00010328092368472962,-0.0378644046983407,0.02551398362937213,-0.020377159309749576,-0.02801544125385612,0.03196692112002098,-0.04919558493195668,-0.04319393527339014,-0.001952104932315485,-0.021790967598544254,-0.009897070342332441,0.008269259376932226,0.050437523722992775
CCL18,,,,,,,,,0.0684633193148895,0.054666001431971506,,0.0814116816757325,,0.039261348139709926,,,
CCL17,,,-0.015662419882289596,,,,0.006821106332591393,-0.013920454173200043,,,,,0.023140238631027155,,-0.01839179408017743,,
VEGFD,,-0.020476583773591323,0.03334792966962306,-0.015127754012542682,,0.03621549474174414,0.003699669595920852,-0.010210821482018302,-0.024256560906070347,0.08832935212223172,0.0032533234634479747,,-0.022500477254130895,,,,
TNFSF13,,,0.04142216913617375,,0.10819745400712354,,,,,,,,-0.009666012364387177,-0.014958289200720416,-0.029967893352971516,0.03777636375274194,
