,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0058419723479596584,,,,,,,,,,-0.026812408881319374,,,-0.009932303382932519,,
BMP1,0.07770996501498449,0.09231655361582516,0.04501975084097294,0.0286534059644529,-0.03909550974752965,-0.017406854401455518,0.079008563153271,0.029841182721358526,-0.03514133419543542,0.008857129085690812,-0.055991400048070274,0.10501397611191121,-0.16048677858526258,0.03065320212171718,0.021232821893697653,0.014323878148033833,0.05759215255679252,0.05804635442590987,0.03916909917389805,-0.011985201392677558,0.019915825482628956,0.015732133835011437,-0.07512224355989895
NDP,0.00787517471409948,0.04193013706276882,0.031206675502728865,-0.010588102298312125,-0.01152184754943559,0.0978585787526309,0.0003817723744947346,-0.05830449527108427,0.03074671997247119,0.023553983089082672,-0.07517357344150533,-0.04617894174945208,-0.0452438462823705,0.022764475775573962,0.030835210460777255,0.03023501832485867,0.0469319564609423,-0.04214303202109782,-0.033912728916711016,-0.015296316942969006,0.17258508617183158,0.013609942199358223,-0.06290049269899615
TNFSF18,-0.014250426076004217,-0.036157215753226814,0.041033050871704876,0.013805545643226452,,,-0.035526197041037315,0.05152892432507385,-0.033269121297441036,,,,,0.10477479588384826,,,,-0.004926135743758633,,0.0843766973708282,-0.012827130816571131,0.03763384530419274,
IL36G,,,,,,,,,,,,,0.004983303371070851,,,,,,,,,,
RTN4,-0.08847153286479324,0.021999101007772467,0.05784940472370621,0.08990205098125931,-0.001488713465805392,0.08626613452896678,-0.021736637432942452,-0.016904261820576933,0.024027789238325173,0.040418553478026115,0.2433135010478473,-0.021381755101216728,0.20622457422098214,0.019546685120438424,0.03951895089540499,-0.025567729515916723,-0.04966293021600718,0.00857179536863771,-0.05303309325838015,-0.002681282351115301,-0.02315021453322258,0.08179723838350525,-0.014754721537708952
HEBP1,0.04140022563232093,-0.03741025388059957,0.045470471755573255,-0.05160012012535996,-0.004618778051056348,0.014394110946513506,0.02657793245494901,0.027918601783412687,0.05657174537592116,0.02052943460509828,-0.12175596767624822,0.07991653140085023,0.03336031506430757,0.02085307086828031,-0.013862303532253718,0.008743528607001463,0.07246109935427805,-0.016679802297179094,-0.04250183844703455,0.018938056708695427,0.05269087055351078,0.01682863217150288,-0.009407582832981792
WNT7B,0.008334865612223996,0.14576216141909715,0.06294898945506656,-0.0014025452519897937,-4.521168146077563e-05,0.09376402086646232,0.022493565073508897,0.11015365523328473,-0.03876057239911721,0.01685128843790929,,0.01785048957216634,-0.0020034928896822605,0.05105849431793698,-0.038493842959298974,0.03972992909120015,0.004538519332408372,0.016076671486878795,-0.07941968534188176,-0.043532787495027404,-0.009566188018751172,0.06957564094800525,0.1261362366386205
PTMA,-0.03651693965170849,-0.0676095497263801,0.09547566299347773,-0.07113695112590564,-0.015139702408298022,-0.0597835083922668,0.09852208672492736,-0.053204718648478894,0.011784947739049903,-0.027843342121120038,-0.28759476795424765,0.18581345748368702,-0.197836620569981,0.13254725725677713,-0.05180188797427991,0.01520229052461968,-0.005828929081726175,-0.01116479041398219,0.002194180245667971,0.014857514837122126,-0.14482514858299406,-0.051507121527278765,-0.08768893881546636
FASLG,0.024914853611902106,,,,,,,,,,,,,,,,,,,,0.02489577024471571,,
