,UKF243,UKF296,ZH8811Bbulk,ZH881T1
BMP1,-0.02423017305113357,0.02753924634422877,0.0469465795333259,0.07284871164729428
NDP,0.07577730358512913,-0.020237750419565492,0.00901802905072673,0.021880933123715564
TNFSF18,-0.022852790882951623,,,
RTN4,-0.03277903411888713,-0.0400330582999114,0.0066176318519414815,-0.00685566599099029
HEBP1,0.021339193713591862,-8.53187571567587e-06,-0.02773193322443339,0.0173010719157319
WNT7B,-0.019191906874395117,0.012132709805713904,-0.03085402295715438,-0.02036666766413345
PTMA,-0.007494399831924045,0.06704550375370762,0.05050046793086358,-0.0792052281591503
CEACAM1,,,-0.014947337675226692,-0.013517653535398983
PDAP1,-0.0555578001462926,0.03985073333846937,-0.008915408941475089,0.016093371371604128
QDPR,0.008301396934325135,-0.009915299483221614,0.009503013299152001,0.03862908883251001
POMC,-0.04314988301355919,0.028041893771827288,-0.022534810436229322,0.06169258335283555
CCL18,-0.030647471627093376,,-0.03650040879577349,-0.046551361369070614
CCL17,,-0.02325136323180338,-0.021577420319587187,
VEGFD,-0.03453074273503261,0.01637680660939943,-0.014947337675226692,
TNFSF13,,,-0.005264832639769348,0.08091676591260723
WNT5A,0.04019713201388439,0.04163475961059636,0.031224606692573167,-0.030875270119110617
CXCL8,-0.0257014468903954,-0.015882502961001927,-0.01809908539549209,-0.044933635630678
GRN,-0.018421243899401557,0.0013133691221487874,0.039381609629345664,0.019954627810610637
MIA,-0.012512370311110896,0.041419478062996305,0.008129235136414913,-0.041097661068207204
COL4A4,0.05356980134430616,0.0032628923717915766,0.043619529982516086,-0.027242744007321885
TAC1,-0.04353571665571744,-0.03228810948005782,,0.04295221622617192
RARRES2,-0.003622033459417922,-0.015124765075690839,0.0015860916267192477,-0.02396286564440455
FGF7,0.030070193185539044,-0.016501072712532146,0.06684237390113892,0.022195623812797775
EFNA2,,,-0.014206444138470135,
HBEGF,0.021481410541270528,0.04346087728063065,0.019484032757172247,-0.05601802714612726
CSF3,-0.03476119138075088,,-0.045154680201668296,-0.019379402836433298
PI3,-0.041179814813539516,,0.008030787761671697,-0.024498942365928002
PCSK1N,-0.02962186022505142,-0.019935645792302815,-0.034321621214317984,0.005737067649696532
NTS,,-0.0390790206280586,-0.01730785631924572,0.0299267800646998
SFRP1,-0.05367175096128121,0.02620928148963827,0.012822058962320408,0.01950312022404834
CXCL13,,,0.008428917406880706,-0.03161183879990418
MICA,-0.012387153477386777,0.03183416480900199,-0.005927515325070427,-0.013114696506935076
TG,-0.02771021782615364,-0.016826910598994865,-0.02131651709014717,-0.015949546329544515
ADA,0.05492595972966913,0.045842474150033515,-0.028789656462574087,0.08984088333210903
LAMC3,-0.03303892667202088,-0.021946301931579835,0.06995921038477104,0.033756514137876024
NGF,-0.02002691049340423,,-0.014015485628533726,0.010465671487535293
TNFSF15,-0.024775787706988635,,,-0.012034276458129146
HMGB1,-0.0448748534948649,0.0874973886024956,0.06324223632887749,-0.02476650050896647
ITGB3BP,0.059562803591988955,0.038677101500101604,-0.01483570766913549,0.024952605430190733
AANAT,-0.003142786238610493,-0.019396649381998466,-0.019118026057007513,
RELN,-0.034530724812148,0.029448477489539975,,-0.014536101778864868
IL15,0.03320131984121829,0.009971642625801436,-0.03466080342272286,-0.0030146100028218647
BSG,0.10975924331662985,-0.008608628946513087,-0.026023941387931255,0.011159382721044135
ADAMTS3,-0.029113364932542535,0.009741193902827279,-0.02954992570295552,-0.03348380960647925
CD34,0.001246612608825281,-0.01939125642604953,-0.0037680979711047667,0.010212357568683102
PLAT,-0.017112904367478213,-0.04640444818275646,-0.021755394569055474,-0.020837700612564725
NTF3,,-0.031310819260980595,0.04059829136274594,-0.013491208701514722
CKLF,0.10693328828705823,-0.016988777985031987,0.06939793162592835,-0.003015910461490149
CD24,0.05309997139319876,0.016695016488600507,0.060415851736642295,0.018677982041717844
HSP90AA1,-0.09251967122241338,-0.0014212024246713847,-0.012851248779873595,-0.03066172800752105
BMP4,-0.04334313314834319,-0.007114210532180593,0.020515335494304156,-0.004278590955854859
SCGB3A1,,-0.016361263466319994,0.06211961317944908,-0.02499139485949051
IGFBP4,0.024213810539336078,-0.008361279841940735,0.03826939684570584,-0.030971604931698742
RSPO4,0.13632200066647782,0.03678771022042148,,0.0746745357388614
LEFTY2,-0.02605187062108217,-0.017940322869290214,-0.016334858327845436,0.01105959139399271
PF4,,,-0.013021189610855102,
ANGPTL2,-0.00981778398745617,0.027102081510159182,-0.03936393802454045,0.018884849934230116
LRIG2,0.131781006436482,-0.03354966384520779,0.005016317900398893,0.04824210854053777
ICOSLG,0.10860159484673618,-0.0217578583033726,-0.011463242899034486,0.003475294859395764
WIF1,-0.013099099011558236,-0.030788505818006306,,-0.0156457109297082
NPPC,-0.010384232614055385,-0.022738148943557236,-0.024636963684361916,-0.0019937425224349306
LYZ,0.01825282709615211,0.04185288521691246,-0.03006395897220084,-0.03061752307499051
EREG,,,-0.0022478363375132574,-0.020962846960115328
SPTAN1,0.028350312067865688,-0.0835774366686674,-0.05281352736783296,-0.009946514533929453
PTH2,,,,0.05921893805872572
LIPC,-0.0012531415119389792,,,
