,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.09810158195947627,,,,,,,,,,,,-0.020915620924416106,,,
BMP1,0.06914422003238777,0.0268439292364071,0.038530174061093866,-0.0030412312697421446,0.03836793681655178,0.009571347275754065,0.04677556571703874,0.043404447944244154,0.08401485454025436,0.04744146267443323,-0.010260457273457726,0.01181405557222105,-0.06063187998296186,0.149970942721495,0.023279064390081296,0.11944739130053562,-0.0053036690903014395,-0.010887827888961941,-0.019468312154270466,-0.0806714050981558,0.00840654865465025,0.026527026079290153,0.08108507779854578,0.035373984101569035
NDP,0.046926400762972297,0.0015643965492825214,0.0016384979705057567,-0.03783122936476302,0.026730247672574075,-0.03154460255577036,-0.02391164303908529,-0.015243175477590095,0.04672307802511579,0.00414124398172374,0.0026393111273669994,0.028684502363223056,0.039610058199271776,0.05268132259859978,0.08839974640938265,0.06480910307147876,-0.036688176380285674,0.022748141559518674,0.041116998532987364,0.13189064800945688,0.05667741614146504,-0.053541859672967373,0.015619829499179502,-0.04071664060492961
TNFSF18,0.08995132559486743,-0.0051187910531319755,0.04710648145583323,0.02007002040131669,,,,-0.014453491344983648,0.053351654138272316,0.04904697135720412,,,,,0.056821869313972664,,0.13441111038739922,,,,0.07505609248657057,,-0.03828600322439139,
IL36G,,,,,,,,,,,,,,0.0047634925484480945,,,,,,,,,,
RTN4,-0.057741511497170835,0.05402590206375987,-0.015902912981772824,-0.005693836766642042,-0.04753357396030655,0.03710316587679901,-0.021353763310653147,-0.08373886625442842,-0.009230481558474732,0.046254007896244086,-0.007424099650906787,0.08814627703247423,-0.10933032745043407,-0.12956939888540647,-0.010500183470345441,-0.002009772036648499,0.12106415496758037,0.02668875876206832,0.01615961540178214,-0.1098051482546485,-0.04041586825068052,0.029501602986545392,-0.08283291052420529,-0.0038190890990468292
HEBP1,0.06006508730420192,-0.040706004763666016,-0.012544749491623302,0.020090028834712514,0.030502602473216258,-0.015349111403836978,0.06496478339546154,0.06593169809803899,0.07513354765435049,0.05040205070952987,-0.023977225899396788,-0.0540061166406863,0.01072004290851154,0.008448689642973437,0.043530187646158965,0.1670084580985626,0.07412415825454707,-0.023072751462643145,0.08716024581033847,0.09933925597613279,-0.010656332800223779,0.07781851836074365,0.01263672575970632,0.007917203094217706
WNT7B,0.012932436224388876,-0.03546603952856969,0.06861079139230143,-0.01804073637189214,0.09292130879718563,0.020584816973216374,-0.052722909373301985,0.03339280890417506,-0.05709687932981126,-0.003880581362499032,-0.011246854873331763,,-0.018021251401369533,0.009764371106843165,0.07108274779892244,-0.016169245699718393,,0.018607871422408582,-0.040578319900041085,0.011129883417260114,0.04603589878822166,0.021829234945108578,-0.02279639241401314,-0.013489245734098905
PTMA,0.07972688875435097,0.017992902682117003,0.016660246384315715,-0.007547111457624061,0.04320595398124981,-0.022472705832815375,-0.008771898646551953,0.06541609012403492,-0.09533221194118402,-0.027765221288735896,0.010002233045660391,-0.09251922139315306,0.06041599670585055,0.14328743367213012,-0.03978512171007554,-0.04182189778076269,0.04511606904646156,-0.09141650512860312,-0.044216219301289744,-0.013409497774801365,-0.10468953982685499,-0.021016314719242767,-0.020194228411500478,-0.06764756005344304
FASLG,0.06777732798900549,,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.02463356876952764,,0.012422849318761935,-0.013845180088199996,,0.04564769861033988,-0.051793799379885916,,0.07272334950563346,-0.026114893045149447,,,,,,-0.06055178674667675,-0.03634903611759298,-0.0034031357086945204,0.04602337939625808,0.023843831544021966,0.03300280407321679,-0.01965744514179359,,
