,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.039138299240207286,,,,,,,,,,,0.007763478263775299,,0.029126374741682958,,
BMP1,0.12054572029959988,0.00058229359892445,-0.012782170929989616,0.010830992341401448,-0.027198206171025415,0.15809852714631992,0.1493219456090362,-0.012233243916349498,0.0063113867656132815,0.1426504195616805,0.02737090634689865,0.00889927305958403,0.1185622100825037,0.037238574901842084,-0.023588714162822544,0.011705815663997457,-0.0006997078820684013,0.02836658010084247,-0.06615485723918132,-0.004610065391726769,0.06346329610535936,0.03512349517973962
NDP,-0.0600003230838868,0.023244413719576983,0.07578275482307817,-0.0010030637628983654,-0.021325078815058924,0.024234449174368438,-0.01990314240828714,-0.01615215839220761,0.011496845748298849,0.009857441670765878,0.02089721500936415,0.04178417292086293,0.04757609270212464,-0.018944756302356737,-0.02717846672014653,0.07037987043789688,0.048660975653068386,0.005338970199613721,0.02342446242689052,0.10038803869194522,0.0425592206510919,0.002799113946413393
TNFSF18,-0.031214025797870713,0.014954948445739335,-0.003225495632451971,,,-0.017509958742784052,0.00227365612125243,-0.020950661498419308,,,,,0.20748629663921253,,0.047223284604310335,,,-0.029564072539774878,,0.052919061171722896,0.05119932071336951,
IL36G,,,,,,,,,,,,0.061782940370826794,,,,,,,,,,
RTN4,0.03733199632796154,-0.008783166520950379,-0.0015703549165681904,0.07424808009137888,0.029454701805019454,-0.10330868956472064,-0.14060654605545106,0.009809833930073592,-0.017233183612905496,-0.05117468866782003,-0.02553665943676796,-0.04362168800505996,-0.05549461024832571,-0.08317396137570915,-0.019558814924914403,0.008636179127163138,0.0670662615008885,-0.0607115927153353,0.050097365485577444,0.032832729109685696,-0.07304770056887949,-0.03691083516632413
HEBP1,-0.025707347385462587,0.0790128547559657,-0.030694696250470548,-0.05504716847793233,0.0006871382716648905,0.016148402578816244,0.08714750402047605,0.015393062896744022,0.02005831558674035,0.05070844897289853,0.015312711536244196,0.038557133423046716,0.04498845283481538,-0.021502620480076253,0.04734734772760174,0.06241112041590235,0.05654311066952926,-0.03078193525856364,-0.03573877845201235,0.05247311648006034,-0.06662242947804359,0.02843849718443207
WNT7B,0.008762471997542274,-0.03113373687689643,0.027245988952654496,-0.041014806625575925,0.04506057902648476,-0.01606686578397969,-0.022770109014783997,0.009138660299189208,-0.01426790518270641,,-0.007596790734294104,-0.028873525079787545,-0.026342938717839437,-0.07367760774361107,,0.10164148016800896,-0.035713760507328274,-0.026870808672483357,-0.006502492152377085,0.07995514907479052,0.11729331990262683,-0.005352592308681709
PTMA,-0.0993467668378279,0.025708744312074424,0.042231149143623234,0.045535229339868616,-0.02272363383376279,0.13791348092293937,-0.09835132117212916,-0.0443244046733207,0.016611308238484602,0.06101395457551851,0.1027344257672849,0.027392967762304578,0.08829100950002786,-0.031654778594752166,0.020455211788056444,-0.07641579964706209,-0.021708510641577458,-0.03084294547106604,-0.013017113268901738,-0.05566310878657424,-0.0038968153489990997,0.0011567940471649862
FASLG,,,,,,,,,,,,,,,,,,,,-0.03834419134853058,,
CEACAM1,,-0.03106939156439504,0.01589434735186398,,0.02768325121675422,,-0.016157397156122476,0.002224644692943937,,,,,,1.766386152945682e-05,-0.029689499029322393,-0.0038019055619801616,-0.008400470682543964,0.008136076219721011,-0.020868186501343942,-0.003727536426033996,,
PDAP1,-0.008160191230862193,-0.01925170608870765,0.053925238942468534,-0.02465800396370583,0.004428503803870549,0.09295252711787322,0.08789640300521746,0.016791135453247202,0.025833964016574673,0.017139897329596285,0.05173192063460152,0.04020280543818781,-0.007867224865545037,-0.013595146195958266,0.047786177662748786,-0.0779966289977049,0.015387610526516953,0.007504959753643094,0.0212192827516122,-0.016580009018459452,-0.05543224966068416,0.06049590164006832
QDPR,-0.010776469652163844,0.03918182302087871,0.03090103688624117,-0.03032561902134698,-0.015087530508249365,-0.07496546801494182,-0.12458075959417705,0.0044500068548273,0.0018537076076498439,0.06376647034498235,0.08333841679231041,0.03603475701126929,-0.052715648129271334,-0.1360767163788268,0.12963291057995524,0.08442511850315393,0.09249685536625503,-0.05411377002133979,-0.016136457138378968,0.06282102382225553,-0.08334505688896697,0.11000662367096625
POMC,0.05616761597488359,0.008537495703146034,-0.0091337432089446,,-0.0004548433671663672,0.056829091114629,-0.057445659371212564,-0.024309490863480103,0.08433632839714102,0.04567754369732146,-0.026917820036781556,0.02392493734006276,0.09496215214253416,0.10933124435395834,0.03750487619541486,-0.017816444191649093,0.01658581036995694,0.029417750670253887,0.013299262237954539,0.03914050231540638,-0.0036983708812925275,0.03900779405406039
CCL18,0.028146674245351354,0.015037871136381073,,,,,,,,0.0057656248469133385,0.1027078624464705,,,-0.019928609933680043,,-0.018764324548033944,0.044562012961531366,,0.029456585872543056,,,
CCL17,,,,,-0.022419330319176655,,,-0.026129553857032868,0.01452036675342244,,,0.06142442545358383,,,,-0.022090109829264334,0.024116231127833603,-0.03779616892857341,,-0.03475470265248283,,
VEGFD,0.052744267283893136,-0.0003345940615594503,-0.011805080916050158,,0.009537402523571447,,0.05552434057948052,0.014106980505036034,-0.012953579254229085,0.032559600653571386,0.02476210464765441,0.04111889502853818,,-0.032196938097026756,0.02926914649091969,,-0.0330817871734504,-0.03986329245785177,,,,
TNFSF13,,0.05801162350104089,,,0.041994391093083415,0.025607222040609036,,,,,,,,,,-0.042387602776957675,0.02960005586910437,-0.014786474668834888,0.09001922027691227,0.006133544561965419,-0.011322207271122525,
WNT5A,-0.006994444861520479,-0.010588629616935205,0.01697956841662268,0.03323237154902949,0.042935468851789144,0.09722305446163974,0.12223711014236015,-0.016287088266430542,-0.03479370123551524,0.07232296074289331,0.06514031182122942,0.05863357803700792,0.07270418404429384,0.060935483663850085,-0.055957289514306396,-0.002195176316636926,0.020444378507027378,-0.012740979274445926,-0.00471251101079181,0.015891343366532418,0.03348017320670428,0.04748153378178336
CXCL8,-0.05946851861955118,0.0002643963944161056,-0.040619986979551444,-0.10424781684897996,0.04156323783173521,0.005887808619938189,0.10153122077778129,0.03161457486486158,-0.012062936241889179,0.08139268594899131,0.0018765203557025575,0.012680528590349615,,-0.01169556111294995,0.007934068395402801,-0.04585251899517216,-0.1122570024046266,0.01727987374953587,-0.033022282121123056,-0.055796875305762376,0.02421363913583366,-0.02321588344010625
GRN,0.02105936072625996,-0.01539931757198498,-0.020515270841131625,0.03615190644098013,-0.04238397140158973,-0.017336067460980945,0.14910521054700554,-0.0667779684672785,0.0020927435643855238,0.08994512534863522,-0.03565281143229294,0.034834154523519394,0.06652482476664767,0.006887036546489339,0.04439477961000294,-0.037253231149472446,0.019371472273293517,0.0899749692314465,-0.03893063991412821,-0.050563734450585054,-0.003290563879061663,0.03147408071469123
MIA,0.07183469032921629,0.04342751163365839,-0.013386418021103023,0.039584640997738445,-0.007907523044019834,0.17883190207320704,0.04289225851246974,0.016076554243313668,-0.014731968403295779,,-0.024664523802723038,0.04203125219418905,0.08737255988807763,-0.08666124276358628,-0.0025076978273350266,0.11486093114210615,0.10649963811178101,0.08949758823069068,-0.03902045526936963,0.05761850381902252,0.06558953211291858,
COL4A4,0.07643347092508633,-0.02377344046512043,-0.044463219093140945,-0.04159230514648955,0.010739680322110012,0.12144468697646332,0.0395762243342901,-0.02728006264042547,-0.024748535322954988,,,0.006169950041781689,,,0.03018567815597641,0.028280566001947963,0.03733339178369624,-0.039454039997230815,0.05134850866757375,-0.07989466186110035,0.04618466226231826,
TAC1,-0.008114193814215404,0.035796653567743926,0.0402548518518728,0.06408028441890185,-0.00428365346309589,-0.08587142550178917,-0.10413899566489702,-0.01735025388320314,-0.03979727483591393,-0.020812572637691013,,-0.030563702805556984,,,,,,,-0.014643616081270247,0.0014033768558789313,-0.029505108294776275,0.08534646919427442
RARRES2,-0.006230488336262954,0.03902005000528802,0.04211775912936406,-0.0744056151292628,-0.041418465376218905,-0.009830361499707032,0.13158114427363746,-0.005549346878405092,0.003326509404531967,0.046832229165184695,-0.015328594911378914,0.03697304350614402,-0.0028094282109539853,0.0015693032039339624,0.029651198882680318,-0.05795617313499612,0.0035550112226672434,0.014402514292062666,-0.025421670357587748,0.017186242549039638,-0.0007694916731595761,0.03838150065070403
FGF7,-0.045054316462572096,,-0.021070231221863852,0.03704204518768332,0.004817456051882307,0.019287940666396275,0.13741437248515065,0.006245160345247877,-0.005607312096921543,-0.022249328877979167,0.018835817686867814,-0.023519490334427032,0.062117771537232955,-0.07300557786246839,0.06511828990954921,0.02202230595800309,-0.032100261597596866,-0.05054328243620033,0.03326188303367121,0.11707149811303683,0.05131420130249084,-0.047621561386845465
EFNA2,,,,,,,,,,,,,,,,,-0.03144202477336843,,,,,
