,UKF243,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,0.09949402694021954,,,,,,,,,-0.03302634829925313,,0.05685053714231559,
BMP1,0.034518768278882374,0.012979433581167989,0.013684086827638718,-0.004277123566380463,-0.005338810848093696,0.041462143650494256,0.016885558960093694,-0.020192736219872515,0.04215008596461327,-0.028089575085109272,0.007084327819786549,-0.0365466040519327,0.012502390190651833,0.05426542010984835,0.023600765210404627,-0.07369721571745384,0.06241081033471549,-0.02041424424994297
NDP,0.12696552245838946,-0.011363865273810595,-0.03284552668397986,0.047176163466597844,-0.010419771662806814,0.002086042869575151,-0.010193840897616714,0.013643881328986205,0.014746259992310448,-0.015262861038647038,-0.050003775054131505,-0.025615630226981753,-0.007541910714828225,0.024368966312351196,-0.03313634295299096,0.011759006096710186,0.10818434229737213,0.026514879896671947
TNFSF18,0.0053263249842891635,0.015000899500505697,0.032290201385257296,,-0.018805373748036463,-0.019931246726766303,-0.013506325325882383,,,,-0.04841723260782183,,,,0.029355946503437452,,0.011404997137014638,-0.021428647665240105
IL36G,,,,,,,,,-0.01970448750625675,,,,,,,,,
RTN4,-0.03710940594956554,0.04437426681255989,0.014696336845476884,-0.03713801921266971,0.03509383464175059,-0.07124654465478467,-0.012370291624717136,-0.06347498917903106,0.0020276349236173345,-0.12353889532490597,0.060911981002275045,-0.025854616292213032,0.02952070032255233,-0.017021441193495523,-0.03464688006643667,-0.011669517219710159,-0.02854281307932934,0.028026839423204573
HEBP1,-0.01956692038912325,0.10069921438426206,0.011902561606187929,-0.008259702762537234,-0.012637402112894802,-0.019341941573871764,-0.025973284874249526,0.003849813787426877,0.03609706557930546,-0.04778110805926987,0.020888876009516853,-0.03026923096700335,-0.041049847419229055,0.04730104490385483,0.020305319891288257,0.0176274424127152,0.09344998657703428,-0.009282819584675271
WNT7B,-0.015267956149362424,-0.045787897917054086,-0.014532457918760835,-0.016395448417679523,0.03568583550070759,0.050941577924164094,0.019356525313306585,-0.028018807501205334,-0.02165750254209253,0.01751762305506397,,-0.03405270526382531,-0.004004975882801392,-0.021497805572945693,0.007535781123284901,0.036394248207749835,0.06194821590700531,0.046089045472542466
PTMA,-0.10181803024079113,-0.030727542349615274,-0.046771759882153006,-0.020033021433516693,-0.01952325434683092,0.007391120139923093,0.03276065132390392,0.053761805509354096,0.057155677378097486,0.08800125938482288,0.013625994487057825,-0.012638746012294425,0.00833043312532074,-0.07422713341934026,0.03769997210004135,0.018081263041600126,-0.07688159640973438,0.016289113005170403
FASLG,,,,,,,,,,,,,,,,,0.09097146867056978,
