,MGH258,UKF248,UKF259,UKF269,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.017700307363910345,,,,0.03001242396768919,,-0.02148681807498785,
BMP1,-0.003482579015108423,0.05172389958416433,0.0044105593622720315,0.037557986565625937,-0.047558120720422925,-0.010744774948250118,-0.10464680166800161,-0.012117975365825892,-0.022544667032160157,0.0005847639790102283,0.013570789214220964
NDP,0.007550675749315893,-0.04736807119511926,-0.00454871951316978,-0.01867208509368656,-0.029994267307955423,0.04156114084303267,-0.0005476572421406509,-0.020967264458301008,0.0027514537464736833,0.10905878562784486,-0.010336642414840032
TNFSF18,0.18097885777140474,-0.019731172178904684,,0.002926155430977504,0.05234633345552288,,,0.002291438947672367,,0.009427551927872087,0.1040840199023462
RTN4,-0.02133366979283678,-0.005977425452779879,-0.004035604998447895,-0.03894602502357402,0.04647645353865016,-0.005548223119722984,0.04681685932785754,-0.049276003921247286,0.006726997065967569,-0.058034584970137505,-0.04933029050931319
HEBP1,-0.042465244415743654,0.05254072182245845,-0.04646334665879925,-0.018050759063890955,-0.007335554340284111,0.025198133944756118,-0.006949098273421462,0.06105578319895212,-0.03929880622956156,0.05681870464312201,0.01120861014156149
WNT7B,-0.01648513807242059,-0.030018297835932056,-0.024950399184458325,0.02265322463121226,,-0.039322368995730564,-0.026505921322161334,-0.04468149783642468,-0.021792634549372168,0.049701494055485254,-0.009250002248853001
PTMA,0.007215510232578862,0.06022562128327264,-0.019585547553919565,-0.09484348236298382,-0.01067811045442844,-0.004336070056519167,0.12734958674062488,-0.02918621013941656,0.010978187354679902,-0.04961885998682124,-0.00018481472967641106
FASLG,0.011274822547368111,,,,,,,,,-0.018635509986103048,
CEACAM1,-0.022889764957204062,0.03222841134143424,-0.006824536759594036,-0.03458880632691297,0.024880638396081397,-0.02203426280095631,0.027157358991327613,0.05289104647105275,-0.014464088495967144,-0.025928575087450494,
PDAP1,-0.03542868330918878,0.02230639149854723,0.012711230746274404,0.012125400131284115,0.15419944396290358,-0.017830270417821117,-0.028360811651315338,0.04382354660104352,0.05260359840835783,-0.03958636062142618,-0.007677239531060946
QDPR,0.08648084767474871,-0.04004150870228119,0.04527297847976154,-0.08906557028537634,0.10294623796975873,0.03201129541915245,0.02773436675845388,-0.07404641574718132,-0.023115919208470937,0.005448945832091279,-0.023354362392338936
POMC,0.06360095567079144,0.07880962317075937,-0.015431831399314793,0.020251730859325447,0.14324252868873097,-0.02045552473733408,-0.00403760990901849,-0.012187653572097387,-0.023661348695282487,0.004540322572346022,0.0268924065681835
CCL18,,-0.005624496776422883,,,,0.014227143136146187,-0.044152659407687596,,0.03837062587795749,,
CCL17,,,-0.01669895569328328,,,-0.015632242968980706,-0.026101090965796724,-0.0273174659713851,,-0.01689099666902236,
VEGFD,,-0.02984765143196861,-0.018604480703326952,-0.029652762831632717,-0.045721924353633404,,0.07085738499547026,-0.028811495082547784,,,
TNFSF13,,0.038795332084201904,-0.011518565903562625,,,0.04219794094731504,-0.028370993511911705,-0.029294449474644164,-0.01624220196109,-0.0275224692379644,0.013988693211484316
WNT5A,0.0199636994697026,-0.018041965750803603,-0.026775146033821542,-0.009018805962173268,0.019923211795626478,-0.0017754476092684125,0.03972547492023148,0.008069312558257045,0.015104310541928503,-0.0154991622511736,0.024945126620438355
CXCL8,,-0.01274356567597976,-0.04520833726061754,-0.00875454015497833,0.030009439027016215,-0.08144600088601374,-0.025461703440984317,-0.03878484689199764,-0.0012751374392697577,-0.029998827621351497,-0.019444243820624634
GRN,0.025702626389197937,0.03179615873196492,-0.03918735902704883,0.015542745710106347,0.031149554683533778,0.029745702503566295,-0.07617795751240794,0.02654333391214317,0.02340641042898377,-0.057806688404506715,0.0020758581052503122
MIA,0.06307234248683728,0.009921333607766184,0.013054544112795635,0.041309195127169546,-0.02989766863476298,0.09091967178439751,0.08147710785393021,0.02571232198957326,0.025483155220064557,0.04398007383152615,0.06887366611029538
COL4A4,-0.01909180398844012,0.02198958998371797,-0.040246738376858354,-0.01744233909886129,-0.03580116722705434,-0.03095736535158943,5.4015057715518525e-05,-0.03033621683755099,-0.029150137571065653,-0.04041077598386374,0.006091640266722292
TAC1,-0.016485133763839033,0.015351687538204813,-0.04252452631437941,0.045867510926684465,,,,,-0.02495467322112398,0.10712761006143474,-0.03462491026719045
RARRES2,-0.0010266398256213354,-3.575900357633711e-05,-0.03425957321188096,0.008599374693415,-0.03152841785681396,-0.010584137174122727,0.06305243980721666,0.023422488159065707,0.008545224609754416,0.05030874192986931,0.0335375602896218
FGF7,0.054105350919361195,,0.0011655675294262465,-0.04970801069065228,-0.08081014450522024,0.020031845286565556,0.018302379810262736,0.059429756954908854,-0.011705369959446743,0.030603527650404208,-0.021331268091846968
EFNA2,,,,,,,0.006660793731546554,,,,
HBEGF,0.05219673225926553,-0.010884740145785077,0.010350359894481296,0.05557212233379064,0.037254226108794024,0.020955567115330063,0.023854713378227605,-0.03169246755913005,0.0034549445675191547,-0.046238481951031765,0.10106170825905976
CSF3,,,-0.019903699153726143,-0.018453659043256774,,-0.04486228732822519,-0.044612168987786215,,-0.02073624663416072,-0.017783613748691557,0.0028785290402097846
PI3,,-0.03140097776449299,-0.025101190181750707,-0.0023728188568640507,,-0.06629943030953385,-0.035447551064122625,-0.02321064272073585,0.03780621300662833,-0.03863788464942717,-0.020473706788351267
PCSK1N,-0.01681470824209955,0.025529886246493112,0.02672158609423787,0.06410974546290965,-0.04003210688501967,-0.02138941392770383,0.04689014097892674,0.011196752544782944,-0.04402815260158314,0.05884956517499129,-0.020934061792459407
NTS,,,,-0.005743249459407172,,-0.036468395590110114,0.060589820447118185,,-0.04794507725001147,-0.010258682331220962,
SFRP1,-0.0049638146424759505,-0.018659760492136104,0.024510668611644325,-0.013857468916423999,-0.054927924700039,0.053757741956634866,-0.004284042972077717,-0.06977172834196076,0.005101012244306988,-0.025723145799149416,0.055550785337041435
CXCL13,,,,,,-0.035113222767209316,-0.005963904974820366,,-0.03382513338758732,,-0.024848594326691616
MICA,0.03713782369637374,0.04542061058566843,-0.02669130028020234,0.03916672115030467,0.07284023750935806,-0.01095665310411886,-0.011556850573757367,-0.036253220588028795,-0.03126904207454989,0.046065615508313035,0.07924785000467083
TG,-0.01909179968602858,0.013406883144346352,-0.015723861041687392,-0.022271915453698155,0.03757679590451839,-0.0002709368722076073,0.02121533760852649,,-0.01706624962512406,0.0014027207594301191,0.043937012289961865
ADA,0.05764870684288271,0.0022463687914429814,-0.003276495093816298,0.02882057689362679,0.03195733977423835,-0.004547792955281192,0.0036549566906924624,-0.031153158689352332,0.004124168639707507,0.0013344549034783786,-0.008297474966187737
LAMC3,-0.004192516948856342,0.05382310359200615,0.013183253100592405,0.054768753343965464,0.0455121702082658,0.056155818204299074,-0.03365300763987628,-0.02153134319197854,-0.007644756618935523,-0.03023120677546647,-0.011327926908268
CCL7,,0.016360110315557147,-0.011368326410666397,,,-0.023429128968776643,,,,-0.018635503359538137,-0.04243782055622432
NGF,,0.0464514449264691,-0.026047739413730547,,-0.01945326454442758,0.005608740709869336,-0.016953809116287084,,-0.035599604002364546,-0.0397541141750146,0.023078357385157032
TNFSF15,,,-0.012659187475999282,,0.020204288049750087,0.03314371751930911,,,-0.012876853162384027,0.0043464802774849974,0.0561800581294505
HMGB1,0.03326244823632684,0.005682390885412061,0.0009880672144897036,-0.010794764947815519,-0.0742149349439049,0.02286398535809032,-0.009960093162370424,-0.11281449136732252,0.02734054787428009,0.07616438105654628,0.012707396197165087
ITGB3BP,-0.021431610796722386,0.003601203689611229,-0.04111845645863363,0.010556314246826912,0.012041416097762986,0.0394990800820067,-0.028965825748075515,0.042957250512718474,0.05732279948062255,0.03709647271541921,-0.015376356993879582
AANAT,,0.0722558372031939,-0.01151856713291724,0.028415344828073803,,0.15089527845034326,0.13489261876737424,-0.03379082900552836,,-0.019717139695473226,0.08922833404223361
RELN,0.10411913309138086,-0.047465429479825925,0.053963414379121104,0.002246340199522458,-0.053940292116022734,,,-0.030379177321578764,0.07918596921686294,,-0.03288016998623822
IL15,-0.00013419495423114825,-0.025300956417156004,-0.03998060379908076,-0.04341876825771538,-0.01664484500740791,-0.037655691325078504,-0.021816807824739853,0.09535952805528151,0.09262760207079844,0.031317593228204495,-0.006590059562684876
UTS2,,,,-0.0076120065524955,,-0.017503198666492404,,,,,
BSG,0.010818812991025186,0.09662798875737845,0.005825650727852275,0.04074273662063576,-0.05263788826819211,-0.0002968225022221011,0.02752859651337639,0.006067619900064045,0.0020244486699334367,0.02864719175325652,0.024860531713972248
ADAMTS3,0.019254333836330035,0.02553615373571195,0.09602602846322814,0.023144927745097594,,0.05357111397980816,-0.0168361210892332,-0.05235666573159538,0.02947674205927007,0.04580493910645813,-0.055030380458777686
CD34,0.0036624897460487897,0.030595977232230967,0.03397275782868314,0.06186650585579696,0.024677919113246776,0.0639866061164411,-0.022142638393606424,-0.0707525927730195,-0.014428779842893565,-0.00722297806784199,0.04763835698318732
CCL23,,,,-0.018940164096627035,,,,,,,
PLAT,-4.2757825018618205e-05,0.05077535938258659,-0.011768959939585322,0.02640236878540851,-0.01419486484623961,0.11748007638098411,0.050396340913704984,-0.046767678928514904,0.025827260413127644,-0.00015737317095182164,0.020588484864287823
NTF3,,,,,,0.04265379622063801,0.08773247828079951,,0.002427205632374592,,
LTA,,,-0.014570483635354466,,,,,,,0.021140142365487134,
CKLF,-0.009158914375796136,-0.05189489714700378,0.018462290694150462,0.0009644778287353142,0.0296109164826819,0.05649194312665762,0.010639800497867655,0.03255353206890338,0.023066555420661404,0.0597659931384823,0.019332635649320362
CD24,0.032259710692537316,0.0449243887370872,0.01536971222858368,-0.036120960496789305,0.006575336053625594,0.03739987660790918,0.03298013471056052,0.07278927569534345,-0.013225162043538484,0.025245169914453056,0.009859745856501066
HSP90AA1,0.05807823694659128,0.019160824116325678,0.012917130336223685,-0.03686642612543638,-0.025757076590932036,-0.09731997959028693,0.005894981351542102,-0.05293121065690391,-0.058175281442973466,-0.03816662207143179,-0.06927170897009471
BMP4,-0.019648233536297136,0.03326873343515496,-0.01486045054299631,-0.011975126523005735,0.010214191059288186,-0.023763870703620262,-0.024797621099865136,-0.0026257354935365165,0.01660007160285817,0.10423156516668858,-0.013582097320945985
SCGB3A1,,-0.01898561984626125,,,0.12412923742472089,0.001388372669788899,-0.03289612669908988,,0.07090519853295812,-0.027955824079977456,-0.010148225713144634
IGFBP4,0.0018091891846589714,-0.003765722162493923,-0.010534989906349511,0.06593926221916457,-0.043099460504780966,0.04196375548907788,-0.08774032404875763,0.01315944364872824,0.010856849855473118,-0.06633476630309898,-0.019791594265697012
RSPO4,,,-0.022302677958503547,,-0.044856911180447816,,,,-0.01800903376036922,0.02528805061166033,0.01782366140216658
LEFTY2,0.029846585922798246,0.01962643360366347,0.0040974587764396435,0.05671123612584389,,0.023170304482050142,-0.019759434483531107,0.03976216229575569,-0.02449109613200357,-0.008660698854278984,-0.005994051004334972
PF4,,-0.019694532952725118,-0.009918640823921354,,,,-0.015751060575452447,,,-0.026536292445143623,-0.018476729546218523
ANGPTL2,-0.005757908267159784,-0.03888956453691414,0.02885112640989255,0.02066239486574122,-0.03367902995738739,0.08520917100666839,-0.005298361939235517,-0.01085215623090288,0.041740613703712924,-0.007438142335968126,0.048159113710301786
LRIG2,0.039125059853246755,0.03270388309710851,-0.018258144842040587,-0.03254394972821653,0.000269247642363138,0.029797874299049475,-0.008835889833569425,-0.005346678207913235,-0.03454028863435952,-0.0010300230124202872,0.008804229006409696
