,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01602037487661231,,,,,,,-0.016603069796319224,0.0007318744289678302,
BMP1,0.07167052441089027,0.03518292085459584,0.0193978245313037,0.07979472361585331,0.06511543033415189,-0.01313254300460453,0.04957020925201659,0.05005844733540087,0.15371441488979992,0.032034156633373986,-0.030119691251945507,-0.006703978304319091,0.07186472533008999,0.04255016425346828
NDP,0.005318584889899742,-0.03039844261379955,-0.004175741901421746,-0.03639456690612031,-0.004009889592773683,0.005473866926529615,0.06096685939486409,0.043151332263673924,0.04898510760974912,0.09438165805399998,-0.11627795992761254,-0.02388480262824634,0.04213151939186679,-0.046973224962508074
TNFSF18,0.02842656233352846,0.13045845447421778,,0.01338637088523622,-0.006840046047827979,-0.014682540700296827,,,,-0.06254492853568058,,-0.01712245281955207,0.014018484838488283,-0.024659570985751694
RTN4,0.022323328775463256,-0.03181934946151954,-0.02581460521744973,-0.07623121528611357,-0.10366316619982135,0.01386518344349571,-0.07460739813386505,-0.014065582013657877,-0.020603406360519837,0.03237632190234153,0.032089425132767066,0.009638193463418137,-0.015652627341814197,-0.042716563132865676
HEBP1,0.0425230219169636,0.014460663993640127,0.0025749182610279257,0.011098810578571665,0.11435607759829733,-0.024760138051555716,0.029260273876775197,0.02101666339748262,-0.03258843133355753,0.06051786612705714,-0.038528295859517676,-0.06320172955725278,0.09170141795504717,-0.005952019905979428
WNT7B,-0.010767266914272915,-0.024526049062690514,0.04819030367332494,0.016583150137086805,-0.0007188396879867945,-0.028645978783569517,-0.030243286377438176,0.07682107340114584,-0.0025676176331598647,,0.008909582694736188,-0.02058641427377133,0.018345324133044374,0.13913135069326266
PTMA,0.017436707515816597,-0.09043925374372046,0.038800964864476845,0.04508624814327432,-0.10688226321384928,0.02078686438513832,0.02262119323740968,0.048763694334248445,-0.09589076550850181,-0.12691204080483368,-0.07240537447638327,-0.02386218053011139,0.031116080636459775,-0.047551737754595994
FASLG,,,,,,,,,,,,,-0.024791101204100555,
CEACAM1,0.003038419103865548,0.08706676204500621,-0.02881055728396786,,0.0580606927461843,-0.023092138640616298,,,-0.03148106375949672,-0.04397969953386249,-0.030539006975380624,-0.02460317709342677,0.03990952845204269,
PDAP1,0.03804310560488594,-0.010851237654760301,-0.011587444171730008,0.026559771070163826,0.10759893265947279,0.016379295866438118,-0.0016718022368976868,0.06268556771232525,-0.03770426960145825,0.052730228961315025,0.0737446194468548,0.0240816163354417,-0.01623284257140132,-0.007884309116128993
QDPR,-0.04503756271446993,0.00952685049835292,-0.034400432945560055,0.038909355291243,-0.1265864053814727,0.06993077378977906,-0.07571045150503007,-0.0064110210131463445,-0.012224546675921492,-0.011884291178003445,0.022759607784572134,-0.12626608493236866,-0.00010956585712718718,-0.012061777034804638
POMC,0.08580683711818546,-0.03344416641731873,0.06489117644947072,-0.026439883612668066,0.07418793690818216,0.015129406720474203,-0.007807625951369493,-0.009272415653427506,-0.00986830699366374,0.03895603366550469,-0.07272684213313124,0.042484847193692464,0.09014242045639867,-0.014643738543143764
CCL18,-0.005061061300069993,,,,,,,0.05593532626714691,-0.045478259005815036,,-0.021652658054984977,,,
CCL17,,,-0.016698955342902066,,,-0.018311986856139537,-0.014154860229371244,,,,,-0.021890188449803,0.014062656542778449,
