,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.012238776324475894,,,,,,,,
BMP1,-0.0670171310636885,-0.014227860269454502,0.021322325081280694,-0.06892010927958174,0.05427979025051272,-0.004726493291853293,-0.013614840732785512,-0.023872948713283437,-0.0007851936667146037,-0.18617471574310546,0.02426102176866277,0.0023016823278945377,-0.006640506877181673,-0.053866993758610246
NDP,-0.03513207207276953,0.03414791587436985,-0.0460815762314926,0.11217180575722546,0.06384493859381327,-0.024930717158618155,0.037111445477693294,-0.012007201910650394,-0.01765118685815207,-0.05213470987553291,-0.03594302285344128,0.06909661996996963,0.033655471645709006,-0.08084034662190646
TNFSF18,-0.029738679398999275,0.032570865626206806,,,-0.018745715684957878,-0.01817421542371307,-0.014105908494951757,,,,,-0.019654162209211144,-0.01767853157872864,
IL36G,,,,,,,,,,-0.026707848105467592,,,,
RTN4,-0.005480588334724863,0.03133394795731754,0.024683495402346375,0.08138843657153046,0.07697194749075162,0.03352680349535153,0.024281158848668848,0.06735326851140878,0.15128916877796975,0.2586070485549108,0.02976882480661273,-0.021167627663617936,-0.010889024133837882,-0.18082078682712785
HEBP1,0.025264178418921368,0.024962092448044745,-0.016657081092045636,-0.012207010281297084,-0.045715570998087186,-0.01494224517222836,-0.018622265291241138,-0.05297659409030356,-0.041343508278444706,-0.024100525437119893,0.0392440522906749,-0.02478763919449224,0.024736780606748228,-0.014409491728878216
WNT7B,-0.0059405241405347045,0.0396986803336651,-0.004306810037670417,0.04568625006652585,-0.012496873139489348,-0.05065591721532581,0.004301742741521118,0.01895371199200171,,0.018247553970251587,-0.020366673885378588,0.054103560769926604,-0.022428320256415456,-0.029742840663473345
PTMA,-0.022275040299873497,-0.08592100598826774,-0.01453886600830023,-0.10668536244887775,-0.07400572981333794,-0.04914349702019496,0.020671847513090476,-0.08514125645433884,-0.13620998059821207,-0.26365051320200344,0.005752711746447574,-0.03511048310408902,-0.03811455996448226,-0.10371457423851335
CEACAM1,-0.02876899016267939,0.06298078697113396,0.03726538183668178,-0.021335359121848193,,-0.007116358924339759,0.016948809164093567,,,,0.09843758481541834,,,
PDAP1,-0.004674089433301407,0.013868393384528822,-0.025265848773761958,-0.05687273688543977,-0.05891428675508072,-0.022599325778834545,0.02088233839560319,0.0519471511306942,-0.007164621402786538,-0.1135066360767819,-0.03309050820322558,0.058049895788085136,-0.022642078780275427,-0.11430304034785146
QDPR,0.07997517347202794,0.02092389528473639,-0.03889349906003421,0.09139525361720122,0.045670818877169256,0.03152935786456152,0.012869705140474377,0.011652914851847697,-0.11287781337179982,0.03329679034591419,-0.06932550779766175,0.04380961253923714,0.041263950572750195,-0.0442861793651175
