,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.029158007342731135,,,,,,,,,,,-0.02297409650315834,,0.06301413514389503,,
BMP1,-0.024268156784966945,0.021609721487421022,0.030371956501079794,0.028303322747333222,0.020961600840039857,0.015897028041689677,-0.009295130044744058,-0.016730930360304444,0.013403748593549314,0.03524065484261634,-0.008106795827752263,0.0064008158235446064,-0.052766295063083946,-0.033327109439666415,0.07478746865670842,-0.053223647329936674,0.048272223521081535,0.06708569826101572,0.011798841698373497,0.07018725564441905,0.009000950059924077,0.08147138664455407,0.0904196216677419,-0.0016196425726870073
NDP,0.007743387091110665,0.06539269926613712,0.03480110035048318,0.061037449288539325,-0.01368931300984445,-0.016018707181321937,-0.009741697819619012,0.04614986564568501,-0.016235484242613927,-0.01634607363977932,0.02527490254652503,-0.014563158272462065,-0.023154324033585107,-0.030161460082707443,0.1504975231525182,-0.05399742022360879,0.028914971854599028,0.0847667701406177,0.04612148384555725,-0.030127058732971782,-0.030904294535325682,0.03002415490563663,0.026079257236113304,0.05788092015908197
TNFSF18,0.005820167342412696,-0.03329844655779123,0.04457416925991923,-0.007134363317667186,,,,0.019768899518577195,-0.0057557369911944035,-0.020114125571029623,,,,,-0.04057905954324111,,,,,0.10536452290402529,,0.05325132832719279,0.09223133973472634,
IL36G,,,,,,,,,,,,,,-0.02325342533010199,,,,,,,,,,
RTN4,0.025401250513698258,0.00795359836158513,-0.01861209148838808,0.021148233087992147,-0.020894394820281232,0.014909924244800732,0.044747796950083206,-0.009151497063839326,-0.01035707682308923,-0.005637393634839956,0.033500052880097705,0.06549771426068164,0.04647658064724712,0.1068508279168908,0.08677602896594065,0.11797062668533746,-0.058485589696482064,-0.031447961689482024,0.03052708138551632,-0.04095506906026679,-0.04590948912414311,0.09635209102196099,-0.09875460562618442,0.09060913482127406
HEBP1,-0.01387120462297485,0.043473836652297156,0.04245945308104322,-0.0048118357647380155,0.04084291889450842,0.0023196936354549194,0.002207809622960214,-0.003120834562850936,0.029602910732074262,0.0032775305605493056,-0.0394574903068314,0.07275118659091488,0.04779348563827479,0.020357413088889005,-0.005475636740473388,-0.10280617644446094,0.007626633837512477,-0.051985426704111264,0.011252846389371058,-0.02411723904821214,0.02976238241888157,-0.015455771730164032,0.024426291698143813,0.07109338104061821
WNT7B,0.12367558278469479,0.042670087041486275,0.0005817392040967918,-0.01862856022678939,-0.06159204449142972,-0.009353971584043731,0.03389039081395922,-0.025833519339370264,0.034988635775754534,0.03744551607981818,0.05927804122603751,,0.07895611404985978,0.027265508507830154,0.05979044542065902,0.047553888975307414,0.14102325271852315,0.016549295314822757,-0.030856636505578374,-0.03910953924630759,-0.0386322889301338,0.09813874853987853,0.10955109519605911,-0.03791657633677166
PTMA,-0.026248571531789597,-0.11302371971665362,0.03861323512592935,0.005077571790027148,-0.1713382850999088,0.012398430295613102,-0.0548584325293149,0.02241221975947577,-0.021109170666105907,0.050387973529416395,-0.07742305809245173,-0.07355675190155055,0.032725224313174435,-0.10416066810296698,0.10607113516029545,0.01858176972354942,-0.08385754394612874,-0.04036759085135967,-0.0067518588087097904,0.013383054647657376,0.03394650601997714,0.054371002955736034,0.006964583017595581,-0.038465219599686296
FASLG,-0.01648514407997672,,,,,,,,,,,,,,,,,,,,,0.030091209583390448,,
CEACAM1,-0.02288976682787224,,0.060639390696236854,0.07536568580831861,,0.025394315454647317,0.041099877043598985,,0.04356718377219979,-0.02265053435097317,,,,,,-0.035866912667781185,-0.03486417749199155,-0.03165002244041238,-0.023340008664238743,-0.01928208712975004,-0.02564081201936759,0.000656037875240886,,
PDAP1,-0.015576890976359902,0.06077607492355792,0.04190935155181651,0.029418050176320466,0.06563273271861565,0.007105890016307969,-0.04677641519202021,0.03428421510662234,0.006673299584693291,0.016182971583593768,0.006244403696729971,-0.009381554420289153,0.015626593441578764,-0.09831078516923816,0.009535739477786062,-0.08607843036112135,-0.04372986339373761,-0.009684803973491966,-0.08975423786944148,-0.03412450590080665,-0.013395231071879158,-0.003972389201376035,0.028030050230559916,0.006943785066326648
QDPR,-0.0027373980624901617,0.03681779033706576,0.022412047373381504,-0.0015586742138120223,-0.07884486448720032,-0.03655975408666457,0.06377042369069869,0.08440046487303265,-0.04017845297381393,0.025865974662113322,0.001316925081231619,-0.06529535898041855,0.0691811833662637,0.0037796705060731007,0.031437931727812854,-0.0028653531030554693,-0.013767959250816563,-0.06457372900222492,-0.026283344491974545,0.004217577019323631,-0.031667878289941206,0.04259376856232239,-0.07256008403863698,-0.08419619229879262
POMC,-0.000657420499876991,0.0018108395123108587,-0.0247994026378656,0.02538084858904884,,-0.028445984948711176,0.0395550115938206,0.03231063663491973,0.009815287266649812,-0.01120590249279225,-0.011405676535384627,-0.022898212112864233,0.002467692185474587,-0.021851577340997252,0.041441961032991324,-0.01820876307361638,0.004833804508193447,0.09544528952843538,-0.00688115009581661,0.027541918595708554,-0.041945000142221536,0.08157921103757054,0.061041632408792706,0.12436728272815292
CCL18,,0.060793644991367295,-0.030614401984298243,,,,,,,,,-0.033182685707055626,0.034751917904875224,,,-0.0005594555214968706,-0.02471927506388698,0.005352055216908826,-0.020623229247357332,,0.04879378104682629,,,
CCL17,,,,,,-0.023022455375228984,,,,-0.01401492811685842,0.0619319548491393,,,0.04538185367984317,,,,-0.02245415901732573,-0.03369276777935961,-0.03029001914029097,,-0.003939754191315095,,
VEGFD,,0.04488933220287366,0.002647765437375991,-0.020476580835840728,,-0.025649557651316747,0.020170685991584274,,-0.03162421297007944,-0.02672725697445213,-0.017146151085364054,0.04356990371508544,-0.01575050781483777,-0.007629251577048121,,0.04594230443167493,,,0.011308447098536758,0.1123179132722177,,,,
TNFSF13,,,-0.02310261748390927,,,0.02006856613654219,,-0.016650336749464027,,,,,,,,,,0.07865509260651965,0.00952975570073112,0.044311471189716206,-0.015732226378397458,0.006299308642775112,0.026650533791997635,
WNT5A,-0.008465107794109314,0.07448728886131249,0.020497396462035418,-0.011351766758505279,-0.06135893388847308,-0.0001286317327981894,-0.04939491482701978,-0.03762561350151036,0.0045568738834416995,-0.01710330615092367,-0.024391817164746518,0.09449664508686698,0.002818347456131458,0.0024494562282317872,0.07338636380001848,-0.08439709377099963,0.02683986008112727,0.01531561561163544,-0.026669876665658086,0.06157259202014718,0.013702863858557852,0.10967357131242174,0.017846917974690773,-0.006688149939709148
