,UKF243,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.029632739838568754,,,,,,,,-0.02205952513067545,,-0.026403992977949667,,
BMP1,0.07073854208699643,-0.009979668105988018,-0.02427698861494704,0.026007125411492377,-0.14447623195314532,-0.044361219753001994,-0.05385841828767208,0.10706947062516656,0.041964556627794365,-0.03711173336150718,-0.022935026956593448,0.018149476020225173,0.024259054373373903,-0.037425926803277734,0.005831250793602525,0.09986531261172348,-0.05044801647379312
NDP,-0.01885954152714109,0.014055087995880846,0.0009478869877680153,0.04587298994070174,-0.08380944588886928,-0.03385814729878645,0.012349004731100845,0.024883770611943877,-0.04939153052619613,-0.04955212675776799,0.04444901716826736,0.0016170835942654835,0.04450130152428484,-0.04232115896421921,0.03013255963264428,0.02017948090974217,-0.13142134097750793
TNFSF18,-0.02774363549788537,0.03450887641145066,,-0.0028722345416514086,-0.01768798921052542,-0.013383383731896696,,,,,,,0.08775759328393086,,0.0042431060700856985,0.0016182978885046083,
RTN4,-0.10620213141735041,0.03892294514159064,-0.04841030537262265,0.10312204244088204,0.24685972183400975,0.037288888200270036,0.0072764420576081935,0.04463007739808701,-0.0199590308809574,-0.07778273390000036,-0.03002961892279314,-0.07907866211881179,-0.03797462022894791,-0.030090421625011122,-0.049907545060115494,-0.058002267748243325,0.016894732215628983
HEBP1,-0.057886059318844975,-0.011081115952616214,0.06548421001695798,0.026099489733969285,-0.08195130789994542,0.02044536596024073,-0.04703966336258459,0.013206919308127668,0.06934396521787221,-0.006290381410524362,-0.028667730534158494,0.058495754462532815,-0.0012530359830064792,0.04695516085331155,0.06892638914807225,0.04179747243496164,-0.0174427007030554
WNT7B,0.015649883975981174,-0.01722763696686439,-0.021747766908253235,0.11457316433776782,0.2346604732351817,0.018176071539665852,-0.01233231086509569,,0.05173229360957637,0.07465872658222633,-0.04015016115087786,0.025690561453524795,0.06872337793679012,-0.01976903525628253,-0.012027305332154011,0.058468598650336844,0.16614793770674594
PTMA,-0.005300973510385186,0.018095654994613082,-0.01017355005436829,-0.09040544759383462,0.014453983825957311,0.01997618322109165,-0.04307716023037128,0.002975318474096419,-0.015107897161623321,0.06239897260549002,-0.02310218711804844,-0.003094554321671309,-0.034295471908370935,-0.08383141583101278,-0.028627978113019134,-0.06460857881769277,-0.10397399795188803
FASLG,,,,,,,,,,,,,,,-0.02290017410192338,,
CEACAM1,,-0.013221175199477332,-0.0013785588557934292,,-0.02954601283884027,-0.02104887423273272,,,,-0.044493219311622464,-0.022498115573739815,0.001164287135848077,-0.0022747910077913986,-0.013120996214521613,-0.03186222883946816,,
PDAP1,-0.008637958932218238,-0.036715444850025286,-0.03261154457786984,0.091744154704887,-0.10497885326846171,-0.010696333705616562,-0.029430282513726168,-0.007437113025297415,-0.04013276762584857,-0.009423766964396053,-0.049931524437782274,-0.01796608847514889,0.05793757023922074,-0.02453855564238477,-0.034746529681181075,0.03881797908793242,0.012904093833667012
QDPR,-0.016382469873332414,0.05617261889910767,-0.04048486449863697,-0.011119387290621648,0.007682155381723056,0.011744229290446178,-0.03884847673721547,0.0595400806258236,0.025691448081862366,0.08872800519481452,-0.04133446979351318,0.009678397426720085,-0.0380917568624978,-0.008000554797625618,-0.0029532890664143103,-0.04802566026178118,-0.041937375593998724
POMC,-0.005554437796294522,0.030508521227359395,-0.011185114920078414,0.08465826631769874,-0.0011351019301321544,-0.015529020149437172,0.05545606108333212,0.0009595054084700497,-0.02515106108956612,-0.028086931319675938,-0.03783136149388825,-0.0127386940509961,0.013719896538182228,0.04860306421648064,-0.054283965344828974,-0.03138539166157007,0.03360985442930238
CCL18,0.028613246493096826,,,,,,,-0.0248181181583429,-0.03380509358964441,-0.03815060945993713,-0.04117127552469093,0.02941439562707281,,-0.035729473650869634,,,
CCL17,,,-0.014555478385090914,,,-0.016691685178452084,-0.015263943759466131,,,,-0.015961324060165316,-0.030048285992885386,0.05558302641022161,,0.018693202022877543,,
VEGFD,-0.00122187267291233,-0.018936680917251696,-0.016216410278400675,,-0.04964278802729407,0.04408068760538334,-0.011196287340935756,-0.024759521097552764,0.027465314515880558,-0.042980926083860525,,0.03241743739339176,-0.03067486432329398,,,,
TNFSF13,,,-0.010040043228810242,0.023975767339533504,,,,,,,0.02557025363770344,0.05028152800535393,0.001388437057797955,-0.014733999346476446,-0.021772967325471,-0.02491327047111777,
WNT5A,-0.011995236116487966,0.022584251160021586,0.015533767983163034,0.00838487694266352,-0.14610406759876635,-0.03624372897526831,0.03370528511972151,0.08048588763136212,0.056044655633047905,-0.06837280049743104,-0.023742488171102336,-0.03119394926072496,0.004060512310440206,-0.01103730103155298,0.015802540067439683,0.049561282924320216,-0.02041132388870739
CXCL8,-0.08663689414954791,0.019781634225390136,0.08596675177454179,0.03866020570733057,-0.019032021491432436,0.00794573198476082,-0.010426469602637782,-0.03272733318686307,-0.00476064477990293,0.05871992286052468,0.03285205368381314,0.01497751544350181,0.035594807815204195,0.05484968190598527,-0.013950892512610669,0.03185309221651645,0.027765475689470236
GRN,0.05369934623518947,0.03980675345370207,-0.011478160536308612,-0.04999961850999644,-0.17362009764008488,-0.039193912313816026,-0.04764368474662198,0.02481686352757508,-0.01198992160647692,-0.12352101687369331,-0.050608650190752405,0.005713445995599559,0.027431657201908998,0.09443632808979247,-0.013934263225725009,-0.0008514833607073489,-0.08977924350386178
MIA,0.08854903139653653,0.06019397834805722,0.0063335001792391805,0.0016498516308979805,-0.027993067994917332,-0.0328077280143361,-0.012733418934155622,,-0.023045660609205706,-0.07603157310268367,0.050243419420045295,0.14475669076669986,0.0802326721465446,0.04702638053316484,-0.005792023573316248,0.11010940001099563,
COL4A4,0.11166210126749826,-0.02832147821449923,0.00027327919243410643,-0.026793641703532226,-0.029200865615842436,0.029633249954187202,-0.021391131154166323,,,,0.052192398415266295,0.037863656064178956,0.0027212236760115363,-0.026443342408294778,-0.014675508014133093,-0.032894666276168084,
TAC1,0.11178306736973068,0.050106997334177956,0.037777236684549846,0.044730777968803495,0.24350503197391024,0.02756137246903609,0.011467363848675138,-0.07114927924998594,,,,,,-0.022637456412153804,-0.0118570164261701,0.007255446239861365,0.045977129762041706
RARRES2,0.05980111533571723,-0.005183124372107264,0.02475744010325317,-0.012130597058479742,-0.2092256019636407,0.005947866300183289,0.0024518231125119187,-0.06819838490201865,-0.06372063044512627,0.020896114656086876,0.012579361891951123,0.07648888552439903,-0.005673452466025136,0.04849287345157058,0.04534073368766243,0.03769795801164912,0.05638968790237813
FGF7,0.009739230103913619,0.09841617023357137,-0.025800935936408635,-0.02331288800052803,-0.021011202167609693,-0.016395072284536957,-0.013035867101102001,-0.03536769586089303,0.0036506500897578046,-0.0773673796770659,-0.06295246104781962,0.047777176128595986,-0.019284920265935653,0.010926307506688288,-0.04140837760441212,0.06870900796500637,-0.07317299441248108
EFNA2,,,,,,,,,,,,-0.026711949766843185,,,,,
HBEGF,0.04389678989688573,0.02167312456376898,-0.028722545255475483,-0.023325579333457993,-0.09147797701937804,-0.09205893050815617,0.0099176866322552,0.006772582139477937,0.007723452187753221,0.08061681741547012,0.012747589735334589,0.01934708944302595,-0.019975322174796202,-0.0003677328441302625,0.04994734887361688,0.03648754560750145,0.04009454863560037
CSF3,0.047753196332491865,,0.049027298853160914,,-0.00580015486379344,,,,-0.025529140301913295,,0.005969722451176394,-0.012987612224955803,,0.06382499771177294,-0.021853324717707727,-0.002086298707198167,
PI3,-0.04999292112323836,,0.11020466102459724,,-0.02365983404108329,,,,,0.07539610219469145,0.012067338269261811,0.004559952723833645,0.03847197559807051,0.07113741880158256,-0.029371696070207988,0.011777553783807525,
PCSK1N,0.00022700917008635908,-0.026614062763173654,-0.08010081259989513,0.009011501928474247,0.13267694688033604,-0.028717356454554987,0.013240436565066134,0.0015097118880619737,0.016923751834738463,0.010912866453488598,-0.02620145820441905,-0.04126331906002611,0.018972248188011874,-0.010749816715619627,0.02080061259916234,-0.027241814966990918,0.012209864752625092
NTS,,,,0.04745138149777349,-0.03797238546495947,0.03640314194581661,-0.018315488971762245,-0.02229152241688399,,,-0.013471107386464919,-0.03254344183985355,,-0.04349303983294543,0.021721288860088086,,
SFRP1,0.0025522575661864146,0.0206780550559925,-0.01270021751249269,0.008080100372672865,-0.03409333804045238,0.0025698718815942495,0.057708775715329556,-0.05172630553742853,0.05239248879450253,0.09809712399127149,-0.03684794470549068,0.005796186888748299,0.024013504863774217,-0.09088616402803454,0.03928899246252935,-0.008736512190003853,-0.044199878149700104
CXCL13,,-0.031969935919464905,,,,,,,0.015571775203737355,,-0.03585240636908721,-0.038738213990384004,,0.01056211433247585,,0.11198262861470491,
MICA,-0.008690373651153493,0.03240911598913783,0.06062095346420937,0.01344846692296773,0.029223227464203784,-0.012939282269080785,-0.03455837657306719,0.011894661686463073,0.0028198436770844144,-0.06408783155384848,0.04850363022490816,0.06711282036837961,0.055757248036101534,0.09539773405671682,0.0316114716236399,0.008693817886657854,0.004459825469026095
TG,-0.015703949143095995,-0.017978134411990317,-0.013705546845334184,-0.005159885743350944,-0.026708081609058437,-0.016816241145613604,-0.011046449813200965,,-0.03627058612088564,0.016025755823795024,-0.021208609116238408,0.06592127472743443,,0.08243345716990777,0.061606213751969834,-0.03082594829443136,
ADA,0.03369903971000702,-0.03714043203795503,0.021596738118971753,0.016411803158803598,-0.12615230839853833,-0.017092099850473504,-0.01794032285272362,-0.05423228242622561,-0.01778337724585361,-0.01655470143620383,-0.012863023181146276,0.03771843568616888,0.08549123527923497,-0.00823628857592762,0.02888426084277893,0.0485305595327623,-0.0664471695106805
LAMC3,-0.0024410596822480512,0.0831369678783599,0.00972447076893066,0.0031219965197712253,-0.06634795795676604,-0.017354485002441522,-0.02688198977142552,-0.019803820842184742,-0.00032697410935223295,0.004381459445527263,-0.037304269190704654,-0.04025120396249416,-0.02702199466599196,-0.009414961891051243,-0.048520049275748614,0.048480404792433145,-0.043376182345104916
CCL7,,,0.10768638722687986,,,,,,,,-0.004808471466068446,,,,0.03133072910613106,0.04230743740469014,
NGF,0.093545865291594,,0.01924659968776309,0.08352543979057375,,,,-0.022291537094372482,0.009502049858039955,,-0.02762839412150878,-0.02635289622218032,,-0.0322939305497011,0.006791348743948434,-0.014861012077818682,
TNFSF15,0.02923172087503913,,-0.011034254660238135,0.0017775391724828924,,,,,-0.01625745833598895,,-0.023321600781551998,,,0.20940252269078063,0.04648227913954491,0.03606395422466325,
HMGB1,0.024439626479869265,0.006547260349516263,-0.03152378665151004,0.027145534330197455,-0.16458609427567056,-0.0010473050585377182,-0.0280042004553001,0.06228351220392405,-0.06760719063658444,-0.02281807629842832,-0.035547761998178364,-0.10329802261809361,0.009098157696199146,-0.034628185334547604,-0.0094594670059285,-0.007477785572790534,-0.002904482952372507
ITGB3BP,0.0106630619364389,0.03797438366843929,-0.04311940177515809,-0.0452821052337643,-0.12718901199550844,0.02610728850672809,-0.051762600605019464,-0.06190880151965372,0.0226150165547508,-0.05215844245480267,0.034022289978277345,0.001970952994587815,0.015144261006410224,0.03215945496100352,0.05315622231833138,-0.01703021238407006,0.0498145273707418
AANAT,0.03722426660984655,,-0.010040044300364944,,-0.013757651263224395,-0.01512294393666946,-0.012733419642420894,0.03020807793613702,,0.03450835546524933,-0.020986647200450594,0.009478934255906913,-0.02232613520630788,,-0.006246654042329893,-0.03444342245413316,
RELN,0.0735183467454175,-0.042188782365629646,-0.017427268487294617,-0.023816699061910234,0.08762131539279513,-0.007052743990030832,0.04254923289233287,0.13564599444105113,,,,,-0.03349880107507319,-0.01410955946717548,,-0.012582753356328578,-0.0031511839249960174
IL15,0.057508272220969936,-0.009119539988627702,0.04033303504198738,-0.031127937770599197,-0.04611362276765168,-0.042895238943934356,-0.027368291802684342,0.009037444370209648,-0.03822754256696176,0.07582441955389756,0.1499201986723463,0.034964908004663356,0.014419158637244267,-0.028493912254908937,-0.05183350428993588,0.04672621521477389,
UTS2,,,,,-0.06561493750400343,,,,,-0.009760173927888437,-0.017871666053278796,,,,,,
BSG,0.08411182443972777,0.05276489117971713,-0.08269481008847568,0.03227122313627514,0.13564028505771694,-0.08037290292143341,0.01744184910395904,0.024042884203901996,-0.06322181748185693,-0.06468316924999569,0.002744528596536502,0.09839359928290435,0.03285646006455485,0.056757315560664434,-0.004236801273743474,0.10558017767843923,0.0047846360913598425
ADAMTS3,-0.03784961903910943,0.02025473725180231,-0.007549499657753545,-0.0018020088732819501,-0.10259835757014088,-0.013553135357387228,-0.038964683578668814,0.04939049427081432,0.053651898222121235,-0.11145297795748717,-0.02602487373797324,0.016502322284211335,-0.02058656503798275,0.06799320801603297,0.05025436995185595,0.06743532358493362,
