,MGH258,UKF243,UKF251,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.017990290095063664,,,,,,-0.033688004557608356,,,,
BMP1,-0.020586568846540497,-0.018708314061965582,-0.017086143687200697,0.007046452421710777,-0.0413028910871409,-0.16289554870645026,-0.02857406392911284,0.011536229795100666,-0.08489554460071397,-0.021192444451151732,-0.062457609087220055,-0.0023300804822912876,-0.05620713327661388,-0.01273320989124656,-0.06286877948960759,-0.039568693015882415
NDP,-0.06442520410926743,-0.021341842603064515,0.023818881113880877,0.038572611487938835,0.07487030937796355,0.04019077306789875,0.010829762846831554,0.034431949215661076,-0.01931479604673666,0.05812492209917377,-0.04824026042627735,0.027248275627318293,-0.020043303613822814,0.006589710570614018,0.012931684622038862,-0.05287665323021649
TNFSF18,-0.01812837479823337,-0.0264275533502529,-0.0225949084618914,,-7.869232515701408e-05,-0.026715040707860967,,,,,,-0.00552782458068264,,-0.04154597676847661,-0.046392154504209804,
IL36G,,,,,,,,,-0.011604241012630516,,,,,,,
RTN4,0.052595671052110604,0.08126216440712442,0.012821594308990178,0.09406287665624437,0.12164916638309087,0.1570435569613115,0.03933446354567301,-0.03195477518141779,0.11159303307993458,-0.0620837506053407,0.0685687849521023,0.05684897874182493,-0.04947479574449147,0.05053947442963891,0.13546953912737358,0.053551302070732006
HEBP1,-0.0849206772926825,-0.00793374075144882,-0.02483935059615352,0.01302430578242803,0.009013698180106618,-0.09798342077980723,-0.043276111057214975,-0.06853341364303656,-0.029887291487674314,0.028645960677062536,-0.052122475345421755,0.026660206012568424,-0.0343465492784424,-0.09832032797214038,0.009016665435603371,0.024514015979120087
WNT7B,-0.015970530400755672,0.105962121839889,-0.014035256722461517,0.07800214053940917,0.014802344190790864,0.10699919515030187,-0.02423006139848113,,0.14662227332677188,0.07904022183722692,-0.0029442133104906434,0.025439378046323298,0.0029248751045963133,-0.04154593368841962,0.09774422779958829,-0.006258608825651358
PTMA,-0.001913897690883529,0.12510823665240328,0.004173169858911577,-0.027855136557161778,-0.07436464222625248,0.03745093867809376,0.026275067184227268,0.03827440268012712,-0.11532316640208441,-0.0027456693639881175,0.10665923689298064,0.03418870835365471,0.06085288264665038,-0.04963072083321301,-0.0346165526455659,-0.0664905426433276
FASLG,-0.015970534915583704,,,,,,,,,,,,,,,
