,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.008827168383281727,,,,-0.01908563002303009,,-0.026739165677851073,
BMP1,-0.019031719478053353,0.04516970214490233,-0.0155463116649267,0.06568218424096955,-0.005434090809260168,0.0549978485353488,0.10355235736873579,0.1681533159718762,-0.005332992725302,0.1149774130301586,0.016210489328699,0.0028013944758075986,0.04674639769472873,0.05825768569735543,0.03379325322987811
NDP,-0.04521536868366846,-0.07588614453465221,-0.023364829360276868,0.05594837318566469,0.006718219519362719,-0.04312432053586171,0.01303650239315691,0.03858382338579243,0.04738561841517383,0.015095091214578884,-0.024990378824735957,0.08061104839364382,-0.03986457166188272,0.041770420181809834,-0.0005185696800278583
TNFSF18,-0.022885152519951636,-0.021169176658877936,0.009190402307934619,,,,0.03112803378916791,0.05285799415876908,-0.01870819526747014,,,-0.01968267336159767,,-0.028756174048428024,0.13208628638780362
RTN4,-0.08475201815629964,0.0011960044495094074,0.026442096019567332,0.09956746086658992,-0.008933918107257185,0.0012659390249734667,-0.08972171536957571,-0.15398094453122407,-0.040617003857912774,-0.02828581250059424,0.0021373170547048736,-0.031316837677962436,-0.0426032533667731,0.004112115097461173,-0.16057650658601197
HEBP1,-0.049658277786307804,0.007451488673147769,0.06335024882262569,0.01577457419970216,-0.01382391255392401,-0.01232970026238165,0.08890990923213297,0.0769394689066124,-0.0035527762393621903,-0.00898065120603424,0.04364803786075576,0.032260394269910564,-0.01200763436152156,0.08941361736024381,-0.019843825926281276
WNT7B,-0.020161102587168217,-0.03802886962169924,-0.0030735148712362657,-0.01013664559914362,0.05650732440638495,0.021327860093545387,-0.030687270509289842,-0.008332578293238618,-0.05362530023201022,0.052553373043630704,0.01556864359272204,-0.029237387139704713,-0.019769039443956,0.027450932293041342,0.011551533677554791
PTMA,-0.055522441235451275,0.020201509814563857,0.012404083682252142,0.06505311136963231,-0.03157324218150732,-0.014190810137074655,0.11958888307794129,-0.08128082243045748,-0.025818446329911947,0.08504778166584524,-0.004653717204014017,-0.02666876779226244,-0.0057058726792242834,-0.0003491613316367157,-0.004210896485627812
FASLG,-0.020161108286660272,,,,,,,,,,,,,-0.01840190417926934,
CEACAM1,-0.010621985708279437,0.03019606689483536,-0.015019857478612744,,0.014409663258861713,-0.015811716914275964,,-0.002613133725244245,-0.02942353422683913,,-0.0198237165160851,0.02419010658871357,-0.013120998993941396,-0.005979073848846385,
PDAP1,0.055286646122822906,-0.025742748650280835,-0.025682202826491102,0.025952901397543315,-0.025799385131154283,0.07727188997848242,0.06697833329673063,0.06968719780877713,-0.020047289773967268,0.04754086943599683,-0.00029209791077673035,0.020352640632634297,0.005789651282554722,-0.014951836100059224,0.04401674366002967
QDPR,-0.04838105780131548,-0.0028221411523666486,0.005199303453184312,0.07622920987922774,0.0331200238334699,-0.001134266590882575,-0.026521773532389256,-0.14743084238906487,0.0351619156547564,0.09962190086071052,-0.02198900604337346,-0.03711672080835396,-0.027606450333021042,0.018900020380706317,-0.0860308330315594
POMC,0.01711965291895059,0.016760970607838814,0.0223901186745314,,0.003944607027121826,0.013003429416130292,0.005357573900532135,-0.035484657681355086,0.0035785247121391944,-0.03923378328602177,0.1300613540619297,0.06044808843245582,0.11719426409892457,-0.00708870505827467,-0.04425815158691639
CCL18,,0.0028211633036008626,,,,,,,,0.03324150624197818,-0.02379116961996178,,-0.015336678155644521,,
