,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.017386146673055703,,,,,,,,,,-0.030554860256679507,,-0.03621206011429861,,
BMP1,0.04788172138855628,0.07447330292096185,0.05963626816243583,0.012714201426513893,0.048649777755843365,-0.06284183371321873,0.01938982256279189,0.12315021304605353,0.013717536727827617,0.0002930788715508928,-0.03184670022029973,0.024361557821461294,0.04289477162768372,0.07476709442814217,-0.004171783317304856,0.027055778494692918,-0.01724713607653219,0.04626793794572563,0.020786997660271006,0.029712809340783235,0.04163394599120012,0.05753690779800063
NDP,-0.013083191654117015,0.04538718706225296,0.01131212910213503,0.01893818078853317,-0.007409670684697703,0.1113598543039778,-0.05189151499710078,-0.013932573692011325,-0.0210386119053941,0.009812123579823548,-0.04342856136731643,0.027300499955426168,0.05183297074245169,0.09972694320683162,0.058572011764168895,0.044855423989155506,0.06066529044428667,0.0936125357709153,-0.0018592118137287052,0.09446100918675865,0.04002991271308301,-0.010811319132241634
TNFSF18,-0.010721851613559343,0.051243474703394895,-0.02552032520603824,,,,-0.019906590053870046,-0.008252546543615206,-0.004562031579859804,,,,,,0.04237986348291069,,,0.09834654445253081,,-0.023972685842818208,0.11520248259091719,
IL36G,,,,,,,,,,,,,-0.02526074485092829,,,,,,,,,
RTN4,0.081736580395407,0.008363029441458312,0.015428332584808463,0.018449840064929432,0.02628011450816969,0.11556917855559318,-0.039438152028775056,-0.1476340120659726,0.010604877270833854,-0.034850451029992485,0.21371066138176273,-0.014573000350247223,-0.050163974895358475,0.07253235507873976,-0.04918191850381492,-0.08435782510575936,-0.00992670234495544,-0.06490281118130903,0.030724996694136683,-0.024056097449249067,-0.0007146767208218906,-0.024197492533514248
HEBP1,-0.039298439359902355,-0.013245817855803343,0.021763321266979194,0.0358164520676115,-0.012383292021017291,-0.030290367444604234,-0.004620349875157197,0.08591782501808307,0.027115556364707163,-0.041621421085651054,-0.05182544480064185,0.03180533030003923,0.0049856244784019154,0.02793034152143775,-0.06760925660658465,0.02878575245268216,0.049781682107239246,0.02601001384820563,0.0014822597195085158,0.11052677532948316,-0.016151199846796728,-0.0008019230846244785
WNT7B,0.09349398076979691,-0.026784121653342083,-0.026410094229522545,0.03174727914770218,0.0632697324645393,0.025607142457879737,0.05711143950738757,-0.05425523876893244,-0.032270562707183204,-0.02357813971149903,,0.04871451822214471,0.02344283382544746,-0.05908593234613445,,-0.05973900435620045,0.13237315803367486,-0.018274215225434733,0.014360150300503785,-0.016521765780381524,0.0346459459768687,-0.01973971320926188
PTMA,-0.17822846224220631,0.06133650844571592,0.0578189384771421,0.017214987955694837,-0.015704346030765277,-0.07778797890566017,0.0016275817786630552,-0.0826217034282764,0.01037489260940694,0.04678198273898948,-0.2126043276535936,0.1141960987373279,0.061689688199808856,0.1708871892900331,0.03930659206623789,0.05564672937290179,-0.03759484913007292,-0.09865191716393257,0.009923836481567399,-0.03664137483631936,0.03882945914870171,-0.16884309789585758
FASLG,,,,,,,,,,,,,,,,,,,,0.07005880731590126,,
