,UKF243,UKF266,UKF269,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf
IGFL3,,,0.10411881775758257,,,,,
BMP1,0.0019380608362511995,-0.017949053517494536,0.09974658146348582,-0.02753508331524297,0.01936857067451186,-0.012131777976232551,0.04713512846583922,0.11124058139718039
NDP,0.037570393089064055,0.002403563590043703,0.014890659616742578,0.027197546126166056,-0.09280733830451172,-0.10423317487746658,0.049654251148064495,-0.03488674424416603
TNFSF18,-0.020724171473697917,-0.015976256114974406,-0.019648796159467907,,,-0.024885257803521115,0.011025702059426913,
RTN4,0.0743674748465283,-0.07759217653150013,-0.08740469070369941,-0.02709222205907472,0.12476770494434657,0.0298318269894801,-0.07006095784644191,-0.04612484126246307
HEBP1,-0.011441599949159912,0.01993720169807368,0.052533096048672547,-0.00510516581992693,0.14449753667406345,0.11209027250139221,0.015584608865726915,-0.009157229399314308
WNT7B,0.09100799773795176,-0.0329157803280873,-0.02553814988962539,-0.019671244815284334,-0.014758966526297991,-0.02739623990588928,,0.1774347430567721
PTMA,-0.03133738723289012,0.020734349085136973,-0.045226463485063796,0.050828299287035306,0.11085920282926133,0.07978108492658763,0.04438780757285705,-0.07661381055745002
CEACAM1,,,-0.02585669663410953,,,,-0.03788148469012189,0.004421509582779744
PDAP1,0.028967835713107393,0.07127974873283625,0.07364826809358284,-0.0023301884576559136,-0.06892778961603556,-0.027859118034120278,0.01470330463202673,-0.0066133868485897685
QDPR,0.07287692609434486,-0.06839975547680116,-0.06253181746658251,-0.022781075084384737,0.12366355356778208,-0.1248728511977574,0.07081418125857869,-0.09489205841705348
POMC,0.20066414929734416,-0.03272540303617416,0.015297446056683832,-0.04717064140637618,-0.032702862441626464,-0.06706495966909908,0.018617525439244057,0.03063183411220558
CCL18,-0.027792817975199578,,,,0.05797113467558946,,,0.06292090997459382
CCL17,,,,0.02459261783985676,,,,
VEGFD,-0.013321823376380009,,0.012341969720595918,-0.01785917592534732,-0.04840436411598576,,-0.02025858600975994,
